Timestamp;Value
2008-01-01;-68
2008-01-02;-69
2008-01-03;-68
2008-01-04;-69
2008-01-05;-69
2008-01-06;-70
2008-01-07;-71
2008-01-08;-71
2008-01-09;-72
2008-01-10;-72
2008-01-11;-72
2008-01-12;-73
2008-01-13;-73
2008-01-14;-74
2008-01-15;-74
2008-01-16;-74
2008-01-17;-75
2008-01-18;-75
2008-01-19;-75
2008-01-20;-76
2008-01-21;-77
2008-01-22;-77
2008-01-23;-77
2008-01-24;-77
2008-01-25;-77
2008-01-26;-78
2008-01-27;-78
2008-01-28;-78
2008-01-29;-78
2008-01-30;-78
2008-01-31;-78
2008-02-01;-78
2008-02-02;-78
2008-02-03;-78
2008-02-04;-78
2008-02-05;-78
2008-02-06;-78
2008-02-07;-79
2008-02-08;-79
2008-02-09;-79
2008-02-10;-79
2008-02-11;-80
2008-02-12;-80
2008-02-13;-80
2008-02-14;-80
2008-02-15;-80
2008-02-16;-80
2008-02-17;-80
2008-02-18;-80
2008-02-19;-80
2008-02-20;-80
2008-02-21;-80
2008-02-22;-80
2008-02-23;-80
2008-02-24;-80
2008-02-25;-80
2008-02-26;-81
2008-02-27;-81
2008-02-28;-81
2008-02-29;-82
2008-03-01;-82
2008-03-02;-82
2008-03-03;-83
2008-03-04;-83
2008-03-05;-84
2008-03-06;-84
2008-03-07;-84
2008-03-08;-84
2008-03-09;-85
2008-03-10;-85
2008-03-11;-85
2008-03-12;-86
2008-03-13;-86
2008-03-14;-85
2008-03-15;-85
2008-03-16;-85
2008-03-17;-85
2008-03-18;-86
2008-03-19;-86
2008-03-20;-86
2008-03-21;-86
2008-03-22;-87
2008-03-23;-87
2008-03-24;-87
2008-03-25;-87
2008-03-26;-87
2008-03-27;-87
2008-03-28;-87
2008-03-29;-87
2008-03-30;-85
2008-03-31;-83
2008-04-01;-82
2008-04-02;-79
2008-04-03;-76
2008-04-04;-74
2008-04-05;-71
2008-04-06;-67
2008-04-07;-62
2008-04-08;-57
2008-04-09;-54
2008-04-10;-51
2008-04-11;-48
2008-04-12;-49
2008-04-13;-54
2008-04-14;-45
2008-04-15;-32
2008-04-16;-44
2008-04-17;-49
2008-04-18;-39
2008-04-19;-39
2008-04-20;-58
2008-04-21;-74
2008-04-22;-78
2008-04-23;-107
2008-04-24;-108
2008-04-25;-106
2008-04-26;-102
2008-04-27;-106
2008-04-28;-92
2008-04-29;-71
2008-04-30;-65
2008-05-01;-41
2008-05-02;-18
2008-05-03;-14
2008-05-04;-6
2008-05-05;-7
2008-05-06;3
2008-05-07;36
2008-05-08;78
2008-05-09;71
2008-05-10;83
2008-05-11;79
2008-05-12;78
2008-05-13;79
2008-05-14;66
2008-05-15;55
2008-05-16;47
2008-05-17;40
2008-05-18;32
2008-05-19;28
2008-05-20;26
2008-05-21;24
2008-05-22;23
2008-05-23;20
2008-05-24;18
2008-05-25;16
2008-05-26;21
2008-05-27;22
2008-05-28;20
2008-05-29;20
2008-05-30;25
2008-05-31;42
2008-06-01;59
2008-06-02;80
2008-06-03;86
2008-06-04;97
2008-06-05;128
2008-06-06;166
2008-06-07;176
2008-06-08;168
2008-06-09;150
2008-06-10;130
2008-06-11;117
2008-06-12;118
2008-06-13;121
2008-06-14;121
2008-06-15;119
2008-06-16;110
2008-06-17;99
2008-06-18;90
2008-06-19;81
2008-06-20;71
2008-06-21;59
2008-06-22;49
2008-06-23;42
2008-06-24;37
2008-06-25;37
2008-06-26;34
2008-06-27;30
2008-06-28;33
2008-06-29;58
2008-06-30;75
2008-07-01;70
2008-07-02;64
2008-07-03;75
2008-07-04;86
2008-07-05;84
2008-07-06;79
2008-07-07;82
2008-07-08;90
2008-07-09;96
2008-07-10;106
2008-07-11;123
2008-07-12;144
2008-07-13;157
2008-07-14;160
2008-07-15;163
2008-07-16;174
2008-07-17;186
2008-07-18;192
2008-07-19;190
2008-07-20;189
2008-07-21;186
2008-07-22;193
2008-07-23;193
2008-07-24;185
2008-07-25;175
2008-07-26;169
2008-07-27;168
2008-07-28;176
2008-07-29;177
2008-07-30;171
2008-07-31;167
2008-08-01;162
2008-08-02;159
2008-08-03;145
2008-08-04;148
2008-08-05;159
2008-08-06;154
2008-08-07;144
2008-08-08;138
2008-08-09;138
2008-08-10;147
2008-08-11;142
2008-08-12;139
2008-08-13;135
2008-08-14;128
2008-08-15;123
2008-08-16;123
2008-08-17;132
2008-08-18;128
2008-08-19;125
2008-08-20;130
2008-08-21;125
2008-08-22;114
2008-08-23;102
2008-08-24;92
2008-08-25;83
2008-08-26;73
2008-08-27;68
2008-08-28;64
2008-08-29;83
2008-08-30;140
2008-08-31;153
2008-09-01;146
2008-09-02;145
2008-09-03;170
2008-09-04;188
2008-09-05;251
2008-09-06;333
2008-09-07;333
2008-09-08;315
2008-09-09;313
2008-09-10;317
2008-09-11;330
2008-09-12;326
2008-09-13;300
2008-09-14;280
2008-09-15;273
2008-09-16;273
2008-09-17;274
2008-09-18;269
2008-09-19;267
2008-09-20;275
2008-09-21;290
2008-09-22;301
2008-09-23;299
2008-09-24;295
2008-09-25;295
2008-09-26;294
2008-09-27;293
2008-09-28;293
2008-09-29;286
2008-09-30;273
2008-10-01;262
2008-10-02;253
2008-10-03;245
2008-10-04;233
2008-10-05;224
2008-10-06;216
2008-10-07;213
2008-10-08;216
2008-10-09;221
2008-10-10;221
2008-10-11;217
2008-10-12;211
2008-10-13;210
2008-10-14;205
2008-10-15;200
2008-10-16;193
2008-10-17;186
2008-10-18;179
2008-10-19;173
2008-10-20;167
2008-10-21;162
2008-10-22;158
2008-10-23;156
2008-10-24;155
2008-10-25;156
2008-10-26;159
2008-10-27;162
2008-10-28;167
2008-10-29;173
2008-10-30;174
2008-10-31;158
2008-11-01;162
2008-11-02;152
2008-11-03;144
2008-11-04;153
2008-11-05;135
2008-11-06;139
2008-11-07;131
2008-11-08;106
2008-11-09;69
2008-11-10;57
2008-11-11;41
2008-11-12;20
2008-11-13;7
2008-11-14;-1
2008-11-15;-13
2008-11-16;-20
2008-11-17;-25
2008-11-18;-27
2008-11-19;-45
2008-11-20;-18
2008-11-21;-24
2008-11-22;6
2008-11-23;37
2008-11-24;54
2008-11-25;72
2008-11-26;84
2008-11-27;88
2008-11-28;89
2008-11-29;88
2008-11-30;87
2008-12-01;90
2008-12-02;98
2008-12-03;98
2008-12-04;98
2008-12-05;96
2008-12-06;94
2008-12-07;91
2008-12-08;90
2008-12-09;85
2008-12-10;80
2008-12-11;77
2008-12-12;74
2008-12-13;72
2008-12-14;71
2008-12-15;69
2008-12-16;68
2008-12-17;66
2008-12-18;62
2008-12-19;58
2008-12-20;52
2008-12-21;49
2008-12-22;47
2008-12-23;44
2008-12-24;40
2008-12-25;39
2008-12-26;34
2008-12-27;31
2008-12-28;27
2008-12-29;22
2008-12-30;19
2008-12-31;15
2009-01-01;11
2009-01-02;9
2009-01-03;7
2009-01-04;4
2009-01-05;2
2009-01-07;-3
2009-01-08;-6
2009-01-09;-7
2009-01-10;-9
2009-01-11;-10
2009-01-12;-12
2009-01-13;-14
2009-01-14;-16
2009-01-15;-16
2009-01-16;-19
2009-01-17;-20
2009-01-18;-21
2009-01-19;-24
2009-01-20;-26
2009-01-21;-27
2009-01-22;-28
2009-01-23;-32
2009-01-24;-32
2009-01-25;-32
2009-01-26;-33
2009-01-27;-35
2009-01-28;-35
2009-01-29;-36
2009-01-30;-37
2009-01-31;-39
2009-02-01;-39
2009-02-02;-41
2009-02-03;-41
2009-02-04;-42
2009-02-05;-42
2009-02-06;-43
2009-02-07;-43
2009-02-08;-44
2009-02-09;-44
2009-02-10;-45
2009-02-11;-45
2009-02-12;-45
2009-02-13;-45
2009-02-14;-45
2009-02-15;-45
2009-02-16;-45
2009-02-17;-46
2009-02-18;-46
2009-02-19;-46
2009-02-20;-46
2009-02-21;-47
2009-02-22;-47
2009-02-23;-47
2009-02-24;-47
2009-02-25;-47
2009-02-26;-46
2009-02-27;-46
2009-02-28;-47
2009-03-01;-47
2009-03-02;-47
2009-03-03;-46
2009-03-04;-46
2009-03-05;-46
2009-03-06;-45
2009-03-07;-45
2009-03-08;-45
2009-03-09;-45
2009-03-10;-45
2009-03-11;-45
2009-03-12;-45
2009-03-13;-45
2009-03-14;-45
2009-03-15;-45
2009-03-16;-46
2009-03-17;-46
2009-03-18;-46
2009-03-19;-46
2009-03-20;-46
2009-03-21;-46
2009-03-22;-46
2009-03-23;-45
2009-03-24;-45
2009-03-25;-45
2009-03-26;-45
2009-03-27;-45
2009-03-28;-45
2009-03-29;-45
2009-03-30;-45
2009-03-31;-45
2009-04-01;-45
2009-04-02;-45
2009-04-03;-45
2009-04-04;-44
2009-04-05;-33
2009-04-06;-23
2009-04-07;-21
2009-04-08;-10
2009-04-09;6
2009-04-10;37
2009-04-11;34
2009-04-12;42
2009-04-13;47
2009-04-14;53
2009-04-15;69
2009-04-16;63
2009-04-17;60
2009-04-18;64
2009-04-19;69
2009-04-20;78
2009-04-21;259
2009-04-22;384
2009-04-23;483
2009-04-24;440
2009-04-25;484
2009-04-26;406
2009-04-27;394
2009-04-28;396
2009-04-29;380
2009-04-30;374
2009-05-01;357
2009-05-02;332
2009-05-03;329
2009-05-04;330
2009-05-05;332
2009-05-06;345
2009-05-07;358
2009-05-08;351
2009-05-09;324
2009-05-10;294
2009-05-11;275
2009-05-12;259
2009-05-13;242
2009-05-14;222
2009-05-15;204
2009-05-16;189
2009-05-17;177
2009-05-18;168
2009-05-19;160
2009-05-20;155
2009-05-21;153
2009-05-22;179
2009-05-23;231
2009-05-24;252
2009-05-25;255
2009-05-26;243
2009-05-27;228
2009-05-28;215
2009-05-29;208
2009-05-30;203
2009-05-31;202
2009-06-01;193
2009-06-02;182
2009-06-03;171
2009-06-04;170
2009-06-05;179
2009-06-06;190
2009-06-07;189
2009-06-08;198
2009-06-09;217
2009-06-10;223
2009-06-11;229
2009-06-12;233
2009-06-13;241
2009-06-14;248
2009-06-15;259
2009-06-16;272
2009-06-17;285
2009-06-18;285
2009-06-19;275
2009-06-20;259
2009-06-21;243
2009-06-22;235
2009-06-23;238
2009-06-24;254
2009-06-25;276
2009-06-26;296
2009-06-27;327
2009-06-28;348
2009-06-29;356
2009-06-30;342
2009-07-01;326
2009-07-02;312
2009-07-03;292
2009-07-04;274
2009-07-05;264
2009-07-06;261
2009-07-07;263
2009-07-08;258
2009-07-09;254
2009-07-10;254
2009-07-11;294
2009-07-12;438
2009-07-13;508
2009-07-14;543
2009-07-15;534
2009-07-16;502
2009-07-17;485
2009-07-18;486
2009-07-19;506
2009-07-20;535
2009-07-21;556
2009-07-22;564
2009-07-23;547
2009-07-24;500
2009-07-25;445
2009-07-26;408
2009-07-27;377
2009-07-28;352
2009-07-29;331
2009-07-30;319
2009-07-31;312
2009-08-01;305
2009-08-02;296
2009-08-03;290
2009-08-04;290
2009-08-05;288
2009-08-06;309
2009-08-07;387
2009-08-08;407
2009-08-09;386
2009-08-10;362
2009-08-11;342
2009-08-12;330
2009-08-13;328
2009-08-14;330
2009-08-15;352
2009-08-16;404
2009-08-17;422
2009-08-18;400
2009-08-19;372
2009-08-20;363
2009-08-21;359
2009-08-22;352
2009-08-23;360
2009-08-24;390
2009-08-25;414
2009-08-26;429
2009-08-27;462
2009-08-28;497
2009-08-29;516
2009-08-30;537
2009-08-31;562
2009-09-01;564
2009-09-02;536
2009-09-03;494
2009-09-04;459
2009-09-05;443
2009-09-06;433
2009-09-07;429
2009-09-08;432
2009-09-09;424
2009-09-10;420
2009-09-11;427
2009-09-12;417
2009-09-13;393
2009-09-14;371
2009-09-15;352
2009-09-16;334
2009-09-17;321
2009-09-18;311
2009-09-19;298
2009-09-20;293
2009-09-21;292
2009-09-22;280
2009-09-23;276
2009-09-24;273
2009-09-25;285
2009-09-26;336
2009-09-27;387
2009-09-28;424
2009-09-29;450
2009-09-30;451
2009-10-01;433
2009-10-02;413
2009-10-03;398
2009-10-04;385
2009-10-05;376
2009-10-06;369
2009-10-07;365
2009-10-08;359
2009-10-09;350
2009-10-10;338
2009-10-11;331
2009-10-12;322
2009-10-13;313
2009-10-14;304
2009-10-15;295
2009-10-16;287
2009-10-17;279
2009-10-18;273
2009-10-19;266
2009-10-20;259
2009-10-21;251
2009-10-22;246
2009-10-23;237
2009-10-24;228
2009-10-25;217
2009-10-26;210
2009-10-27;203
2009-10-28;197
2009-10-29;176
2009-10-30;174
2009-10-31;189
2009-11-01;180
2009-11-02;174
2009-11-03;165
2009-11-04;147
2009-11-05;132
2009-11-06;104
2009-11-07;47
2009-11-08;21
2009-11-09;21
2009-11-10;28
2009-11-11;15
2009-11-12;7
2009-11-13;12
2009-11-14;20
2009-11-15;28
2009-11-16;33
2009-11-17;34
2009-11-18;26
2009-11-19;24
2009-11-20;21
2009-11-21;20
2009-11-22;18
2009-11-23;13
2009-11-24;17
2009-11-25;18
2009-11-27;-33
2009-11-28;15
2009-11-29;41
2009-11-30;41
2009-12-01;67
2009-12-02;89
2009-12-03;113
2009-12-04;128
2009-12-05;147
2009-12-06;157
2009-12-07;154
2009-12-08;154
2009-12-09;155
2009-12-10;157
2009-12-11;155
2009-12-12;152
2009-12-13;149
2009-12-14;148
2009-12-15;143
2009-12-16;138
2009-12-17;135
2009-12-18;129
2009-12-19;127
2009-12-20;124
2009-12-21;120
2009-12-22;116
2009-12-23;114
2009-12-24;107
2009-12-25;103
2009-12-26;100
2009-12-27;95
2009-12-28;92
2009-12-29;90
2009-12-30;85
2009-12-31;81
2010-01-01;77
2010-01-02;71
2010-01-03;67
2010-01-04;64
2010-01-05;59
2010-01-06;55
2010-01-07;52
2010-01-08;48
2010-01-09;45
2010-01-10;41
2010-01-11;37
2010-01-12;33
2010-01-13;30
2010-01-14;28
2010-01-15;25
2010-01-16;22
2010-01-17;19
2010-01-18;17
2010-01-19;14
2010-01-20;11
2010-01-21;9
2010-01-22;3
2010-01-23;1
2010-01-24;-2
2010-01-25;-4
2010-01-26;-6
2010-01-27;-8
2010-01-28;-9
2010-01-29;-11
2010-01-30;-13
2010-01-31;-15
2010-02-01;-16
2010-02-02;-18
2010-02-03;-20
2010-02-04;-20
2010-02-05;-21
2010-02-06;-23
2010-02-07;-24
2010-02-08;-25
2010-02-09;-26
2010-02-10;-26
2010-02-11;-27
2010-02-12;-28
2010-02-13;-29
2010-02-14;-30
2010-02-15;-31
2010-02-16;-31
2010-02-17;-31
2010-02-18;-32
2010-02-19;-33
2010-02-20;-33
2010-02-21;-33
2010-02-22;-34
2010-02-23;-36
2010-02-24;-36
2010-02-25;-36
2010-02-26;-37
2010-02-27;-38
2010-02-28;-39
2010-03-01;-39
2010-03-02;-39
2010-03-03;-40
2010-03-04;-40
2010-03-05;-41
2010-03-06;-41
2010-03-07;-42
2010-03-08;-42
2010-03-09;-42
2010-03-10;-43
2010-03-11;-43
2010-03-12;-43
2010-03-13;-44
2010-03-14;-44
2010-03-15;-45
2010-03-16;-45
2010-03-17;-45
2010-03-18;-46
2010-03-19;-46
2010-03-20;-46
2010-03-21;-46
2010-03-22;-47
2010-03-23;-47
2010-03-24;-47
2010-03-25;-47
2010-03-26;-46
2010-03-27;-47
2010-03-28;-47
2010-03-29;-47
2010-03-30;-47
2010-03-31;-47
2010-04-01;-47
2010-04-02;-48
2010-04-03;-48
2010-04-04;-48
2010-04-05;-48
2010-04-06;-47
2010-04-07;-46
2010-04-08;-45
2010-04-09;-43
2010-04-10;-41
2010-04-11;-39
2010-04-12;-38
2010-04-13;-37
2010-04-14;-37
2010-04-15;-33
2010-04-16;-33
2010-04-17;-32
2010-04-18;-31
2010-04-19;-28
2010-04-20;-25
2010-04-21;-22
2010-04-22;-20
2010-04-23;-15
2010-04-24;-10
2010-04-25;-3
2010-04-26;3
2010-04-27;11
2010-04-28;20
2010-04-29;25
2010-04-30;36
2010-05-01;46
2010-05-02;60
2010-05-03;108
2010-05-04;149
2010-05-05;260
2010-05-06;248
2010-05-07;354
2010-05-08;422
2010-05-09;402
2010-05-10;370
2010-05-11;369
2010-05-12;384
2010-05-13;401
2010-05-14;369
2010-05-15;318
2010-05-16;302
2010-05-17;297
2010-05-18;300
2010-05-19;309
2010-05-20;318
2010-05-21;329
2010-05-22;343
2010-05-23;370
2010-05-24;406
2010-05-25;439
2010-05-26;449
2010-05-27;444
2010-05-28;416
2010-05-29;378
2010-05-30;341
2010-05-31;310
2010-06-01;282
2010-06-02;263
2010-06-03;244
2010-06-04;233
2010-06-05;224
2010-06-06;253
2010-06-07;268
2010-06-08;268
2010-06-09;260
2010-06-10;253
2010-06-11;244
2010-06-12;223
2010-06-13;200
2010-06-14;185
2010-06-15;174
2010-06-16;166
2010-06-17;159
2010-06-18;153
2010-06-19;148
2010-06-20;152
2010-06-21;157
2010-06-22;153
2010-06-23;151
2010-06-24;160
2010-06-25;159
2010-06-26;148
2010-06-27;137
2010-06-28;132
2010-06-29;126
2010-06-30;115
2010-07-01;106
2010-07-02;100
2010-07-03;93
2010-07-04;90
2010-07-05;102
2010-07-06;103
2010-07-07;122
2010-07-08;157
2010-07-09;170
2010-07-10;172
2010-07-11;170
2010-07-12;157
2010-07-13;156
2010-07-14;148
2010-07-15;136
2010-07-16;125
2010-07-17;134
2010-07-18;144
2010-07-19;143
2010-07-20;133
2010-07-21;136
2010-07-22;145
2010-07-23;158
2010-07-24;161
2010-07-25;156
2010-07-26;158
2010-07-27;158
2010-07-28;163
2010-07-29;167
2010-07-30;164
2010-07-31;163
2010-08-01;187
2010-08-02;204
2010-08-03;208
2010-08-04;226
2010-08-05;325
2010-08-06;367
2010-08-07;355
2010-08-08;331
2010-08-09;311
2010-08-10;299
2010-08-11;293
2010-08-12;293
2010-08-13;290
2010-08-14;281
2010-08-15;285
2010-08-16;293
2010-08-17;305
2010-08-18;297
2010-08-19;288
2010-08-20;285
2010-08-21;292
2010-08-22;291
2010-08-23;285
2010-08-24;274
2010-08-25;272
2010-08-26;282
2010-08-27;292
2010-08-28;281
2010-08-29;267
2010-08-30;259
2010-08-31;259
2010-09-01;247
2010-09-02;234
2010-09-03;222
2010-09-04;217
2010-09-05;214
2010-09-06;212
2010-09-07;207
2010-09-08;199
2010-09-09;186
2010-09-10;175
2010-09-11;162
2010-09-12;153
2010-09-13;145
2010-09-14;138
2010-09-15;130
2010-09-16;125
2010-09-17;121
2010-09-18;118
2010-09-19;117
2010-09-20;118
2010-09-21;117
2010-09-22;115
2010-09-23;115
2010-09-24;115
2010-09-25;115
2010-09-26;108
2010-09-27;104
2010-09-28;102
2010-09-29;100
2010-09-30;96
2010-10-01;94
2010-10-02;92
2010-10-03;89
2010-10-04;87
2010-10-05;87
2010-10-06;87
2010-10-07;87
2010-10-08;85
2010-10-09;84
2010-10-10;85
2010-10-11;84
2010-10-12;83
2010-10-13;82
2010-10-14;82
2010-10-15;81
2010-10-16;79
2010-10-17;76
2010-10-18;73
2010-10-19;70
2010-10-20;69
2010-10-21;68
2010-10-22;64
2010-10-23;59
2010-10-24;51
2010-10-25;45
2010-10-26;41
2010-10-27;39
2010-10-28;39
2010-10-29;43
2010-10-30;35
2010-10-31;28
2010-11-01;16
2010-11-02;23
2010-11-03;-2
2010-11-04;-49
2010-11-05;-56
2010-11-06;-67
2010-11-07;-55
2010-11-08;-50
2010-11-09;-45
2010-11-10;-58
2010-11-11;-53
2010-11-12;-70
2010-11-13;-67
2010-11-14;-69
2010-11-15;-63
2010-11-16;-59
2010-11-17;-52
2010-11-18;-46
2010-11-19;-37
2010-11-20;-41
2010-11-21;-32
2010-11-22;-40
2010-11-23;-44
2010-11-24;-44
2010-11-25;-44
2010-11-26;-54
2010-11-27;-48
2010-11-28;-38
2010-11-29;-6
2010-11-30;35
2010-12-01;40
2010-12-02;44
2010-12-03;40
2010-12-04;37
2010-12-05;35
2010-12-06;37
2010-12-07;36
2010-12-08;31
2010-12-09;31
2010-12-10;31
2010-12-11;27
2010-12-12;26
2010-12-13;25
2010-12-14;22
2010-12-15;19
2010-12-16;16
2010-12-17;15
2010-12-18;13
2010-12-19;12
2010-12-20;10
2010-12-21;7
2010-12-22;5
2010-12-23;3
2010-12-24;1
2010-12-25;-2
2010-12-26;-2
2010-12-27;-6
2010-12-28;-7
2010-12-29;-9
2010-12-30;-11
2010-12-31;-13
2011-01-01;-14
2011-01-02;-18
2011-01-03;-20
2011-01-04;-21
2011-01-05;-24
2011-01-06;-23
2011-01-07;-23
2011-01-08;-25
2011-01-09;-27
2011-01-10;-28
2011-01-11;-28
2011-01-12;-30
2011-01-13;-32
2011-01-14;-32
2011-01-15;-32
2011-01-16;-33
2011-01-17;-34
2011-01-18;-35
2011-01-19;-36
2011-01-20;-39
2011-01-21;-41
2011-01-22;-42
2011-01-23;-45
2011-01-24;-43
2011-01-25;-43
2011-01-26;-45
2011-01-27;-46
2011-01-28;-43
2011-01-29;-46
2011-01-30;-45
2011-01-31;-45
2011-02-01;-46
2011-02-02;-49
2011-02-03;-50
2011-02-04;-51
2011-02-05;-52
2011-02-06;-52
2011-02-07;-53
2011-02-08;-54
2011-02-09;-53
2011-02-10;-52
2011-02-11;-54
2011-02-12;-55
2011-02-13;-55
2011-02-14;-56
2011-02-15;-55
2011-02-16;-56
2011-02-17;-56
2011-02-18;-56
2011-02-19;-56
2011-02-20;-57
2011-02-21;-57
2011-02-22;-57
2011-02-23;-58
2011-02-24;-57
2011-02-25;-56
2011-02-26;-56
2011-02-27;-57
2011-02-28;-57
2011-03-01;-54
2011-03-02;-57
2011-03-03;-57
2011-03-04;-57
2011-03-05;-57
2011-03-06;-57
2011-03-07;-57
2011-03-08;-57
2011-03-09;-57
2011-03-10;-57
2011-03-11;-57
2011-03-12;-57
2011-03-13;-56
2011-03-14;-56
2011-03-15;-57
2011-03-16;-57
2011-03-17;-57
2011-03-18;-55
2011-03-19;-56
2011-03-20;-57
2011-03-21;-56
2011-03-22;-57
2011-03-23;-56
2011-03-24;-56
2011-03-25;-56
2011-03-26;-56
2011-03-27;-56
2011-03-28;-56
2011-03-29;-55
2011-03-30;-53
2011-03-31;-45
2011-04-01;-35
2011-04-02;-32
2011-04-03;-34
2011-04-04;-31
2011-04-05;-24
2011-04-06;-15
2011-04-07;-23
2011-04-08;-10
2011-04-09;-3
2011-04-10;5
2011-04-11;7
2011-04-12;9
2011-04-13;8
2011-04-14;7
2011-04-15;8
2011-04-16;9
2011-04-17;8
2011-04-18;13
2011-04-19;24
2011-04-20;21
2011-04-21;33
2011-04-22;82
2011-04-23;96
2011-04-24;92
2011-04-25;66
2011-04-26;69
2011-04-27;79
2011-04-28;59
2011-04-29;182
2011-04-30;275
2011-05-01;264
2011-05-02;242
2011-05-03;236
2011-05-04;221
2011-05-05;206
2011-05-06;189
2011-05-07;177
2011-05-08;168
2011-05-09;154
2011-05-10;155
2011-05-11;153
2011-05-12;154
2011-05-13;163
2011-05-14;182
2011-05-15;227
2011-05-16;267
2011-05-17;249
2011-05-18;223
2011-05-19;197
2011-05-20;183
2011-05-21;178
2011-05-22;175
2011-05-23;172
2011-05-24;170
2011-05-25;169
2011-05-26;175
2011-05-27;171
2011-05-28;161
2011-05-29;153
2011-05-30;150
2011-05-31;153
2011-06-01;173
2011-06-02;211
2011-06-03;284
2011-06-04;340
2011-06-05;376
2011-06-06;402
2011-06-07;401
2011-06-08;373
2011-06-09;337
2011-06-10;312
2011-06-11;302
2011-06-12;370
2011-06-13;468
2011-06-14;470
2011-06-15;417
2011-06-16;352
2011-06-17;303
2011-06-18;276
2011-06-19;263
2011-06-20;242
2011-06-21;221
2011-06-22;200
2011-06-23;185
2011-06-24;171
2011-06-25;162
2011-06-26;158
2011-06-27;170
2011-06-28;174
2011-06-29;165
2011-06-30;151
2011-07-01;144
2011-07-02;137
2011-07-03;128
2011-07-04;118
2011-07-05;120
2011-07-06;133
2011-07-07;128
2011-07-08;119
2011-07-09;110
2011-07-10;105
2011-07-11;103
2011-07-12;105
2011-07-13;105
2011-07-14;106
2011-07-15;105
2011-07-16;107
2011-07-17;107
2011-07-18;104
2011-07-19;104
2011-07-20;104
2011-07-21;103
2011-07-22;103
2011-07-23;104
2011-07-24;104
2011-07-25;108
2011-07-26;113
2011-07-27;114
2011-07-28;112
2011-07-29;112
2011-07-30;117
2011-07-31;131
2011-08-01;162
2011-08-02;259
2011-08-03;320
2011-08-04;320
2011-08-05;319
2011-08-06;347
2011-08-07;394
2011-08-08;422
2011-08-09;441
2011-08-10;450
2011-08-11;451
2011-08-12;445
2011-08-13;442
2011-08-14;448
2011-08-15;447
2011-08-16;425
2011-08-17;401
2011-08-18;384
2011-08-19;373
2011-08-20;358
2011-08-21;340
2011-08-22;322
2011-08-23;308
2011-08-24;297
2011-08-25;284
2011-08-26;267
2011-08-27;251
2011-08-28;237
2011-08-29;224
2011-08-30;214
2011-08-31;205
2011-09-01;198
2011-09-02;194
2011-09-03;190
2011-09-04;181
2011-09-05;172
2011-09-06;165
2011-09-07;161
2011-09-08;157
2011-09-09;156
2011-09-10;154
2011-09-11;151
2011-09-12;146
2011-09-13;143
2011-09-14;139
2011-09-15;134
2011-09-16;130
2011-09-17;125
2011-09-18;121
2011-09-19;119
2011-09-20;116
2011-09-21;115
2011-09-22;112
2011-09-23;110
2011-09-24;106
2011-09-25;103
2011-09-26;100
2011-09-27;97
2011-09-28;94
2011-09-29;91
2011-09-30;88
2011-10-01;87
2011-10-02;86
2011-10-03;86
2011-10-04;86
2011-10-05;85
2011-10-06;82
2011-10-07;78
2011-10-08;77
2011-10-09;75
2011-10-10;74
2011-10-11;73
2011-10-12;71
2011-10-13;70
2011-10-14;68
2011-10-15;67
2011-10-16;66
2011-10-17;65
2011-10-18;63
2011-10-19;59
2011-10-20;58
2011-10-21;56
2011-10-22;54
2011-10-23;52
2011-10-24;48
2011-10-25;44
2011-10-26;43
2011-10-27;41
2011-10-28;38
2011-10-29;36
2011-10-30;28
2011-10-31;22
2011-11-01;19
2011-11-02;22
2011-11-03;21
2011-11-04;9
2011-11-05;11
2011-11-06;18
2011-11-07;17
2011-11-08;14
2011-11-09;10
2011-11-10;-1
2011-11-11;-22
2011-11-12;-37
2011-11-13;-58
2011-11-14;-79
2011-11-15;-127
2011-11-16;-105
2011-11-17;-87
2011-11-18;-82
2011-11-19;-60
2011-11-20;-41
2011-11-21;-33
2011-11-22;-33
2011-11-23;-36
2011-11-24;-37
2011-11-25;-36
2011-11-26;-35
2011-11-27;-30
2011-11-28;-23
2011-11-29;-15
2011-11-30;-12
2011-12-01;-10
2011-12-02;-9
2011-12-03;-4
2011-12-04;-1
2011-12-05;10
2011-12-06;13
2011-12-07;16
2011-12-08;18
2011-12-09;18
2011-12-10;14
