Timestamp;Value
2008-01-01;-86
2008-01-02;-88
2008-01-03;-90
2008-01-04;-91
2008-01-05;-92
2008-01-06;-94
2008-01-07;-95
2008-01-08;-97
2008-01-09;-99
2008-01-10;-100
2008-01-11;-100
2008-01-12;-100
2008-01-13;-100
2008-01-14;-101
2008-01-15;-102
2008-01-16;-102
2008-01-17;-102
2008-01-18;-102
2008-01-19;-103
2008-01-20;-103
2008-01-21;-103
2008-01-22;-103
2008-01-23;-104
2008-01-24;-105
2008-01-25;-106
2008-01-26;-107
2008-01-27;-108
2008-01-28;-109
2008-01-29;-110
2008-01-30;-110
2008-01-31;-110
2008-02-01;-111
2008-02-02;-112
2008-02-03;-113
2008-02-04;-114
2008-02-05;-114
2008-02-06;-115
2008-02-07;-116
2008-02-08;-117
2008-02-09;-118
2008-02-10;-119
2008-02-11;-119
2008-02-12;-119
2008-02-13;-119
2008-02-14;-120
2008-02-15;-121
2008-02-16;-121
2008-02-17;-121
2008-02-18;-119
2008-02-19;-115
2008-02-20;-110
2008-02-21;-108
2008-02-22;-108
2008-02-23;-107
2008-02-24;-106
2008-02-25;-104
2008-02-26;-103
2008-02-27;-101
2008-02-28;-99
2008-02-29;-99
2008-03-01;-101
2008-03-02;-103
2008-03-03;-104
2008-03-04;-108
2008-03-05;-108
2008-03-06;-105
2008-03-07;-104
2008-03-08;-101
2008-03-09;-100
2008-03-10;-99
2008-03-11;-100
2008-03-12;-99
2008-03-13;-98
2008-03-14;-98
2008-03-15;-99
2008-03-16;-101
2008-03-17;-103
2008-03-18;-104
2008-03-19;-103
2008-03-20;-102
2008-03-21;-100
2008-03-22;-99
2008-03-23;-95
2008-03-24;-90
2008-03-25;-86
2008-03-26;-84
2008-03-27;-81
2008-03-28;-78
2008-03-29;-76
2008-03-30;-76
2008-03-31;-76
2008-04-01;-79
2008-04-02;-78
2008-04-03;-77
2008-04-04;-75
2008-04-05;-72
2008-04-06;-64
2008-04-07;-54
2008-04-08;-17
2008-04-09;34
2008-04-10;53
2008-04-11;70
2008-04-12;66
2008-04-13;25
2008-04-14;-53
2008-04-15;-108
