Timestamp;Value
2008-01-01;-304
2008-01-02;-309
2008-01-03;-314
2008-01-04;-316
2008-01-05;-318
2008-01-06;-319
2008-01-07;-320
2008-01-08;-320
2008-01-09;-321
2008-01-10;-322
2008-01-11;-322
2008-01-12;-322
2008-01-13;-322
2008-01-14;-321
2008-01-15;-321
2008-01-16;-324
2008-01-17;-328
2008-01-18;-334
2008-01-19;-341
2008-01-20;-346
2008-01-21;-344
2008-01-22;-340
2008-01-23;-339
2008-01-24;-339
2008-01-25;-339
2008-01-26;-340
2008-01-27;-341
2008-01-28;-341
2008-01-29;-341
2008-01-30;-341
2008-01-31;-341
2008-02-01;-342
2008-02-02;-343
2008-02-03;-344
2008-02-04;-346
2008-02-05;-347
2008-02-06;-349
2008-02-07;-351
2008-02-08;-353
2008-02-09;-354
2008-02-10;-354
2008-02-11;-357
2008-02-12;-360
2008-02-13;-363
2008-02-14;-364
2008-02-15;-364
2008-02-16;-364
2008-02-17;-364
2008-02-18;-365
2008-02-19;-366
2008-02-20;-366
2008-02-21;-367
2008-02-22;-368
2008-02-23;-369
2008-02-24;-370
2008-02-25;-371
2008-02-26;-369
2008-02-27;-366
2008-02-28;-362
2008-02-29;-360
2008-03-01;-360
2008-03-02;-360
2008-03-03;-359
2008-03-04;-359
2008-03-05;-358
2008-03-06;-360
2008-03-07;-364
2008-03-08;-368
2008-03-09;-372
2008-03-10;-374
2008-03-11;-377
2008-03-12;-379
2008-03-13;-380
2008-03-14;-380
2008-03-15;-381
2008-03-16;-381
2008-03-17;-378
2008-03-18;-376
2008-03-19;-374
2008-03-20;-371
2008-03-21;-369
2008-03-22;-367
2008-03-23;-364
2008-03-24;-360
2008-03-25;-358
2008-03-26;-357
2008-03-27;-355
2008-03-28;-353
2008-03-29;-351
2008-03-30;-341
2008-03-31;-334
2008-04-01;-325
2008-04-02;-313
2008-04-03;-304
2008-04-04;-291
2008-04-05;-280
2008-04-06;-268
2008-04-07;-257
2008-04-08;-242
2008-04-09;-234
2008-04-10;-230
2008-04-11;-217
2008-04-12;-197
2008-04-13;-165
2008-04-14;-119
2008-04-15;-45
2008-04-16;-5
2008-04-17;42
2008-04-18;105
2008-04-19;242
2008-04-20;222
2008-04-21;159
2008-04-22;69
2008-04-23;-6
2008-04-24;-46
2008-04-25;-126
2008-04-26;-164
2008-04-27;-184
2008-04-28;-202
2008-04-29;-215
2008-04-30;-226
2008-05-01;-229
2008-05-02;-214
2008-05-03;-186
2008-05-04;-173
2008-05-05;-160
2008-05-06;-156
2008-05-07;-149
2008-05-08;-134
2008-05-09;-126
2008-05-10;-120
2008-05-11;-114
2008-05-12;-96
2008-05-13;-69
2008-05-14;-60
2008-05-15;-47
2008-05-16;-35
2008-05-17;-30
2008-05-18;-42
2008-05-19;-44
2008-05-20;-49
2008-05-21;-56
2008-05-22;-63
2008-05-23;-58
2008-05-24;-50
2008-05-25;-46
2008-05-26;-44
2008-05-27;-51
2008-05-28;-62
2008-05-29;-71
2008-05-30;-58
2008-05-31;-57
2008-06-01;-63
2008-06-02;-69
2008-06-03;-72
2008-06-04;-72
2008-06-05;-73
2008-06-06;-66
2008-06-07;-61
2008-06-08;-55
2008-06-09;-53
2008-06-10;-50
2008-06-11;-50
2008-06-12;-47
2008-06-13;-46
2008-06-14;-47
2008-06-15;-48
2008-06-16;-48
2008-06-17;-47
2008-06-18;-44
2008-06-19;-42
2008-06-20;-45
2008-06-21;-52
2008-06-22;-61
2008-06-23;-74
2008-06-24;-86
2008-06-25;-100
2008-06-26;-112
2008-06-27;-125
2008-06-28;-132
2008-06-29;-137
2008-06-30;-147
2008-07-01;-155
2008-07-02;-163
2008-07-03;-168
2008-07-04;-176
2008-07-05;-187
2008-07-06;-195
2008-07-07;-203
2008-07-08;-210
2008-07-09;-217
2008-07-10;-223
2008-07-11;-232
2008-07-12;-237
2008-07-13;-241
2008-07-14;-241
2008-07-15;-236
2008-07-16;-234
2008-07-17;-232
2008-07-18;-230
2008-07-19;-223
2008-07-20;-219
2008-07-21;-217
2008-07-22;-207
2008-07-23;-187
2008-07-24;-151
2008-07-25;-136
2008-07-26;-98
2008-07-27;-75
2008-07-28;-60
2008-07-29;-50
2008-07-30;-42
2008-07-31;-35
2008-08-01;-33
2008-08-02;-33
2008-08-03;-30
2008-08-04;-24
2008-08-05;-24
2008-08-06;-23
2008-08-07;-18
2008-08-08;-12
2008-08-09;-1
2008-08-10;10
2008-08-11;19
2008-08-12;27
2008-08-13;30
2008-08-14;30
2008-08-15;27
2008-08-16;26
2008-08-17;27
2008-08-18;29
2008-08-19;28
2008-08-20;20
2008-08-21;16
2008-08-22;7
2008-08-23;-1
2008-08-24;-10
2008-08-25;-19
2008-08-26;-26
2008-08-27;-29
2008-08-28;-33
2008-08-29;-44
2008-08-30;-56
2008-08-31;-74
2008-09-01;-86
2008-09-02;-94
2008-09-03;-103
2008-09-04;-116
2008-09-05;-137
2008-09-06;-143
2008-09-07;-148
2008-09-08;-153
2008-09-09;-158
2008-09-10;-165
2008-09-11;-162
2008-09-12;-161
2008-09-13;-160
2008-09-14;-159
2008-09-15;-158
2008-09-16;-156
2008-09-17;-154
2008-09-18;-126
2008-09-19;-109
2008-09-20;-99
2008-09-21;-85
2008-09-22;-75
2008-09-23;-68
2008-09-24;-61
2008-09-25;-60
2008-09-26;-56
2008-09-27;-56
2008-09-28;-58
2008-09-29;-54
2008-09-30;-50
2008-10-01;-46
2008-10-02;-41
2008-10-03;-31
2008-10-04;-25
2008-10-05;-17
2008-10-06;-11
2008-10-07;-13
2008-10-08;-21
2008-10-09;-22
2008-10-10;-25
2008-10-11;-30
2008-10-12;-37
2008-10-13;-42
2008-10-14;-47
2008-10-15;-54
2008-10-16;-62
2008-10-17;-69
2008-10-18;-79
2008-10-19;-94
2008-10-20;-104
2008-10-21;-108
2008-10-22;-114
2008-10-23;-122
2008-10-24;-130
2008-10-25;-132
2008-10-26;-135
2008-10-27;-134
2008-10-28;-129
2008-10-29;-125
2008-10-30;-124
2008-10-31;-125
2008-11-01;-130
2008-11-02;-136
2008-11-03;-143
2008-11-04;-151
2008-11-05;-159
2008-11-06;-167
2008-11-07;-165
2008-11-08;-175
2008-11-09;-185
2008-11-10;-164
2008-11-11;-160
2008-11-12;-184
2008-11-13;-192
2008-11-14;-175
2008-11-15;-169
2008-11-16;-170
2008-11-17;-185
2008-11-18;-164
2008-11-19;-128
2008-11-20;-74
2008-11-21;-49
2008-11-22;-102
2008-11-23;-148
2008-11-24;-172
2008-11-25;-185
2008-11-26;-192
2008-11-27;-181
2008-11-28;-178
2008-11-29;-177
2008-11-30;-176
2008-12-01;-176
2008-12-02;-175
2008-12-03;-172
2008-12-04;-169
2008-12-05;-164
2008-12-06;-163
2008-12-07;-162
2008-12-08;-162
2008-12-09;-161
2008-12-10;-159
2008-12-11;-159
2008-12-12;-162
2008-12-13;-165
2008-12-14;-165
2008-12-15;-165
2008-12-16;-166
2008-12-17;-166
2008-12-18;-166
2008-12-19;-167
2008-12-20;-167
2008-12-21;-165
2008-12-22;-161
2008-12-23;-156
2008-12-24;-151
2008-12-25;-145
2008-12-26;-142
2008-12-27;-138
2008-12-28;-134
2008-12-29;-129
2008-12-30;-122
2008-12-31;-118
2009-01-01;-118
2009-01-02;-117
2009-01-03;-116
2009-01-04;-116
2009-01-05;-116
2009-01-06;-116
2009-01-07;-116
2009-01-08;-117
2009-01-09;-117
2009-01-10;-117
2009-01-11;-117
2009-01-12;-117
2009-01-13;-117
2009-01-14;-118
2009-01-15;-118
2009-01-16;-121
2009-01-17;-124
2009-01-18;-127
2009-01-19;-130
2009-01-20;-133
2009-01-21;-135
2009-01-22;-137
2009-01-23;-140
2009-01-24;-144
2009-01-25;-147
2009-01-26;-153
2009-01-27;-161
2009-01-28;-168
2009-01-29;-176
2009-01-30;-181
2009-01-31;-185
2009-02-01;-190
2009-02-02;-195
2009-02-03;-200
2009-02-04;-205
2009-02-05;-210
2009-02-06;-212
2009-02-07;-215
2009-02-08;-220
2009-02-09;-224
2009-02-10;-228
2009-02-11;-232
2009-02-12;-235
2009-02-13;-238
2009-02-14;-250
2009-02-15;-252
2009-02-16;-255
2009-02-17;-258
2009-02-18;-260
2009-02-19;-262
2009-02-20;-264
2009-02-21;-267
2009-02-22;-270
2009-02-23;-274
2009-02-24;-277
2009-02-25;-279
2009-02-26;-288
2009-02-27;-292
2009-02-28;-296
2009-03-01;-301
2009-03-02;-301
2009-03-03;-301
2009-03-04;-301
2009-03-05;-301
2009-03-06;-302
2009-03-07;-302
2009-03-08;-303
2009-03-09;-304
2009-03-10;-305
2009-03-11;-306
2009-03-12;-307
2009-03-13;-308
2009-03-14;-309
2009-03-15;-311
2009-03-16;-311
2009-03-17;-311
2009-03-18;-311
2009-03-19;-310
2009-03-20;-310
2009-03-21;-312
2009-03-22;-314
2009-03-23;-314
2009-03-24;-314
2009-03-25;-314
2009-03-26;-313
2009-03-27;-312
2009-03-28;-309
2009-03-29;-305
2009-03-30;-305
2009-03-31;-304
2009-04-01;-303
2009-04-02;-303
2009-04-03;-303
2009-04-04;-300
2009-04-05;-300
2009-04-06;-299
2009-04-07;-298
2009-04-08;-296
2009-04-09;-294
2009-04-10;-292
2009-04-11;-289
2009-04-12;-284
2009-04-13;-272
2009-04-14;-249
2009-04-15;-231
2009-04-16;-199
2009-04-17;-193
2009-04-18;-180
2009-04-19;-165
2009-04-20;-144
2009-04-21;-110
2009-04-22;-84
2009-04-23;-41
2009-04-24;10
2009-04-25;49
2009-04-26;89
2009-04-27;149
2009-04-28;209
2009-04-29;302
2009-04-30;397
2009-05-01;483
2009-05-02;415
2009-05-03;362
2009-05-04;304
2009-05-05;239
2009-05-06;203
2009-05-07;188
2009-05-08;183
2009-05-09;183
2009-05-10;183
2009-05-11;181
2009-05-12;182
2009-05-13;184
2009-05-14;184
2009-05-15;181
2009-05-16;179
2009-05-17;181
2009-05-18;184
2009-05-19;188
2009-05-20;189
2009-05-21;190
2009-05-22;190
2009-05-23;186
2009-05-24;176
2009-05-25;166
2009-05-26;156
2009-05-27;143
2009-05-28;126
2009-05-29;109
2009-05-30;93
2009-05-31;79
2009-06-01;64
2009-06-02;60
2009-06-03;57
2009-06-04;55
2009-06-05;53
2009-06-06;56
2009-06-07;56
2009-06-08;46
2009-06-09;39
2009-06-10;34
2009-06-11;27
2009-06-12;19
2009-06-13;14
2009-06-14;8
2009-06-15;-4
2009-06-16;-8
2009-06-17;-15
2009-06-18;-12
2009-06-19;-3
2009-06-20;7
2009-06-21;15
2009-06-22;21
2009-06-23;31
2009-06-24;41
2009-06-25;52
2009-06-26;61
2009-06-27;74
2009-06-28;92
2009-06-29;106
2009-06-30;122
2009-07-01;151
2009-07-02;170
2009-07-03;190
2009-07-04;207
2009-07-05;222
2009-07-06;241
2009-07-07;266
2009-07-08;268
2009-07-09;278
2009-07-10;288
2009-07-11;309
2009-07-12;324
2009-07-13;336
2009-07-14;350
2009-07-15;362
2009-07-16;375
2009-07-17;384
2009-07-18;388
2009-07-19;394
2009-07-20;398
2009-07-21;405
2009-07-22;413
2009-07-23;420
2009-07-24;423
2009-07-25;427
2009-07-26;432
2009-07-27;442
2009-07-28;451
2009-07-29;460
2009-07-30;466
2009-07-31;469
2009-08-01;476
2009-08-02;483
2009-08-03;489
2009-08-04;493
2009-08-05;501
2009-08-06;510
2009-08-07;517
2009-08-08;522
2009-08-09;531
2009-08-10;536
2009-08-11;540
2009-08-12;543
2009-08-13;549
2009-08-14;548
2009-08-15;544
2009-08-16;538
2009-08-17;533
2009-08-18;529
2009-08-19;525
2009-08-20;518
2009-08-21;508
2009-08-22;498
2009-08-23;488
2009-08-24;475
2009-08-25;471
2009-08-26;469
2009-08-27;467
2009-08-28;467
2009-08-29;469
2009-08-30;472
2009-08-31;476
2009-09-01;479
2009-09-02;481
2009-09-03;485
2009-09-04;488
2009-09-05;491
2009-09-06;491
2009-09-07;493
2009-09-08;507
2009-09-09;518
2009-09-10;523
2009-09-11;524
2009-09-12;529
2009-09-13;531
2009-09-14;526
2009-09-15;527
2009-09-16;527
2009-09-17;527
2009-09-18;526
2009-09-19;521
2009-09-20;515
2009-09-21;509
2009-09-22;506
2009-09-23;503
2009-09-24;501
2009-09-25;497
2009-09-26;493
2009-09-27;489
2009-09-28;482
2009-09-29;477
2009-09-30;472
2009-10-01;458
2009-10-02;449
2009-10-03;435
2009-10-04;415
2009-10-05;400
2009-10-06;383
2009-10-07;363
2009-10-08;343
2009-10-09;329
2009-10-10;318
2009-10-11;307
2009-10-12;285
2009-10-13;282
2009-10-14;282
2009-10-15;281
2009-10-16;280
2009-10-17;276
2009-10-18;273
2009-10-19;270
2009-10-20;264
2009-10-21;256
2009-10-22;249
2009-10-23;237
2009-10-24;228
2009-10-25;208
2009-10-26;192
2009-10-27;169
2009-10-28;150
2009-10-29;126
2009-10-30;112
2009-10-31;92
2009-11-01;87
2009-11-02;69
2009-11-03;23
2009-11-04;-2
2009-11-05;-27
2009-11-06;-25
2009-11-07;-14
2009-11-08;-14
2009-11-09;-29
2009-11-10;-39
2009-11-11;-47
2009-11-12;-59
2009-11-13;-58
2009-11-14;-12
2009-11-15;14
2009-11-16;50
2009-11-17;45
2009-11-18;12
2009-11-19;-13
2009-11-20;-17
2009-11-21;-21
2009-11-22;-23
2009-11-23;-28
2009-11-24;-29
2009-11-25;-30
2009-11-26;-31
2009-11-27;-32
2009-11-28;-45
2009-11-29;-52
2009-11-30;-56
2009-12-01;-57
2009-12-02;-60
2009-12-03;-63
2009-12-04;-64
2009-12-05;-65
2009-12-06;-65
2009-12-07;-66
2009-12-08;-66
2009-12-09;-67
2009-12-10;-67
2009-12-11;-70
2009-12-12;-69
2009-12-13;-69
2009-12-14;-68
2009-12-15;-68
2009-12-16;-69
2009-12-17;-70
2009-12-18;-71
2009-12-19;-72
2009-12-20;-73
2009-12-21;-65
2009-12-22;-64
2009-12-23;-62
2009-12-24;-60
2009-12-25;-56
2009-12-26;-50
2009-12-27;-41
2009-12-28;-33
2009-12-29;-31
2009-12-30;-29
2009-12-31;-27
2010-01-01;-25
2010-01-02;-25
2010-01-03;-24
2010-01-04;-22
2010-01-05;-20
2010-01-06;-19
2010-01-07;-18
2010-01-08;-17
2010-01-09;-16
2010-01-10;-15
2010-01-11;-13
2010-01-12;-13
2010-01-13;-13
2010-01-14;-15
2010-01-15;-15
2010-01-16;-18
2010-01-17;-22
2010-01-18;-27
2010-01-19;-30
2010-01-20;-33
2010-01-21;-35
2010-01-22;-38
2010-01-23;-41
2010-01-24;-45
2010-01-25;-47
2010-01-26;-49
2010-01-27;-51
2010-01-28;-53
2010-01-29;-55
2010-01-30;-57
2010-01-31;-59
2010-02-01;-61
2010-02-02;-62
2010-02-03;-63
2010-02-04;-65
2010-02-05;-67
2010-02-06;-67
2010-02-07;-68
2010-02-08;-68
2010-02-09;-69
2010-02-10;-70
2010-02-11;-71
2010-02-12;-71
2010-02-13;-71
2010-02-14;-72
2010-02-15;-72
2010-02-16;-75
2010-02-17;-80
2010-02-18;-90
2010-02-19;-100
2010-02-20;-110
2010-02-21;-110
2010-02-22;-110
2010-02-23;-110
2010-02-24;-110
2010-02-25;-110
2010-02-26;-111
2010-02-27;-112
2010-02-28;-112
2010-03-01;-114
2010-03-02;-116
2010-03-03;-118
2010-03-04;-120
2010-03-05;-120
2010-03-06;-122
2010-03-07;-128
2010-03-08;-133
2010-03-09;-138
2010-03-10;-143
2010-03-11;-146
2010-03-12;-148
2010-03-13;-150
2010-03-14;-151
2010-03-15;-149
2010-03-16;-149
2010-03-17;-150
2010-03-18;-150
2010-03-19;-150
2010-03-20;-151
2010-03-21;-153
