Timestamp;Value
2008-01-01;-181
2008-01-02;-185
2008-01-03;-188
2008-01-04;-192
2008-01-05;-195
2008-01-06;-194
2008-01-07;-193
2008-01-08;-192
2008-01-09;-192
2008-01-10;-192
2008-01-11;-192
2008-01-12;-192
2008-01-13;-193
2008-01-14;-194
2008-01-15;-195
2008-01-16;-198
2008-01-17;-202
2008-01-18;-207
2008-01-19;-211
2008-01-20;-215
2008-01-21;-214
2008-01-22;-212
2008-01-23;-211
2008-01-24;-210
2008-01-25;-209
2008-01-26;-209
2008-01-27;-210
2008-01-28;-210
2008-01-29;-211
2008-01-30;-212
2008-01-31;-212
2008-02-01;-213
2008-02-02;-214
2008-02-03;-215
2008-02-04;-216
2008-02-05;-217
2008-02-06;-219
2008-02-07;-221
2008-02-08;-222
2008-02-09;-224
2008-02-10;-225
2008-02-11;-227
2008-02-12;-230
2008-02-13;-231
2008-02-14;-232
2008-02-15;-232
2008-02-16;-231
2008-02-17;-230
2008-02-18;-230
2008-02-19;-230
2008-02-20;-230
2008-02-21;-230
2008-02-22;-230
2008-02-23;-230
2008-02-24;-230
2008-02-25;-228
2008-02-26;-225
2008-02-27;-222
2008-02-28;-220
2008-02-29;-218
2008-03-01;-217
2008-03-02;-217
2008-03-03;-217
2008-03-04;-217
2008-03-05;-218
2008-03-06;-220
2008-03-07;-223
2008-03-08;-225
2008-03-09;-226
2008-03-10;-227
2008-03-11;-229
2008-03-12;-227
2008-03-13;-225
2008-03-14;-222
2008-03-15;-218
2008-03-16;-216
2008-03-17;-215
2008-03-18;-216
2008-03-19;-215
2008-03-20;-215
2008-03-21;-216
2008-03-22;-216
2008-03-23;-217
2008-03-24;-217
2008-03-25;-216
2008-03-26;-213
2008-03-27;-209
2008-03-28;-205
2008-03-29;-201
2008-03-30;-199
2008-03-31;-194
2008-04-01;-187
2008-04-02;-181
2008-04-03;-177
2008-04-04;-171
2008-04-05;-168
2008-04-06;-161
2008-04-07;-153
2008-04-08;-139
2008-04-09;-118
2008-04-10;-91
2008-04-11;-65
2008-04-12;-31
2008-04-13;3
2008-04-14;65
2008-04-15;38
2008-04-16;-1
2008-04-17;-57
2008-04-18;-118
2008-04-19;-155
2008-04-20;-176
2008-04-21;-202
2008-04-22;-204
2008-04-23;-207
2008-04-24;-207
2008-04-25;-202
2008-04-26;-201
2008-04-27;-198
2008-04-28;-195
2008-04-29;-187
2008-04-30;-175
2008-05-01;-171
2008-05-02;-168
2008-05-03;-167
2008-05-04;-170
2008-05-05;-174
2008-05-06;-177
2008-05-07;-178
2008-05-08;-176
2008-05-09;-162
2008-05-10;-140
2008-05-11;-119
2008-05-12;-97
2008-05-13;-83
2008-05-14;-79
2008-05-15;-74
2008-05-16;-76
2008-05-17;-79
2008-05-18;-82
2008-05-19;-86
2008-05-20;-86
2008-05-21;-84
2008-05-22;-82
2008-05-23;-81
2008-05-24;-78
2008-05-25;-75
2008-05-26;-73
2008-05-27;-72
2008-05-28;-72
2008-05-29;-76
2008-05-30;-80
2008-05-31;-84
2008-06-01;-83
2008-06-02;-79
2008-06-03;-75
2008-06-04;-73
2008-06-05;-69
2008-06-06;-63
2008-06-07;-60
2008-06-08;-58
2008-06-09;-58
2008-06-10;-58
2008-06-11;-58
2008-06-12;-60
2008-06-13;-63
2008-06-14;-63
2008-06-15;-62
2008-06-16;-55
2008-06-17;-52
2008-06-18;-53
2008-06-19;-56
2008-06-20;-61
2008-06-21;-69
2008-06-22;-79
2008-06-23;-88
2008-06-24;-94
2008-06-25;-99
2008-06-26;-107
2008-06-27;-114
2008-06-28;-122
2008-06-29;-131
2008-06-30;-141
2008-07-01;-147
2008-07-02;-155
2008-07-03;-163
2008-07-04;-169
2008-07-05;-173
2008-07-06;-176
2008-07-07;-179
2008-07-08;-184
2008-07-09;-186
2008-07-10;-189
2008-07-11;-191
2008-07-12;-194
2008-07-13;-195
2008-07-14;-190
2008-07-15;-184
2008-07-16;-178
2008-07-17;-175
2008-07-18;-176
2008-07-19;-176
2008-07-20;-169
2008-07-21;-155
2008-07-22;-130
2008-07-23;-100
2008-07-24;-73
2008-07-25;-54
2008-07-26;-41
2008-07-27;-34
2008-07-28;-30
2008-07-29;-29
2008-07-30;-28
2008-07-31;-28
2008-08-01;-28
2008-08-02;-31
2008-08-03;-33
2008-08-04;-29
2008-08-05;-31
2008-08-06;-28
2008-08-07;-19
2008-08-08;-12
2008-08-09;-2
2008-08-10;6
2008-08-11;11
2008-08-12;13
2008-08-13;15
2008-08-14;18
2008-08-15;18
2008-08-16;11
2008-08-17;9
2008-08-18;6
2008-08-19;5
2008-08-20;2
2008-08-21;-6
2008-08-22;-12
2008-08-23;-18
2008-08-24;-22
2008-08-25;-23
2008-08-26;-28
2008-08-27;-35
2008-08-28;-39
2008-08-29;-57
2008-08-30;-66
2008-08-31;-73
2008-09-01;-79
2008-09-02;-95
2008-09-03;-104
2008-09-04;-111
2008-09-05;-115
2008-09-06;-120
2008-09-07;-124
2008-09-08;-125
2008-09-09;-125
2008-09-10;-125
2008-09-11;-125
2008-09-12;-125
2008-09-13;-125
2008-09-14;-119
2008-09-15;-112
2008-09-16;-98
2008-09-17;-85
2008-09-18;-75
2008-09-19;-67
2008-09-20;-60
2008-09-21;-54
2008-09-22;-49
2008-09-23;-49
2008-09-24;-49
2008-09-25;-47
2008-09-26;-45
2008-09-27;-49
2008-09-28;-50
2008-09-29;-50
2008-09-30;-43
2008-10-01;-32
2008-10-02;-26
2008-10-03;-21
2008-10-04;-18
2008-10-05;-18
2008-10-06;-20
2008-10-07;-23
2008-10-08;-26
2008-10-09;-30
2008-10-10;-33
2008-10-11;-37
2008-10-12;-41
2008-10-13;-45
2008-10-14;-52
2008-10-15;-65
2008-10-16;-76
2008-10-17;-83
2008-10-18;-89
2008-10-19;-94
2008-10-20;-99
2008-10-21;-102
2008-10-22;-103
2008-10-23;-103
2008-10-24;-103
2008-10-25;-103
2008-10-26;-103
2008-10-27;-103
2008-10-28;-103
2008-10-29;-103
2008-10-30;-107
2008-10-31;-111
