Timestamp;Value
2008-01-01;325
2008-01-02;326
2008-01-03;327
2008-01-04;327
2008-01-05;328
2008-01-06;329
2008-01-07;330
2008-01-08;330
2008-01-09;330
2008-01-10;331
2008-01-11;332
2008-01-12;333
2008-01-13;333
2008-01-14;332
2008-01-15;331
2008-01-16;330
2008-01-17;329
2008-01-18;328
2008-01-19;327
2008-01-20;326
2008-01-21;324
2008-01-22;322
2008-01-23;320
2008-01-24;320
2008-01-25;320
2008-01-26;319
2008-01-27;319
2008-01-28;319
2008-01-29;318
2008-01-30;318
2008-01-31;318
2008-02-01;317
2008-02-02;317
2008-02-03;316
2008-02-04;316
2008-02-05;315
2008-02-06;315
2008-02-07;314
2008-02-08;314
2008-02-09;314
2008-02-10;314
2008-02-11;314
2008-02-12;314
2008-02-13;314
2008-02-14;314
2008-02-15;314
2008-02-16;312
2008-02-17;312
2008-02-18;312
2008-02-19;312
2008-02-20;312
2008-02-21;312
2008-02-22;312
2008-02-23;312
2008-02-24;312
2008-02-25;312
2008-02-26;312
2008-02-27;312
2008-02-28;312
2008-02-29;312
2008-03-01;312
2008-03-02;312
2008-03-03;312
2008-03-04;312
2008-03-05;312
2008-03-06;313
2008-03-07;313
2008-03-08;313
2008-03-09;314
2008-03-10;314
2008-03-11;314
2008-03-12;315
2008-03-13;316
2008-03-14;317
2008-03-15;318
2008-03-16;319
2008-03-17;320
2008-03-18;321
2008-03-19;322
2008-03-20;323
2008-03-21;324
2008-03-22;327
2008-03-23;329
2008-03-24;334
2008-03-25;341
2008-03-26;348
2008-03-27;353
2008-03-28;359
2008-03-29;365
2008-03-30;370
2008-03-31;374
2008-04-01;396
2008-04-02;395
2008-04-03;406
2008-04-04;418
2008-04-05;435
2008-04-06;472
2008-04-07;471
2008-04-08;488
2008-04-09;478
2008-04-10;469
2008-04-11;476
2008-04-12;477
2008-04-13;462
2008-04-14;435
2008-04-15;405
2008-04-16;397
2008-04-17;398
2008-04-18;394
2008-04-19;391
2008-04-20;389
2008-04-21;387
2008-04-22;387
2008-04-23;395
2008-04-24;402
2008-04-25;409
2008-04-26;416
2008-04-27;429
2008-04-28;441
2008-04-29;447
2008-04-30;449
2008-05-01;448
2008-05-02;441
2008-05-03;436
2008-05-04;434
2008-05-05;441
2008-05-06;461
2008-05-07;487
2008-05-08;520
2008-05-09;562
2008-05-10;582
2008-05-11;594
2008-05-12;599
2008-05-13;599
2008-05-14;593
2008-05-15;582
2008-05-16;571
2008-05-17;564
2008-05-18;554
2008-05-19;555
2008-05-20;544
2008-05-21;543
2008-05-22;540
2008-05-23;541
2008-05-24;541
2008-05-25;540
2008-05-26;533
2008-05-27;528
2008-05-28;535
2008-05-29;550
2008-05-30;563
2008-05-31;570
2008-06-01;579
2008-06-02;588
2008-06-03;595
2008-06-04;600
2008-06-05;600
2008-06-06;597
2008-06-07;591
2008-06-08;584
2008-06-09;580
2008-06-10;574
2008-06-11;573
2008-06-12;571
2008-06-13;570
2008-06-14;573
2008-06-15;566
2008-06-16;558
2008-06-17;549
2008-06-18;536
2008-06-19;523
2008-06-20;509
2008-06-21;498
2008-06-22;488
2008-06-23;482
2008-06-24;475
2008-06-25;470
2008-06-26;467
2008-06-27;470
2008-06-28;473
2008-06-29;468
2008-06-30;465
2008-07-01;462
2008-07-02;457
2008-07-03;448
2008-07-04;441
2008-07-05;435
2008-07-06;428
2008-07-07;421
2008-07-08;415
2008-07-09;410
2008-07-10;406
2008-07-11;404
2008-07-12;404
2008-07-13;402
2008-07-14;398
2008-07-15;393
2008-07-16;388
2008-07-17;391
2008-07-18;398
2008-07-19;411
2008-07-20;436
2008-07-21;474
2008-07-22;506
2008-07-23;524
2008-07-24;534
2008-07-25;543
2008-07-26;551
2008-07-27;554
2008-07-28;553
2008-07-29;552
2008-07-30;550
2008-07-31;545
2008-08-01;538
2008-08-02;534
2008-08-03;533
2008-08-04;539
2008-08-05;549
2008-08-06;563
2008-08-07;579
2008-08-08;587
2008-08-09;593
2008-08-10;596
2008-08-11;595
2008-08-12;593
2008-08-13;588
2008-08-14;580
2008-08-15;570
2008-08-16;561
2008-08-17;551
2008-08-18;548
2008-08-19;551
2008-08-20;553
2008-08-21;557
2008-08-22;560
2008-08-23;559
2008-08-24;552
2008-08-25;542
2008-08-26;530
2008-08-27;518
2008-08-28;506
2008-08-29;493
2008-08-30;479
2008-08-31;466
2008-09-01;455
2008-09-02;448
2008-09-03;443
2008-09-04;436
2008-09-05;432
2008-09-06;430
2008-09-07;429
2008-09-08;426
2008-09-09;422
2008-09-10;421
2008-09-11;422
2008-09-12;427
2008-09-13;437
2008-09-14;449
2008-09-15;460
2008-09-16;468
2008-09-17;472
2008-09-18;473
2008-09-19;472
2008-09-20;471
2008-09-21;468
2008-09-22;467
2008-09-23;464
2008-09-24;462
2008-09-25;461
2008-09-26;465
2008-09-27;470
2008-09-28;476
2008-09-29;484
2008-09-30;492
2008-10-01;497
2008-10-02;499
2008-10-03;492
2008-10-04;489
2008-10-05;486
2008-10-06;485
2008-10-07;480
2008-10-08;475
2008-10-09;470
2008-10-10;461
2008-10-11;456
2008-10-12;449
2008-10-13;438
2008-10-14;433
2008-10-15;434
2008-10-16;434
2008-10-17;428
2008-10-18;424
2008-10-19;422
2008-10-20;421
2008-10-21;421
2008-10-22;420
2008-10-23;430
2008-10-24;437
2008-10-25;430
2008-10-26;423
2008-10-27;421
2008-10-28;420
2008-10-29;424
2008-10-30;425
2008-10-31;424
2008-11-01;425
2008-11-02;424
2008-11-03;423
2008-11-04;420
2008-11-05;421
2008-11-06;422
2008-11-07;419
2008-11-08;409
2008-11-09;396
2008-11-10;390
2008-11-11;380
2008-11-12;378
2008-11-13;372
2008-11-14;367
2008-11-15;362
2008-11-16;364
2008-11-17;367
2008-11-18;376
2008-11-19;382
2008-11-20;387
2008-11-21;392
2008-11-22;394
2008-11-23;395
2008-11-24;395
2008-11-25;392
2008-11-26;387
2008-11-27;383
2008-11-28;380
2008-11-29;379
2008-11-30;381
2008-12-01;379
2008-12-02;377
2008-12-03;377
2008-12-04;378
2008-12-05;381
2008-12-06;385
2008-12-07;388
2008-12-08;387
2008-12-09;387
2008-12-10;388
2008-12-11;392
2008-12-12;396
2008-12-13;398
2008-12-14;399
2008-12-15;400
2008-12-16;399
2008-12-17;403
2008-12-18;407
2008-12-19;411
2008-12-20;415
2008-12-21;417
2008-12-22;422
2008-12-23;423
2008-12-24;423
2008-12-25;422
2008-12-26;421
2008-12-27;419
2008-12-28;418
2008-12-29;418
2008-12-30;417
2008-12-31;417
2009-01-01;417
2009-01-02;417
2009-01-03;418
2009-01-04;418
2009-01-05;419
2009-01-06;417
2009-01-07;414
2009-01-08;413
2009-01-09;409
2009-01-10;405
2009-01-11;400
2009-01-12;397
2009-01-13;394
2009-01-14;392
2009-01-15;391
2009-01-16;389
2009-01-17;386
2009-01-18;383
2009-01-19;380
2009-01-20;377
2009-01-21;373
2009-01-22;369
2009-01-23;366
2009-01-24;364
2009-01-25;362
2009-01-26;360
2009-01-27;358
2009-01-28;357
2009-01-29;355
2009-01-30;354
2009-01-31;353
2009-02-01;352
2009-02-02;351
2009-02-03;350
2009-02-04;348
2009-02-05;346
2009-02-06;345
2009-02-07;344
2009-02-08;343
2009-02-09;344
2009-02-10;343
2009-02-11;344
2009-02-12;344
2009-02-13;344
2009-02-14;344
2009-02-15;344
2009-02-16;344
2009-02-17;344
2009-02-18;344
2009-02-19;344
2009-02-20;344
2009-02-21;344
2009-02-22;344
2009-02-23;344
2009-02-24;344
2009-02-25;344
2009-02-26;340
2009-02-27;334
2009-02-28;328
2009-03-01;325
2009-03-02;322
2009-03-03;337
2009-03-04;337
2009-03-05;337
2009-03-06;341
2009-03-07;341
2009-03-08;341
2009-03-09;341
2009-03-10;341
2009-03-11;341
2009-03-12;341
2009-03-13;341
2009-03-14;341
2009-03-15;341
2009-03-16;341
2009-03-17;337
2009-03-18;332
2009-03-19;342
2009-03-20;344
2009-03-21;339
2009-03-22;335
2009-03-23;331
2009-03-24;336
2009-03-25;332
2009-03-26;343
2009-03-27;342
2009-03-28;344
2009-03-29;349
2009-03-30;344
2009-03-31;349
2009-04-01;353
2009-04-02;355
2009-04-03;357
2009-04-04;361
2009-04-05;366
2009-04-06;373
2009-04-07;382
2009-04-08;393
2009-04-09;406
2009-04-10;420
2009-04-11;440
2009-04-12;465
2009-04-13;491
2009-04-14;518
2009-04-15;557
2009-04-16;598
2009-04-17;654
2009-04-18;752
2009-04-19;791
2009-04-20;726
2009-04-21;667
2009-04-22;655
2009-04-23;645
2009-04-24;647
2009-04-25;656
2009-04-26;660
2009-04-27;644
2009-04-28;619
2009-04-29;619
2009-04-30;635
2009-05-01;650
2009-05-02;663
2009-05-03;673
2009-05-04;680
2009-05-05;685
2009-05-06;691
2009-05-07;698
2009-05-08;701
2009-05-09;700
2009-05-10;698
2009-05-11;700
2009-05-12;701
2009-05-13;698
2009-05-14;695
2009-05-15;696
2009-05-16;695
2009-05-17;693
2009-05-18;681
2009-05-19;668
2009-05-20;660
2009-05-21;654
2009-05-22;648
2009-05-23;641
2009-05-24;634
2009-05-25;629
2009-05-26;624
2009-05-27;617
2009-05-28;608
2009-05-29;602
2009-05-30;595
2009-05-31;592
2009-06-01;588
2009-06-02;582
2009-06-03;576
2009-06-04;570
2009-06-05;564
2009-06-06;557
2009-06-07;550
2009-06-08;532
2009-06-09;530
2009-06-10;546
2009-06-11;545
2009-06-12;548
2009-06-13;550
2009-06-14;549
2009-06-15;549
2009-06-16;554
2009-06-17;561
2009-06-18;570
2009-06-19;579
2009-06-20;588
2009-06-21;596
2009-06-22;604
2009-06-23;612
2009-06-24;624
2009-06-25;642
2009-06-26;680
2009-06-27;711
2009-06-28;740
2009-06-29;770
2009-06-30;800
2009-07-01;820
2009-07-02;833
2009-07-03;842
2009-07-04;850
2009-07-05;857
2009-07-06;864
2009-07-07;869
2009-07-08;870
2009-07-09;868
2009-07-10;862
2009-07-11;857
2009-07-12;849
2009-07-13;841
2009-07-14;835
2009-07-15;836
2009-07-16;842
2009-07-17;851
2009-07-18;865
2009-07-19;881
2009-07-20;897
2009-07-21;916
2009-07-22;932
2009-07-23;944
2009-07-24;953
2009-07-25;961
2009-07-26;966
2009-07-27;970
2009-07-28;972
2009-07-29;976
2009-07-30;977
2009-07-31;977
2009-08-01;976
2009-08-02;970
2009-08-03;962
2009-08-04;952
2009-08-05;938
2009-08-06;925
2009-08-07;908
2009-08-08;890
2009-08-09;872
2009-08-10;848
2009-08-11;820
2009-08-12;791
2009-08-13;769
2009-08-14;759
2009-08-15;749
2009-08-16;741
2009-08-17;736
2009-08-18;732
2009-08-19;730
2009-08-20;728
2009-08-21;731
2009-08-22;738
2009-08-23;764
2009-08-24;787
2009-08-25;808
2009-08-26;827
2009-08-27;848
2009-08-28;863
2009-08-29;876
2009-08-30;878
2009-08-31;882
2009-09-01;886
2009-09-02;890
2009-09-03;893
2009-09-04;891
2009-09-05;887
2009-09-06;879
2009-09-07;862
2009-09-08;854
2009-09-09;844
2009-09-10;835
2009-09-11;826
2009-09-12;817
2009-09-13;806
2009-09-14;799
2009-09-15;795
2009-09-16;791
2009-09-17;788
2009-09-18;787
2009-09-19;785
2009-09-20;783
2009-09-21;781
2009-09-22;780
2009-09-23;775
2009-09-24;765
2009-09-25;753
2009-09-26;739
2009-09-27;721
2009-09-28;707
2009-09-29;693
2009-09-30;678
2009-10-01;667
2009-10-02;658
2009-10-03;653
2009-10-04;654
2009-10-05;659
2009-10-06;669
2009-10-07;679
2009-10-08;689
2009-10-09;697
2009-10-10;702
2009-10-11;702
2009-10-12;698
2009-10-13;691
2009-10-14;684
2009-10-15;677
2009-10-16;669
2009-10-17;660
2009-10-18;648
2009-10-19;634
2009-10-20;613
2009-10-21;599
2009-10-22;582
2009-10-23;574
2009-10-24;567
2009-10-25;555
2009-10-26;549
2009-10-27;542
2009-10-28;534
2009-10-29;524
2009-10-30;517
2009-10-31;512
2009-11-01;507
2009-11-02;505
2009-11-03;498
2009-11-04;491
2009-11-05;481
2009-11-06;469
2009-11-07;452
2009-11-08;446
2009-11-09;438
2009-11-10;425
2009-11-11;410
2009-11-12;422
2009-11-13;431
2009-11-14;435
2009-11-15;435
2009-11-16;424
2009-11-17;415
2009-11-18;413
2009-11-19;423
2009-11-20;423
2009-11-21;425
2009-11-22;431
2009-11-23;429
2009-11-24;425
2009-11-25;419
2009-11-26;413
2009-11-27;411
2009-11-28;411
2009-11-29;411
2009-11-30;411
2009-12-01;410
2009-12-02;408
2009-12-03;407
2009-12-04;408
2009-12-05;409
2009-12-06;410
2009-12-07;411
2009-12-08;412
2009-12-09;412
2009-12-10;413
2009-12-11;414
2009-12-12;414
2009-12-13;417
2009-12-14;419
2009-12-15;422
2009-12-16;424
