Timestamp;Value
2001-01-11;-136
2001-02-11;-140
2001-03-11;-144
2001-04-11;-152
2001-04-12;-148
2001-05-11;-157
2001-05-12;-148
2001-06-11;-157
2001-07-11;-166
2001-08-11;-170
2001-08-12;-162
2001-09-12;-162
2001-10-11;-171
2001-10-12;-162
2001-10-20;-115
2001-10-21;-116
2001-10-22;-118
2001-10-23;-121
2001-10-24;-122
2001-10-25;-124
2001-10-26;-127
2001-10-27;-129
2001-10-28;-130
2001-10-29;-134
2001-10-30;-135
2001-10-31;-136
2001-11-01;-136
2001-11-02;-140
2001-11-03;-144
2001-11-04;-152
2001-11-05;-157
2001-11-06;-157
2001-11-07;-166
2001-11-08;-170
2001-11-09;-171
2001-11-10;-171
2001-11-11;-173
2001-11-12;-168
2001-11-13;-173
2001-11-14;-171
2001-11-15;-169
2001-11-16;-173
2001-11-17;-178
2001-11-18;-176
2001-11-19;-130
2001-11-20;-95
2001-11-21;-90
2001-11-25;-98
2001-11-26;-104
2001-11-27;-123
2001-11-28;-123
2001-11-29;-141
2001-11-30;-152
2001-12-04;-148
2001-12-05;-148
2001-12-08;-162
2001-12-09;-162
2001-12-10;-162
2001-12-11;-168
2001-12-15;-142
2001-12-18;-127
2001-12-19;-126
2001-12-20;-124
2001-12-21;-124
2001-12-22;-124
2001-12-23;-126
2001-12-24;-127
2001-12-25;-131
2002-01-01;-147
2002-01-02;-148
2002-01-03;-153
2002-01-04;-154
2002-01-05;-152
2002-01-06;-158
2002-01-07;-162
2002-01-08;-165
2002-01-09;-168
2002-01-10;-172
2002-01-11;-173
2002-01-12;-178
2002-01-13;-179
2002-01-14;-181
2002-01-15;-182
2002-01-16;191
2002-01-17;-196
2002-01-18;-200
2002-01-19;-200
2002-01-20;-203
2002-01-21;-204
2002-01-22;-204
2002-01-23;-204
2002-01-24;-204
2002-01-25;-204
2002-01-26;-206
2002-01-27;-208
2002-01-28;-210
2002-01-29;-212
2002-01-30;-212
2002-01-31;-214
2002-02-01;-214
2002-02-02;-212
2002-02-03;-211
2002-02-04;-208
2002-02-05;-208
2002-02-06;-209
2002-02-07;-208
2002-02-08;-211
2002-02-09;-211
2002-02-10;-212
2002-02-11;-212
2002-02-12;-211
2002-02-13;-212
2002-02-14;-212
2002-02-15;-213
2002-02-16;-214
2002-02-17;-214
2002-02-18;-212
2002-02-19;-215
2002-02-20;-212
2002-02-21;-211
2002-02-22;-213
2002-02-23;-213
2002-02-24;-213
2002-02-25;-215
2002-02-26;-213
2002-02-27;-212
2002-02-28;-213
2002-03-01;-214
2002-03-02;-213
2002-03-03;-216
2002-03-04;-217
2002-03-05;-217
2002-03-06;-217
2002-03-07;-217
2002-03-08;-217
2002-03-09;-219
2002-03-10;-220
2002-03-11;-221
2002-03-12;-223
2002-03-13;-226
2002-03-14;-228
2002-03-15;-230
2002-03-16;-233
2002-03-17;-234
2002-03-18;-234
2002-03-19;-234
2002-03-20;-233
2002-03-21;-228
2002-03-22;-223
2002-03-23;-221
2002-03-24;-218
2002-03-25;-215
2002-03-26;-213
2002-03-27;-211
2002-03-28;-208
2002-03-29;-204
2002-03-30;-199
2002-03-31;-191
2002-04-01;-185
2002-04-02;-179
2002-04-03;-173
2002-04-04;-169
2002-04-05;-165
2002-04-06;-162
2002-04-07;-160
2002-04-08;-157
2002-04-09;-156
2002-04-10;-148
2002-04-11;-128
2002-04-12;-92
2002-04-13;-73
2002-04-14;-51
2002-04-15;-31
2002-04-16;-1
2002-04-17;17
2002-04-18;-14
2002-04-19;-48
2002-04-20;-82
2002-04-21;-101
2002-04-22;-61
2002-04-23;-35
2002-04-24;-50
2002-04-25;-49
2002-04-26;-15
2002-04-27;-7
2002-04-28;0
2002-04-29;2
2002-04-30;8
2002-05-01;7
2002-05-02;7
2002-05-03;11
2002-05-04;13
2002-05-05;12
2002-05-06;13
2002-05-07;15
2002-05-08;18
2002-05-09;14
2002-05-10;6
2002-05-11;10
2002-05-12;22
2002-05-13;38
2002-05-14;45
2002-05-15;45
2002-05-16;45
2002-05-17;45
2002-05-18;49
2002-05-19;61
2002-05-20;71
2002-05-21;81
2002-05-22;92
2002-05-23;99
2002-05-24;105
2002-05-25;104
2002-05-26;100
2002-05-27;88
2002-05-28;83
2002-05-29;67
2002-05-30;56
2002-05-31;41
2002-06-01;33
2002-06-02;34
2002-06-03;47
2002-06-04;59
2002-06-05;69
2002-06-06;73
2002-06-07;82
2002-06-08;96
2002-06-09;99
2002-06-10;95
2002-06-11;92
2002-06-12;84
2002-06-13;78
2002-06-14;70
2002-06-15;57
2002-06-16;42
2002-06-17;31
2002-06-18;20
2002-06-19;12
2002-06-20;5
2002-06-21;-1
2002-06-22;-9
2002-06-23;-17
2002-06-24;-25
2002-06-25;-31
2002-06-26;-34
2002-06-27;-22
2002-06-28;-13
2002-06-29;-6
2002-06-30;-8
2002-07-01;-10
2002-07-02;-9
2002-07-03;-12
2002-07-04;-12
2002-07-05;-17
2002-07-06;-13
2002-07-07;-13
2002-07-08;-10
2002-07-09;0
2002-07-10;11
2002-07-11;24
2002-07-12;36
2002-07-16;19
2002-07-17;12
2002-07-18;13
2002-07-19;29
2002-07-22;47
2002-07-23;44
2002-07-24;45
2002-07-25;49
2002-07-26;50
2002-07-29;71
2002-07-30;75
2002-07-31;74
2002-08-01;76
2002-08-02;84
2002-08-03;93
2002-08-04;104
2002-08-05;110
2002-08-06;112
2002-08-07;113
2002-08-08;126
2002-08-09;144
2002-08-10;163
2002-08-11;172
2002-08-12;184
2002-08-13;195
2002-08-14;209
2002-08-15;211
2002-08-16;209
2002-08-17;208
2002-08-18;209
2002-08-19;202
2002-08-20;198
2002-08-21;190
2002-08-22;179
2002-08-23;169
2002-08-24;160
2002-08-25;154
2002-08-26;149
2002-08-27;143
2002-08-28;142
2002-08-29;146
2002-08-30;149
2002-08-31;151
2002-09-01;149
2002-09-02;141
2002-09-03;134
2002-09-04;119
2002-09-05;121
2002-09-06;100
2002-09-07;97
2002-09-08;93
2002-09-09;95
2002-09-10;99
2002-09-11;111
2002-09-12;116
2002-09-13;123
2002-09-14;122
2002-09-15;121
2002-09-16;115
2002-09-17;113
2002-09-18;109
2002-09-19;96
2002-09-20;83
2002-09-21;63
2002-09-22;49
2002-09-23;37
2002-09-24;15
2002-09-25;1
2002-09-26;-17
2002-09-27;-27
2002-09-28;-39
2002-09-29;-48
2002-09-30;-57
2002-10-01;-61
2002-10-02;-67
2002-10-03;-72
2002-10-04;-76
2002-10-05;-69
2002-10-06;-76
2002-10-07;-76
2002-10-08;-62
2002-10-09;-59
2002-10-10;-47
2002-10-11;-33
2002-10-12;-22
2002-10-13;-16
2002-10-14;-10
2002-10-15;-7
2002-10-16;-6
2002-10-17;-3
2002-10-18;-1
2002-10-19;3
2002-10-20;-7
2002-10-21;-15
2002-10-22;-19
2002-10-23;-27
2002-10-24;-39
2002-10-25;-50
2002-10-26;-61
2002-10-27;-69
2002-10-28;-72
2002-10-29;-78
2002-10-30;-86
2002-10-31;-94
2002-11-01;-103
2002-11-02;-107
2002-11-03;-107
2002-11-04;-117
2002-11-05;-128
2002-11-06;-132
2002-11-07;-137
2002-11-08;-135
2002-11-09;-149
2002-11-10;-167
2002-11-11;-162
2002-11-12;-169
2002-11-13;-179
2002-11-14;-194
2002-11-15;-229
2002-11-16;-262
2002-11-17;-271
2002-11-18;-248
2002-11-19;-180
2002-11-20;-167
2002-11-21;-148
2002-11-22;-142
2002-11-23;-135
2002-11-24;-132
2002-11-25;-134
2002-11-26;-136
2002-11-27;-141
2002-11-28;-144
2002-11-29;-145
2002-11-30;-147
2002-12-01;-146
2002-12-02;-150
2002-12-03;-146
2002-12-04;-143
2002-12-05;-145
2002-12-06;-146
2002-12-07;-149
2002-12-08;-150
2002-12-09;-152
2002-12-10;-150
2002-12-11;-146
2002-12-12;-146
2002-12-13;-150
2002-12-14;-154
2002-12-15;-156
2002-12-16;-158
2002-12-17;-159
2002-12-18;-164
2002-12-19;-164
2002-12-20;-164
2002-12-21;-164
2002-12-22;-175
2002-12-23;-177
2002-12-24;-177
2002-12-25;-179
2002-12-26;-179
2002-12-27;-179
2002-12-28;-180
2002-12-29;-181
2002-12-30;-183
2002-12-31;-183
2003-01-01;-183
2003-01-02;-183
2003-01-03;-186
2003-01-04;-186
2003-01-05;-185
2003-01-06;-184
2003-01-07;-187
2003-01-08;-188
2003-01-09;-188
2003-01-10;-189
2003-01-11;-192
2003-01-12;-192
2003-01-13;-192
2003-01-14;-192
2003-01-15;-193
2003-01-16;-196
2003-01-17;-198
2003-01-18;-201
2003-01-19;-204
2003-01-20;-208
2003-01-21;-210
2003-01-22;-212
2003-01-23;-214
2003-01-24;-216
2003-01-25;-216
2003-01-26;-215
2003-01-27;-217
2003-01-28;-218
2003-01-29;-217
2003-01-30;-216
2003-01-31;-215
2003-02-01;-213
2003-02-02;-213
2003-02-03;-213
2003-02-04;-215
2003-02-05;-215
2003-02-06;-217
2003-02-07;-219
2003-02-08;-219
2003-02-09;-219
2003-02-10;-216
2003-02-11;-213
2003-02-12;-213
