Timestamp;Value
2001-01-11;76
2001-02-11;77
2001-03-11;79
2001-04-11;96
2001-04-12;52
2001-05-11;70
2001-05-12;54
2001-06-11;50
2001-07-11;39
2001-08-11;27
2001-10-11;114
2001-10-20;111
2001-10-21;109
2001-10-22;107
2001-10-23;107
2001-10-24;105
2001-10-25;100
2001-10-26;94
2001-10-27;94
2001-10-28;96
2001-10-29;88
2001-10-30;85
2001-10-31;83
2001-11-01;76
2001-11-02;77
2001-11-03;79
2001-11-04;96
2001-11-05;70
2001-11-06;50
2001-11-07;39
2001-11-08;27
2001-11-10;114
2001-11-11;106
2001-11-12;1
2001-11-13;7
2001-11-14;2
2001-11-15;-8
2001-11-16;7
2001-11-17;17
2001-11-18;29
2001-11-19;31
2001-11-20;25
2001-11-25;33
2001-12-04;52
2001-12-05;54
2001-12-11;1
2001-12-18;35
2001-12-19;29
2001-12-20;29
2001-12-22;24
2001-12-23;22
2001-12-24;21
2001-12-25;20
2002-01-01;12
2002-01-02;12
2002-01-03;10
2002-01-04;9
2002-01-05;9
2002-01-06;7
2002-01-07;6
2002-01-08;6
2002-01-09;6
2002-01-10;5
2002-01-11;4
2002-01-12;3
2002-01-13;3
2002-01-14;2
2002-01-15;2
2002-01-16;0
2002-01-17;0
2002-01-18;-1
2002-01-19;-1
2002-01-20;-2
2002-01-21;-4
2002-01-22;-5
2002-01-23;-6
2002-01-24;-6
2002-01-25;-7
2002-01-26;-7
2002-01-27;-7
2002-01-28;-6
2002-01-29;-6
2002-01-30;-6
2002-01-31;-5
2002-02-01;-5
2002-02-02;-5
2002-02-03;-6
2002-02-04;-7
2002-02-05;-7
2002-02-08;-7
2002-02-09;-7
2002-02-10;-7
2002-02-11;-7
2002-02-12;-7
2002-02-13;-6
2002-02-14;-5
2002-02-15;-4
2002-02-16;-5
2002-02-17;-6
2002-02-18;-6
2002-02-19;-6
2002-02-20;-6
2002-02-21;-6
2002-02-22;-5
2002-02-23;-5
2002-02-24;-5
2002-02-25;-8
2002-02-27;-5
2002-02-28;-5
2002-03-01;-6
2002-03-02;-5
2002-03-03;-5
2002-03-04;-4
2002-03-05;-4
2002-03-06;-4
2002-03-07;-5
2002-03-08;-5
2002-03-09;-5
2002-03-10;-5
2002-03-11;-5
2002-03-12;-5
2002-03-13;-4
2002-03-14;-4
2002-03-15;-4
2002-03-16;0
2002-03-17;-4
2002-03-18;-4
2002-03-19;-4
2002-03-20;-4
2002-03-21;-4
2002-03-22;-4
2002-03-23;-4
2002-03-24;-4
2002-03-25;-4
2002-03-27;-4
2002-03-30;1
2002-03-31;1
2002-04-01;0
2002-04-02;2
2002-04-03;4
2002-04-04;5
2002-04-05;4
2002-04-06;5
2002-04-07;5
2002-04-08;5
2002-04-09;5
2002-04-10;5
2002-04-11;5
2002-04-12;18
2002-04-13;20
2002-04-14;25
2002-04-15;29
2002-04-16;33
2002-04-17;39
2002-04-18;35
2002-04-19;44
2002-04-20;49
2002-04-21;81
2002-04-22;123
2002-04-23;137
2002-04-24;150
2002-04-25;162
2002-04-26;202
2002-04-27;220
2002-04-28;227
2002-04-29;206
2002-04-30;156
2002-05-01;106
2002-05-02;107
2002-05-03;134
2002-05-04;366
2002-05-05;323
2002-05-06;282
2002-05-07;254
2002-05-08;229
2002-05-09;227
2002-05-10;266
2002-05-11;329
2002-05-12;373
2002-05-13;384
2002-05-14;385
2002-05-15;381
2002-05-16;383
2002-05-17;389
2002-05-18;394
2002-05-19;353
2002-05-20;325
2002-05-21;299
2002-05-23;257
2002-05-24;248
2002-05-25;357
2002-05-26;418
2002-05-27;392
2002-05-28;375
2002-05-29;367
2002-05-30;347
2002-05-31;322
2002-06-01;298
2002-06-02;273
2002-06-03;256
2002-06-04;231
2002-06-05;223
2002-06-06;194
2002-06-07;188
2002-06-08;179
2002-06-09;179
2002-06-10;171
2002-06-11;159
2002-06-12;159
2002-06-13;157
2002-06-14;152
2002-06-15;131
2002-06-16;124
2002-06-17;174
2002-06-19;176
2002-06-20;162
2002-06-21;138
2002-06-22;157
2002-06-23;154
2002-06-24;128
2002-06-25;121
2002-06-26;118
2002-06-27;114
2002-06-28;111
2002-06-29;106
2002-06-30;103
2002-07-01;95
2002-07-02;91
2002-07-03;89
2002-07-04;94
2002-07-05;93
2002-07-06;102
2002-07-07;103
2002-07-08;120
2002-07-09;158
2002-07-10;178
2002-07-12;162
2002-07-15;143
2002-07-16;147
2002-07-17;169
2002-07-23;145
2002-07-24;149
2002-07-26;156
2002-07-29;152
2002-07-30;155
2002-07-31;146
2002-08-01;140
2002-08-02;135
2002-08-03;132
2002-08-04;127
2002-08-05;124
2002-08-06;118
2002-08-07;113
2002-08-08;108
2002-08-09;105
2002-08-10;95
2002-08-11;86
2002-08-12;87
2002-08-13;83
2002-08-14;77
2002-08-15;77
2002-08-16;73
2002-08-18;68
2002-08-20;73
2002-08-21;71
2002-08-22;72
2002-08-23;71
2002-08-24;69
2002-08-25;69
2002-08-26;73
2002-08-27;76
2002-08-28;78
2002-08-29;83
2002-08-30;87
2002-08-31;103
2002-09-01;111
2002-09-02;113
2002-09-03;109
2002-09-04;102
2002-09-05;109
2002-09-06;114
2002-09-07;116
2002-09-08;115
2002-09-09;126
2002-09-10;127
2002-09-11;129
2002-09-12;133
2002-09-13;136
2002-09-14;146
2002-09-15;119
2002-09-16;116
2002-09-17;110
2002-09-18;111
2002-09-19;109
2002-09-20;105
2002-09-21;100
2002-09-22;98
2002-09-23;95
2002-09-24;89
2002-09-25;87
2002-09-26;86
2002-09-27;83
2002-09-28;82
2002-09-29;79
2002-09-30;77
2002-10-01;76
2002-10-02;75
2002-10-03;72
2002-10-04;70
2002-10-05;69
2002-10-06;68
2002-10-07;67
2002-10-08;66
2002-10-09;66
2002-10-10;72
2002-10-11;75
2002-10-12;74
2002-10-13;74
2002-10-14;78
2002-10-15;76
2002-10-16;77
2002-10-17;80
2002-10-18;77
2002-10-19;74
2002-10-20;72
2002-10-21;59
2002-10-22;58
2002-10-23;67
2002-10-24;66
2002-10-25;67
2002-10-26;68
2002-10-27;47
2002-10-28;39
2002-10-29;32
2002-10-30;31
2002-11-02;23
2002-11-03;15
2002-11-04;18
2002-11-05;19
2002-11-08;28
2002-11-09;32
2002-11-10;27
2002-11-11;33
2002-11-12;35
2002-11-13;38
2002-11-15;38
2002-11-16;35
2002-11-17;38
2002-11-18;41
2002-11-19;53
2002-11-20;43
2002-11-22;43
2002-11-23;40
2002-11-24;37
2002-11-25;38
2002-11-26;39
2002-11-27;44
2002-11-28;48
2002-11-29;49
2002-11-30;39
2002-12-01;36
2002-12-02;40
2002-12-03;39
2002-12-04;37
2002-12-05;35
2002-12-06;38
2002-12-07;38
2002-12-08;37
2002-12-09;38
2002-12-10;37
2002-12-11;35
2002-12-12;33
2002-12-13;32
2002-12-14;34
2002-12-15;35
2002-12-16;32
2002-12-17;31
2002-12-18;30
2002-12-19;29
2002-12-20;28
2002-12-21;27
2002-12-22;27
2002-12-23;27
2002-12-24;25
2002-12-25;24
2002-12-26;24
2002-12-27;23
2002-12-28;23
2002-12-29;23
2002-12-30;24
2002-12-31;23
2003-01-01;23
2003-01-02;22
2003-01-03;20
2003-01-04;19
2003-01-05;19
2003-01-06;12
2003-01-07;11
2003-01-08;11
2003-01-09;12
2003-01-10;9
2003-01-11;8
2003-01-12;7
2003-01-13;6
2003-01-14;5
2003-01-15;4
2003-01-16;3
2003-01-17;2
2003-01-18;4
2003-01-19;3
2003-01-20;3
2003-01-21;2
2003-01-22;2
2003-01-23;2
2003-01-24;4
2003-01-25;4
2003-01-26;5
2003-01-27;5
2003-01-28;4
2003-01-29;5
2003-01-30;4
2003-01-31;4
2003-02-01;12
2003-02-02;12
2003-02-03;12
2003-02-04;12
2003-02-05;12
2003-02-06;12
2003-02-07;11
2003-02-08;12
2003-02-09;12
2003-02-10;11
2003-02-11;11
2003-02-12;11
2003-02-13;12
2003-02-14;12
2003-02-15;12
2003-02-16;11
2003-02-17;11
2003-02-18;11
2003-02-19;9
2003-02-20;8
2003-02-21;5
2003-02-22;3
2003-02-23;6
2003-02-24;5
2003-02-25;6
2003-02-26;3
2003-02-27;7
2003-02-28;8
2003-03-01;6
2003-03-02;4
2003-03-03;3
2003-03-04;5
2003-03-05;6
2003-03-06;8
2003-03-07;8
2003-03-08;8
2003-03-09;7
2003-03-10;7
2003-03-16;3
2003-03-17;4
2003-03-18;5
2003-03-19;6
2003-03-20;5
2003-03-21;7
2003-03-22;9
2003-03-23;9
2003-03-24;9
2003-03-25;9
2003-03-26;7
2003-03-27;6
2003-03-28;3
2003-03-29;2
2003-03-30;1
2003-03-31;6
2003-04-01;5
2003-04-02;4
2003-04-03;4
2003-04-04;8
2003-04-05;7
2003-04-06;7
2003-04-07;8
2003-04-08;9
2003-04-09;8
2003-04-10;8
2003-04-11;8
2003-04-12;15
2003-04-13;17
2003-04-14;16
2003-04-15;16
2003-04-16;17
2003-04-17;15
2003-04-18;15
2003-04-19;15
2003-04-20;12
2003-04-21;17
2003-04-22;18
2003-04-23;31
2003-04-24;42
2003-04-25;57
2003-04-26;73
2003-04-27;75
2003-04-28;72
2003-04-29;64
2003-04-30;45
2003-05-01;39
2003-05-02;30
2003-05-03;45
2003-05-04;45
2003-05-05;62
2003-05-06;96
2003-05-07;146
2003-05-08;140
2003-05-09;105
2003-05-10;87
2003-05-11;73
2003-05-12;53
2003-05-13;47
2003-05-14;44
2003-05-15;45
2003-05-16;45
2003-05-17;43
2003-05-18;44
2003-05-19;46
2003-05-20;47
2003-05-21;48
2003-05-22;48
2003-05-23;44
2003-05-24;49
2003-05-25;50
2003-05-26;49
2003-05-27;48
2003-05-28;48
2003-05-30;57
2003-05-31;58
2003-06-01;60
2003-06-02;66
2003-06-03;67
2003-06-04;70
2003-06-05;72
2003-06-06;66
2003-06-07;64
2003-06-08;62
2003-06-09;62
2003-06-10;65
2003-06-13;127
2003-06-14;165
2003-06-15;180
2003-06-16;184
2003-06-17;181
2003-06-18;170
2003-06-19;153
2003-06-20;139
2003-06-21;124
2003-06-22;111
2003-06-23;98
2003-06-24;85
2003-06-25;88
2003-06-26;89
2003-06-27;91
2003-06-28;94
2003-06-29;99
2003-06-30;93
2003-07-01;120
2003-07-02;169
2003-07-03;321
2003-07-04;409
2003-07-05;507
2003-07-06;563
2003-07-07;546
2003-07-08;517
2003-07-09;486
2003-07-10;466
2003-07-11;443
2003-07-12;364
2003-07-13;317
2003-07-14;291
2003-07-15;270
2003-07-16;261
2003-07-24;356
2003-07-25;336
2003-07-26;310
2003-07-27;277
2003-07-28;264
2003-07-29;255
2003-07-30;260
2003-07-31;294
2003-08-01;392
2003-08-02;534
2003-08-03;627
2003-08-04;668
2003-08-05;171
2003-08-06;630
2003-08-07;582
2003-08-08;527
2003-08-09;461
2003-08-10;431
2003-08-11;407
2003-08-12;375
2003-08-13;347
2003-08-14;339
2003-08-15;338
2003-08-16;345
2003-08-17;364
2003-08-18;391
2003-08-19;396
2003-08-20;388
2003-08-21;395
2003-08-22;408
2003-08-23;412
2003-08-24;415
2003-08-25;422
2003-08-26;414
2003-08-27;400
2003-08-28;396
2003-08-29;354
2003-08-30;337
2003-08-31;321
2003-09-01;307
2003-09-02;304
2003-09-03;301
2003-09-04;293
2003-09-05;286
2003-09-06;284
2003-09-07;277
2003-09-08;271
2003-09-09;267
2003-09-10;265
2003-09-11;265
2003-09-12;261
2003-09-13;242
2003-09-14;243
2003-09-15;237
2003-09-16;239
2003-09-17;242
2003-09-18;248
2003-09-19;251
2003-09-20;271
2003-09-21;284
2003-09-22;308
2003-09-23;313
2003-09-24;300
2003-09-25;293
2003-09-26;285
2003-09-27;280
2003-09-28;278
2003-09-29;288
2003-09-30;292
2003-10-01;289
2003-10-02;284
2003-10-03;278
2003-10-04;268
2003-10-05;255
2003-10-06;246
2003-10-07;237
2003-10-08;228
2003-10-09;221
2003-10-10;215
2003-10-11;210
2003-10-12;207
2003-10-13;206
2003-10-14;202
2003-10-15;201
2003-10-16;199
2003-10-17;202
2003-10-18;201
2003-10-19;194
2003-10-20;184
2003-10-21;181
2003-10-22;178
2003-10-23;173
2003-10-24;171
2003-10-25;156
2003-10-26;154
2003-10-27;151
2003-10-28;148
2003-10-29;135
2003-10-30;129
2003-10-31;121
2003-11-01;127
2003-11-02;120
2003-11-03;125
