Timestamp;Value
2001-01-11;103
2001-02-11;91
2001-03-11;84
2001-04-11;82
2001-05-11;78
2001-06-11;79
2001-07-11;81
2001-08-11;78
2001-10-11;65
2001-10-20;158
2001-10-21;154
2001-10-22;149
2001-10-23;146
2001-10-24;144
2001-10-25;143
2001-10-26;143
2001-10-27;141
2001-10-28;130
2001-10-29;116
2001-10-30;106
2001-10-31;104
2001-11-01;103
2001-11-02;91
2001-11-03;84
2001-11-04;82
2001-11-05;78
2001-11-06;79
2001-11-07;81
2001-11-08;78
2001-11-09;65
2001-11-10;65
2001-11-11;42
2001-11-12;23
2001-11-13;20
2001-11-14;12
2001-11-15;-2
2001-11-16;-12
2001-11-17;-30
2001-11-18;-39
2001-11-19;-36
2001-11-20;-29
2001-11-21;-24
2001-12-11;23
2002-03-16;49
2002-03-17;49
2002-03-18;48
2002-03-19;50
2002-03-20;55
2002-03-21;60
2002-03-22;66
2002-03-23;70
2002-03-24;68
2002-03-25;62
2002-03-26;57
2002-03-27;53
2002-03-28;47
2002-03-29;44
2002-03-30;43
2002-03-31;45
2002-04-01;48
2002-04-02;50
2002-04-03;48
2002-04-04;48
2002-04-05;50
2002-04-06;54
2002-04-07;66
2002-04-08;77
2002-04-09;86
2002-04-10;93
2002-04-11;96
2002-04-12;94
2002-04-13;96
2002-04-14;101
2002-04-15;108
2002-04-16;120
2002-04-17;201
2002-04-18;220
2002-04-19;0
2002-04-20;0
2002-04-23;132
2002-04-24;135
2002-04-25;121
2002-04-26;124
2002-04-27;155
2002-04-28;157
2002-04-29;152
2002-04-30;152
2002-05-01;167
2002-05-02;207
2002-05-03;214
2002-05-04;201
2002-05-05;197
2002-05-06;203
2002-05-07;287
2002-05-08;335
2002-05-09;338
2002-05-10;329
2002-05-11;319
2002-05-12;320
2002-05-13;342
2002-05-14;381
2002-05-15;419
2002-05-16;415
2002-05-17;428
2002-05-18;474
2002-05-19;475
2002-05-20;466
2002-05-21;459
2002-05-22;436
2002-05-23;424
2002-05-24;399
2002-05-25;372
2002-05-26;357
2002-05-27;341
2002-05-28;358
2002-05-29;405
2002-05-30;418
2002-05-31;411
2002-06-01;400
2002-06-02;428
2002-06-03;461
2002-06-04;452
