Timestamp;Value
2001-01-11;252
2001-02-11;246
2001-03-11;245
2001-04-11;225
2001-05-11;216
2001-06-11;225
2001-07-11;218
2001-08-11;213
2001-10-11;207
2001-10-20;314
2001-10-21;310
2001-10-22;306
2001-10-23;302
2001-10-24;297
2001-10-25;291
2001-10-26;290
2001-10-27;288
2001-10-28;284
2001-10-29;283
2001-10-30;274
2001-10-31;263
2001-11-01;252
2001-11-02;246
2001-11-03;245
2001-11-04;225
2001-11-05;216
2001-11-06;225
2001-11-07;218
2001-11-08;213
2001-11-09;207
2001-11-10;207
2001-11-11;204
2001-11-12;204
2001-11-13;190
2001-11-14;206
2001-11-15;304
2001-11-16;320
2001-11-17;328
2001-11-18;338
2001-11-19;338
2001-11-20;320
2001-12-11;204
2002-03-16;153
2002-03-17;156
2002-03-18;158
2002-03-19;159
2002-03-20;160
2002-03-23;164
2002-03-24;167
2002-03-25;172
2002-03-26;177
2002-03-27;180
2002-03-30;174
2002-03-31;170
2002-04-01;166
2002-04-02;165
2002-04-03;163
2002-04-04;165
2002-04-05;167
2002-04-06;168
2002-04-07;176
2002-04-08;180
2002-04-09;183
2002-04-10;182
2002-04-11;191
2002-04-12;206
2002-04-13;219
2002-04-14;225
2002-04-15;227
2002-04-16;227
2002-04-17;245
2002-04-18;241
2002-04-19;238
2002-04-20;214
2002-04-21;444
2002-04-22;459
2002-04-23;459
2002-04-24;350
2002-04-25;315
2002-04-26;300
2002-04-27;287
2002-04-28;280
2002-04-29;292
2002-04-30;298
2002-05-01;293
2002-05-02;296
2002-05-03;319
2002-05-04;353
2002-05-05;370
2002-05-06;364
2002-05-07;369
2002-05-08;369
2002-05-09;429
2002-05-10;477
2002-05-11;483
2002-05-12;483
2002-05-13;479
2002-05-14;482
2002-05-15;499
2002-05-16;537
2002-05-17;572
2002-05-18;581
2002-05-19;603
2002-05-20;632
2002-05-21;638
2002-05-22;633
2002-05-23;620
2002-05-24;603
2002-05-25;588
2002-05-26;565
2002-05-27;537
2002-05-28;518
2002-05-29;506
2002-05-30;522
2002-05-31;561
2002-06-01;577
2002-06-02;577
2002-06-03;569
2002-06-04;597
2002-06-05;622
2002-06-06;617
2002-06-07;602
2002-06-08;586
2002-06-09;553
2002-06-10;524
2002-06-11;495
2002-06-12;475
2002-06-13;456
2002-06-14;436
2002-06-15;422
2002-06-16;409
2002-06-17;398
2002-06-18;387
2002-06-19;381
2002-06-20;370
2002-06-21;362
2002-06-22;355
2002-06-23;357
2002-06-24;364
2002-06-25;369
2002-06-26;366
2002-06-27;360
2002-06-28;357
2002-06-29;355
2002-06-30;356
2002-07-01;356
2002-07-02;350
2002-07-03;345
2002-07-04;338
2002-07-05;338
2002-07-06;343
2002-07-09;429
2002-07-10;437
2002-07-11;420
2002-07-12;394
2002-07-16;471
2002-07-17;497
2002-07-18;490
2002-07-19;471
2002-07-23;461
2002-07-24;467
2002-07-25;485
2002-07-26;489
2002-07-30;474
2002-07-31;515
2002-08-01;528
2002-08-02;515
2002-08-03;493
2002-08-04;481
2002-08-05;485
2002-08-06;487
2002-08-07;488
2002-08-08;505
2002-08-09;535
2002-08-10;552
2002-08-11;546
2002-08-12;530
2002-08-13;518
2002-08-14;510
2002-08-15;505
2002-08-16;495
2002-08-17;485
2002-08-18;475
2002-08-19;458
2002-08-20;442
2002-08-21;427
2002-08-22;413
2002-08-23;404
2002-08-24;397
2002-08-25;386
2002-08-26;376
2002-08-27;366
2002-08-28;353
2002-08-29;342
2002-08-30;332
2002-08-31;327
2002-09-01;328
2002-09-02;329
2002-09-03;327
2002-09-04;330
2002-09-05;335
2002-09-06;340
2002-09-07;360
2002-09-08;407
2002-09-09;460
2002-09-10;470
2002-09-11;464
2002-09-12;456
2002-09-13;467
2002-09-14;473
2002-09-15;466
2002-09-16;449
2002-09-17;425
2002-09-18;415
2002-09-19;407
2002-09-20;395
2002-09-21;385
2002-09-22;374
2002-09-23;365
2002-09-24;352
2002-09-25;351
2002-09-26;342
2002-09-27;339
2002-09-28;330
2002-09-29;322
2002-09-30;317
2002-10-01;309
2002-10-02;303
2002-10-03;303
2002-10-04;298
2002-10-05;297
2002-10-06;294
2002-10-07;294
2002-10-08;290
2002-10-09;284
2002-10-10;277
2002-10-11;270
2002-10-12;263
2002-10-13;259
2002-10-14;255
2002-10-15;252
2002-10-16;250
2002-10-17;250
2002-10-18;255
2002-10-19;259
2002-10-20;259
2002-10-21;258
2002-10-22;254
2002-10-23;247
2002-10-24;242
2002-10-25;238
2002-10-26;234
2002-10-27;226
2002-10-28;222
2002-10-29;224
2002-10-30;219
2002-10-31;213
2002-11-01;213
2002-11-02;215
2002-11-03;209
2002-11-04;202
2002-11-05;188
2002-11-06;174
2002-11-07;151
2002-11-08;139
2002-11-09;138
2002-11-10;139
2002-11-11;139
2002-11-12;155
2002-11-13;171
2002-11-14;218
2002-11-15;208
2002-11-16;229
2002-11-17;223
2002-11-18;213
2002-11-19;203
2002-11-20;198
2003-03-16;164
2003-03-17;165
2003-03-18;168
2003-03-19;173
2003-03-20;177
2003-03-21;178
2003-03-22;177
2003-03-23;174
2003-03-24;174
2003-03-25;174
2003-03-26;177
2003-03-27;177
2003-03-28;177
2003-03-29;176
2003-03-30;174
2003-03-31;170
2003-04-01;169
2003-04-02;167
2003-04-03;166
2003-04-04;166
2003-04-05;165
2003-04-06;164
2003-04-07;165
2003-04-08;165
2003-04-09;166
2003-04-10;174
2003-04-11;169
2003-04-12;180
2003-04-13;186
2003-04-14;194
2003-04-15;237
2003-04-16;245
2003-04-17;253
2003-04-18;179
2003-04-19;175
2003-04-20;160
2003-04-21;133
2003-04-22;220
2003-04-23;291
2003-04-24;311
2003-04-25;272
2003-04-26;222
2003-04-27;184
2003-04-28;167
2003-04-29;158
2003-04-30;154
2003-05-01;155
2003-05-02;163
2003-05-03;177
2003-05-04;185
2003-05-05;192
2003-05-06;200
2003-05-07;209
2003-05-08;219
2003-05-09;223
2003-05-10;220
2003-05-11;210
2003-05-12;210
2003-05-13;228
2003-05-14;244
2003-05-15;242
2003-05-16;228
2003-05-17;218
2003-05-18;206
2003-05-19;190
2003-05-20;181
2003-05-21;172
2003-05-22;167
2003-05-23;167
2003-05-24;169
2003-05-25;172
2003-05-26;177
2003-05-27;183
2003-05-28;191
2003-05-29;200
2003-05-30;322
2003-05-31;425
2003-06-01;440
2003-06-02;440
2003-06-03;529
2003-06-04;610
2003-06-05;613
2003-06-06;548
2003-06-07;491
2003-06-08;478
2003-06-09;488
2003-06-13;460
2003-06-14;467
2003-06-15;429
2003-06-16;396
2003-06-17;396
2003-06-18;424
2003-06-19;452
2003-06-20;459
2003-06-21;462
2003-06-22;447
2003-06-23;428
2003-06-24;412
2003-06-25;394
2003-06-26;409
2003-06-27;430
2003-06-28;430
2003-06-29;441
2003-06-30;466
2003-07-01;488
2003-07-02;470
2003-07-03;463
2003-07-04;470
2003-07-05;458
2003-07-06;446
2003-07-07;451
2003-07-08;536
2003-07-09;667
2003-07-10;743
2003-07-11;786
2003-07-12;825
2003-07-13;845
2003-07-14;870
2003-07-15;892
2003-07-16;897
2003-07-24;702
2003-07-25;714
2003-07-26;727
2003-07-27;727
2003-07-28;713
2003-07-29;691
2003-07-30;666
2003-07-31;638
2003-08-01;612
2003-08-02;600
2003-08-03;603
2003-08-04;608
2003-08-05;628
2003-08-06;681
2003-08-07;756
2003-08-08;809
2003-08-09;847
2003-08-10;871
2003-08-11;883
2003-08-12;870
2003-08-13;840
2003-08-14;801
2003-08-15;770
2003-08-16;754
2003-08-17;731
2003-08-18;696
2003-08-19;670
2003-08-20;665
2003-08-21;672
2003-08-22;681
2003-08-23;697
2003-08-24;719
2003-08-25;740
2003-08-26;738
2003-08-27;726
2003-08-28;716
2003-08-29;716
2003-08-30;720
2003-08-31;725
2003-09-01;736
2003-09-02;767
2003-09-03;757
2003-09-04;718
2003-09-05;686
2003-09-06;677
2003-09-07;681
2003-09-08;679
2003-09-09;674
2003-09-10;655
2003-09-11;634
2003-09-12;619
2003-09-13;604
2003-09-14;610
2003-09-15;600
2003-09-16;578
2003-09-17;564
2003-09-18;595
2003-09-19;630
2003-09-20;632
2003-09-21;657
2003-09-22;666
2003-09-23;665
2003-09-24;660
2003-09-25;662
2003-09-26;662
2003-09-27;666
2003-09-28;677
2003-09-29;711
2003-09-30;742
2003-10-01;753
2003-10-02;731
2003-10-03;690
2003-10-04;689
2003-10-05;681
2003-10-06;662
2003-10-07;650
2003-10-08;633
2003-10-09;618
2003-10-10;590
2003-10-11;573
2003-10-12;555
2003-10-13;534
2003-10-14;516
2003-10-15;516
2003-10-16;501
2003-10-17;486
2003-10-18;478
2003-10-19;471
2003-10-20;466
2003-10-21;463
2003-10-22;453
2003-10-23;450
2003-10-24;435
2003-10-25;432
2003-10-26;424
2003-10-27;418
2003-10-28;411
2003-10-29;401
2003-10-30;396
2003-10-31;396
2003-11-01;385
2003-11-02;379
2003-11-03;373
2003-11-04;359
2003-11-05;342
2003-11-06;320
2003-11-07;331
2003-11-08;329
2003-11-09;314
2003-11-10;295
2003-11-11;277
2003-11-12;265
2003-11-13;257
2003-11-14;238
2003-11-15;219
2003-11-16;204
2003-11-17;198
2003-11-18;199
2003-11-19;191
2003-11-20;194
2004-03-16;282
2004-03-17;284
2004-03-21;269
2004-03-22;269
2004-03-23;272
2004-03-24;274
2004-03-25;275
2004-03-26;274
2004-03-27;272
2004-03-28;268
2004-03-29;269
2004-03-30;276
2004-03-31;285
2004-04-01;290
2004-04-02;291
2004-04-03;294
2004-04-04;291
2004-04-05;311
2004-04-06;311
2004-04-07;322
2004-04-08;321
2004-04-09;320
2004-04-10;319
2004-04-11;316
2004-04-12;319
2004-04-13;311
2004-04-14;320
2004-04-15;339
2004-04-16;351
2004-04-17;370
2004-04-18;374
2004-04-19;666
2004-04-20;516
2004-04-21;407
2004-04-22;396
2004-04-23;417
2004-04-24;422
2004-04-25;427
2004-04-26;450
2004-04-27;470
2004-04-28;436
2004-04-29;449
2004-04-30;498
2004-05-01;525
2004-05-02;532
2004-05-03;532
2004-05-04;529
2004-05-05;532
2004-05-06;556
2004-05-07;584
2004-05-08;615
2004-05-09;638
2004-05-10;657
2004-05-11;663
2004-05-12;664
2004-05-13;683
2004-05-14;722
2004-05-15;772
2004-05-18;792
2004-05-19;802
2004-05-20;827
2004-06-22;503
2004-06-23;567
2004-06-24;590
2004-06-25;580
2004-06-26;529
2004-06-27;500
2004-06-28;509
2004-06-29;529
2004-06-30;531
2004-07-01;552
2004-07-02;577
2004-07-03;571
2004-07-04;550
2004-07-05;496
2004-07-06;477
2004-07-07;463
2004-07-08;458
2004-07-09;465
2004-07-10;467
2004-07-11;458
2004-07-12;439
2004-07-13;429
2004-07-14;407
2004-07-15;404
2004-07-16;394
2004-07-17;386
2004-07-18;381
2004-07-19;396
2004-07-20;478
2004-07-21;538
2004-07-22;547
2004-07-23;542
2004-07-24;554
2004-07-25;562
2004-07-26;551
2004-07-27;557
2004-07-28;598
2004-07-29;580
2004-07-30;535
2004-07-31;495
2004-08-01;492
2004-08-02;510
2004-08-03;520
2004-08-04;530
2004-08-05;521
2004-08-06;498
2004-08-07;501
2004-08-08;567
2004-08-09;617
2004-08-10;644
2004-08-11;625
2004-08-12;605
2004-08-13;592
2004-08-14;570
2004-08-15;560
2004-08-16;548
2004-08-17;540
2004-08-18;530
2004-08-21;545
2004-08-22;544
2004-08-23;532
2004-08-24;503
2004-08-25;471
2004-08-26;447
2004-08-27;431
2004-08-28;421
2004-08-29;408
2004-08-30;399
2004-08-31;392
2004-09-01;393
2004-09-02;392
2004-09-03;397
2004-09-04;406
2004-09-05;409
2004-09-06;418
2004-09-07;458
2004-09-08;505
2004-09-09;540
2004-09-10;572
2004-09-11;580
2004-09-12;570
2004-09-13;552
2004-09-14;533
2004-09-15;514
2004-09-16;498
2004-09-17;489
2004-09-18;478
2004-09-19;468
2004-09-20;455
2004-09-21;447
2004-09-22;420
2004-09-23;457
2004-09-24;463
2004-09-25;462
2004-09-26;462
2004-09-27;455
2004-09-28;465
2004-09-29;489
2004-09-30;504
2004-10-01;503
2004-10-02;493
2004-10-03;489
2004-10-04;486
2004-10-05;480
2004-10-06;475
2004-10-07;480
2004-10-08;492
2004-10-09;502
2004-10-10;498
2004-10-11;488
2004-10-12;470
2004-10-13;457
2004-10-14;446
2004-10-15;443
2004-10-16;443
2004-10-17;446
2004-10-18;447
2004-10-19;446
2004-10-20;437
2004-10-21;430
2004-10-22;420
2004-10-23;412
2004-10-24;412
2004-10-25;414
2004-10-26;404
2004-10-27;396
2004-10-28;385
2004-10-29;376
2004-10-30;365
2004-10-31;348
2004-11-01;332
2004-11-02;314
2004-11-03;307
2004-11-04;302
2004-11-05;300
2004-11-06;295
2004-11-07;291
2004-11-08;282
2004-11-09;273
2004-11-10;265
2004-11-11;262
2004-11-12;257
2004-11-13;243
2004-11-14;224
2004-11-15;215
2004-11-16;211
2004-11-17;206
2004-11-18;201
2004-11-19;192
2004-11-20;192
2004-11-21;186
2004-11-22;177
2004-11-23;168
2004-11-24;158
2004-11-25;172
2004-11-26;243
2004-11-27;266
2004-11-28;266
2004-11-29;276
2004-11-30;260
2005-03-16;266
2005-03-17;256
2005-03-18;256
2005-03-19;256
2005-03-20;263
2005-03-21;261
2005-03-22;261
2005-03-23;260
2005-03-24;264
2005-03-25;264
2005-03-26;266
2005-03-27;268
2005-03-28;273
2005-03-29;276
2005-03-30;274
2005-03-31;275
2005-04-01;277
2005-04-02;278
2005-04-03;274
2005-04-04;281
2005-04-05;282
2005-04-06;283
2005-04-07;286
2005-04-08;291
2005-04-09;289
2005-04-10;286
2005-04-11;276
2005-04-12;260
2005-04-13;275
2005-04-14;272
2005-04-15;277
2005-04-16;283
2005-04-17;294
2005-04-18;292
2005-04-19;356
2005-04-20;407
2005-04-21;392
2005-04-22;392
2005-04-23;427
2005-04-24;407
2005-04-25;429
2005-04-26;343
2005-04-27;355
2005-04-28;436
2005-04-29;437
2005-04-30;421
2005-05-01;454
2005-05-02;458
2005-05-03;458
2005-05-04;451
2005-05-05;441
2005-05-06;440
2005-05-07;451
2005-05-08;456
2005-05-09;466
2005-05-10;476
2005-05-11;477
2005-05-12;498
2005-05-13;512
2005-05-14;518
2005-05-15;514
2005-05-16;550
2005-05-17;571
2005-05-18;582
2005-05-19;586
2005-05-20;580
2005-05-21;577
2005-05-22;580
2005-05-23;581
2005-05-24;582
2005-05-25;587
2005-05-26;608
2005-05-27;630
2005-05-28;636
2005-05-29;623
2005-05-30;609
2005-05-31;605
2005-06-01;610
2005-06-02;630
2005-06-03;724
2005-06-04;790
2005-06-05;825
2005-06-06;832
2005-06-07;845
2005-06-08;847
2005-06-09;835
2005-06-10;782
2005-06-11;748
2005-06-12;744
2005-06-13;745
2005-06-14;742
2005-06-15;732
2005-06-16;705
2005-06-17;668
2005-06-18;641
2005-06-19;613
2005-06-20;601
2005-06-21;582
2005-06-22;589
2005-06-23;596
2005-06-24;634
2005-06-25;643
2005-06-26;648
2005-06-27;640
2005-06-28;640
2005-06-29;643
2005-06-30;615
2005-07-01;592
2005-07-02;587
2005-07-03;572
2005-07-04;565
2005-07-05;560
2005-07-06;552
2005-07-07;540
2005-07-08;530
2005-07-09;527
2005-07-10;503
2005-07-11;489
2005-07-12;466
2005-07-13;452
2005-07-14;466
2005-07-15;527
2005-07-16;605
2005-07-17;630
2005-07-18;630
2005-07-19;607
2005-07-20;580
2005-07-21;560
2005-07-22;530
2005-07-23;512
2005-07-24;497
2005-07-25;490
2005-07-26;485
2005-07-27;477
2005-07-28;479
2005-07-29;473
2005-07-30;472
2005-07-31;459
2005-08-01;442
2005-08-02;432
2005-08-03;429
2005-08-04;424
2005-08-05;420
2005-08-06;414
2005-08-07;392
2005-08-08;389
2005-08-09;377
2005-08-10;366
2005-08-11;356
2005-08-12;361
2005-08-13;358
2005-08-14;354
2005-08-15;347
2005-08-16;340
2005-08-17;350
2005-08-18;356
2005-08-19;362
2005-08-20;365
2005-08-21;362
2005-08-22;361
2005-08-23;359
2005-08-24;360
2005-08-25;363
2005-08-26;356
2005-08-27;355
2005-08-28;357
2005-08-29;357
2005-08-30;349
2005-08-31;342
2005-09-01;340
2005-09-02;343
2005-09-03;328
2005-09-04;326
2005-09-05;323
2005-09-06;313
2005-09-07;304
2005-09-08;302
2005-09-09;317
2005-09-10;334
2005-09-11;344
2005-09-12;347
2005-09-13;343
2005-09-14;332
2005-09-15;329
2005-09-16;324
2005-09-17;334
2005-09-18;336
2005-09-19;349
2005-09-20;363
2005-09-21;389
2005-09-22;408
2005-09-23;423
2005-09-24;408
2005-09-25;389
2005-09-26;370
2005-09-27;353
2005-09-28;346
2005-09-29;342
2005-09-30;356
2005-10-01;364
2005-10-02;364
2005-10-03;363
2005-10-04;355
2005-10-05;342
2005-10-06;335
2005-10-07;330
2005-10-08;324
2005-10-09;328
2005-10-10;328
2005-10-11;322
2005-10-12;323
2005-10-13;323
2005-10-14;315
2005-10-15;311
2005-10-16;304
2005-10-17;304
2005-10-18;290
2005-10-19;283
2005-10-20;280
2005-10-21;278
2005-10-22;276
2005-10-23;274
2005-10-24;272
2005-10-25;272
2005-10-26;270
2005-10-27;266
2005-10-28;267
2005-10-29;265
2005-10-30;251
2005-10-31;249
2005-11-01;248
2005-11-02;248
2005-11-03;240
2005-11-04;235
2005-11-05;230
2005-11-06;230
2005-11-07;222
2005-11-08;220
2005-11-09;220
2005-11-10;226
2005-11-11;230
2005-11-12;232
2005-11-13;228
2005-11-14;220
2005-11-15;215
2005-11-16;210
2005-11-17;205
2005-11-18;181
2005-11-19;184
2005-11-20;183
2005-11-21;170
2005-11-22;181
2005-11-23;210
2005-11-24;273
2005-11-25;264
2006-03-17;309
2006-03-18;295
2006-03-19;291
2006-03-20;288
2006-03-21;291
2006-03-22;293
2006-03-23;298
2006-03-24;302
2006-03-25;309
2006-03-26;317
2006-03-27;320
2006-03-28;316
2006-03-29;318
2006-03-30;314
2006-03-31;313
2006-04-01;313
2006-04-02;315
2006-04-03;318
2006-04-04;320
2006-04-05;321
2006-04-06;321
2006-04-07;315
2006-04-08;310
2006-04-09;307
2006-04-10;308
2006-04-11;311
2006-04-12;315
2006-04-13;324
2006-04-14;332
2006-04-15;341
2006-04-16;349
2006-04-17;354
2006-04-18;359
2006-04-19;367
2006-04-20;368
2006-04-21;361
2006-04-22;355
2006-04-23;363
2006-04-24;375
2006-04-25;376
2006-04-26;394
2006-04-27;478
2006-04-28;540
2006-04-29;618
2006-04-30;581
2006-05-01;565
2006-05-02;586
2006-05-03;398
2006-05-04;357
