Timestamp;Value
2001-01-11;-110
2001-02-11;-112
2001-03-11;-113
2001-04-11;-113
2001-05-11;-115
2001-06-11;-118
2001-07-11;-120
2001-08-11;-122
2001-10-11;-125
2001-10-20;-84
2001-10-21;-86
2001-10-22;-86
2001-10-23;-89
2001-10-24;-92
2001-10-25;-94
2001-10-26;-97
2001-10-27;-100
2001-10-28;-101
2001-10-29;-101
2001-10-30;-104
2001-10-31;-107
2001-11-01;-110
2001-11-02;-112
2001-11-03;-113
2001-11-04;-113
2001-11-05;-115
2001-11-06;-118
2001-11-07;-120
2001-11-08;-122
2001-11-09;-125
2001-11-10;-125
2001-11-11;-128
2001-11-12;-130
2001-11-13;-131
2001-11-14;-131
2001-11-15;-131
2001-11-16;-135
2001-11-17;-138
2001-11-18;-142
2001-11-19;-147
2001-11-20;-151
2001-11-21;-156
2001-12-11;-130
2002-03-16;-164
2002-03-17;-164
2002-03-18;-165
2002-03-19;-166
2002-03-20;-167
2002-03-21;-168
2002-03-22;-168
2002-03-23;-169
2002-03-24;-169
2002-03-25;-167
2002-03-26;-164
2002-03-27;-162
2002-03-28;-160
2002-03-29;-159
2002-03-30;-159
2002-03-31;-155
2002-04-01;-150
2002-04-02;-142
2002-04-03;-139
2002-04-04;-132
2002-04-05;-124
2002-04-06;-118
2002-04-07;-110
2002-04-08;-104
2002-04-09;-100
2002-04-10;-95
2002-04-11;-91
2002-04-12;-87
2002-04-13;-90
2002-04-14;-78
2002-04-15;-60
2002-04-16;-44
2002-04-17;-27
2002-04-18;-16
2002-04-19;-1
2002-04-20;23
2002-04-21;29
2002-04-22;33
2002-04-23;38
2002-04-24;43
2002-04-25;46
2002-04-26;51
2002-04-27;10
2002-04-28;-5
2002-04-29;-14
2002-04-30;-10
2002-05-01;1
2002-05-02;11
2002-05-03;17
2002-05-04;17
2002-05-05;17
2002-05-06;18
2002-05-07;18
2002-05-08;18
2002-05-09;19
2002-05-10;20
2002-05-11;20
2002-05-12;19
2002-05-13;16
2002-05-14;12
2002-05-15;14
2002-05-16;25
2002-05-17;30
2002-05-18;34
2002-05-19;34
2002-05-20;38
2002-05-21;50
2002-05-22;58
2002-05-23;64
2002-05-24;70
2002-05-25;75
2002-05-26;76
2002-05-27;73
2002-05-28;71
2002-05-29;67
2002-05-30;59
2002-05-31;50
2002-06-01;46
2002-06-02;43
2002-06-03;42
2002-06-04;45
2002-06-05;54
2002-06-06;57
2002-06-07;59
2002-06-08;67
2002-06-09;76
2002-06-10;80
2002-06-11;86
2002-06-12;87
2002-06-13;87
2002-06-14;83
2002-06-15;74
2002-06-16;67
2002-06-17;58
2002-06-18;45
2002-06-19;29
2002-06-20;15
2002-06-21;4
2002-06-22;-5
2002-06-23;-19
2002-06-24;-29
2002-06-25;-31
2002-06-26;-31
2002-06-27;-30
2002-06-28;-28
2002-06-29;-23
2002-06-30;-12
2002-07-01;-6
2002-07-02;0
2002-07-03;1
2002-07-04;-3
2002-07-05;-6
2002-07-06;0
2002-07-07;0
2002-07-08;0
2002-07-09;-1
2002-07-10;3
2002-07-11;5
2002-07-12;9
2002-07-16;39
2002-07-17;34
2002-07-18;27
2002-07-19;24
2002-07-23;33
2002-07-24;33
2002-07-25;33
2002-07-26;34
2002-07-29;38
2002-07-30;46
2002-07-31;53
2002-08-01;55
2002-08-02;55
2002-08-03;57
2002-08-04;61
2002-08-05;66
2002-08-06;70
2002-08-07;72
2002-08-08;77
2002-08-09;81
2002-08-10;90
2002-08-11;97
2002-08-12;107
2002-08-13;115
2002-08-14;125
2002-08-15;134
2002-08-16;145
2002-08-17;151
2002-08-18;158
2002-08-19;162
2002-08-20;160
2002-08-21;158
2002-08-22;156
2002-08-23;155
2002-08-24;150
2002-08-25;147
2002-08-26;144
2002-08-27;140
2002-08-28;138
2002-08-29;132
2002-08-30;131
2002-08-31;127
2002-09-01;127
2002-09-02;128
2002-09-03;128
2002-09-04;123
2002-09-05;115
2002-09-06;103
2002-09-07;94
2002-09-08;89
2002-09-09;82
2002-09-10;76
2002-09-11;74
2002-09-12;75
2002-09-13;78
2002-09-14;83
2002-09-15;83
2002-09-16;83
2002-09-17;82
2002-09-18;80
2002-09-19;75
2002-09-20;71
2002-09-21;63
2002-09-22;55
2002-09-23;45
2002-09-24;25
2002-09-25;7
2002-09-26;-10
2002-09-27;-21
2002-09-28;-27
2002-09-29;-34
2002-09-30;-42
2002-10-01;-51
2002-10-02;-61
2002-10-03;-66
2002-10-04;-68
2002-10-05;-71
2002-10-06;-71
2002-10-07;-54
2002-10-08;-55
2002-10-09;-55
2002-10-10;-50
2002-10-11;-47
2002-10-12;-36
2002-10-13;-30
2002-10-14;-25
2002-10-15;-17
2002-10-16;-12
2002-10-17;-9
2002-10-18;-8
2002-10-19;-8
2002-10-20;-8
2002-10-21;-11
2002-10-22;-18
2002-10-23;-24
2002-10-24;-33
2002-10-25;-41
2002-10-26;-47
2002-10-27;-52
2002-10-28;-60
2002-10-29;-67
2002-10-30;-72
2002-10-31;-78
2002-11-01;-84
2002-11-02;-91
2002-11-03;-95
2002-11-04;-99
2002-11-05;-102
2002-11-06;-103
2002-11-07;-110
2002-11-08;-119
2002-11-09;-127
2002-11-10;-136
2002-11-11;-141
2002-11-12;-146
2002-11-13;-148
2002-11-14;-151
2002-11-15;-163
2002-11-16;-129
2002-11-17;-82
2002-11-18;-76
2002-11-19;-89
2002-11-20;-95
2003-03-16;-156
2003-03-17;-158
2003-03-18;-160
2003-03-19;-161
2003-03-20;-161
2003-03-21;-160
2003-03-22;-159
2003-03-23;-160
2003-03-24;-155
2003-03-25;-158
2003-03-26;-157
2003-03-27;-156
2003-03-28;-151
2003-03-29;-150
2003-03-30;-145
2003-03-31;-142
2003-04-01;-138
2003-04-02;-134
2003-04-03;-130
2003-04-04;-126
2003-04-05;-121
2003-04-06;-118
2003-04-07;-114
2003-04-08;-108
2003-04-09;-102
2003-04-10;-97
2003-04-11;-94
2003-04-12;-89
2003-04-13;-84
2003-04-14;-78
2003-04-15;-72
