Timestamp;Value
2001-01-11;95
2001-02-11;92
2001-03-11;90
2001-04-11;78
2001-04-12;246
2001-05-11;70
2001-05-12;248
2001-06-11;73
2001-07-11;69
2001-08-11;66
2001-08-12;265
2001-09-12;270
2001-10-11;56
2001-10-12;275
2001-10-20;141
2001-10-21;138
2001-10-22;134
2001-10-23;131
2001-10-24;127
2001-10-25;123
2001-10-26;120
2001-10-27;117
2001-10-28;116
2001-10-29;115
2001-10-30;100
2001-10-31;99
2001-11-01;95
2001-11-02;92
2001-11-03;90
2001-11-04;78
2001-11-05;70
2001-11-06;73
2001-11-07;69
2001-11-08;66
2001-11-09;56
2001-11-10;56
2001-11-11;54
2001-11-12;51
2001-11-13;44
2001-11-14;31
2001-11-15;43
2001-11-16;53
2001-11-17;139
2001-11-18;167
2001-11-19;159
2001-11-20;156
2001-11-21;160
2001-11-28;270
2001-11-29;260
2001-12-04;246
2001-12-05;248
2001-12-08;265
2001-12-09;270
2001-12-10;275
2001-12-11;51
2001-12-15;273
2001-12-18;262
2001-12-19;259
2001-12-20;257
2001-12-21;248
2001-12-22;248
2001-12-23;245
2001-12-24;240
2001-12-25;240
2002-01-01;233
2002-01-02;230
2002-01-03;228
2002-01-04;226
2002-01-05;224
2002-01-06;220
2002-01-07;218
2002-01-08;216
2002-01-09;213
2002-01-10;211
2002-01-11;208
2002-01-12;205
2002-01-13;200
2002-01-14;195
2002-01-15;190
2002-01-16;182
2002-01-17;173
2002-01-18;165
2002-01-19;152
2002-01-20;140
2002-01-21;137
2002-01-22;134
2002-01-23;130
2002-01-24;130
2002-01-25;125
2002-01-26;120
2002-01-27;115
2002-01-28;110
2002-01-29;105
2002-01-30;100
2002-01-31;95
2002-02-01;95
2002-02-02;95
2002-02-03;82
2002-02-04;80
2002-02-05;80
2002-02-06;78
2002-02-07;75
2002-02-08;70
2002-02-09;70
2002-02-10;68
2002-02-16;148
2002-02-17;148
2002-02-18;150
2002-02-19;153
2002-02-20;153
2002-02-21;154
2002-02-22;152
2002-02-23;152
2002-02-24;151
2002-02-25;150
2002-02-26;147
2002-02-27;147
2002-02-28;147
2002-03-01;144
2002-03-02;142
2002-03-03;140
2002-03-04;135
2002-03-05;133
2002-03-06;129
2002-03-07;124
2002-03-08;119
2002-03-09;114
2002-03-10;109
2002-03-11;109
2002-03-12;109
2002-03-13;109
2002-03-14;108
2002-03-15;108
2002-03-16;108
2002-03-17;108
2002-03-18;107
2002-03-19;107
2002-03-20;107
2002-03-21;106
2002-03-22;105
2002-03-23;107
2002-03-24;112
2002-03-25;118
2002-03-26;123
2002-03-27;123
2002-03-30;104
2002-03-31;102
2002-04-01;98
2002-04-02;94
2002-04-03;94
2002-04-04;96
2002-04-05;98
2002-04-06;98
2002-04-07;99
2002-04-08;103
2002-04-09;102
2002-04-10;104
2002-04-11;114
2002-04-12;123
2002-04-13;131
2002-04-14;133
2002-04-15;138
2002-04-16;123
2002-04-17;119
2002-04-18;126
2002-04-19;78
2002-04-20;152
2002-04-21;234
2002-04-22;163
2002-04-23;129
2002-04-24;127
2002-04-25;116
2002-04-26;124
2002-04-27;116
2002-04-28;121
2002-04-29;132
2002-04-30;132
2002-05-01;129
2002-05-02;134
2002-05-03;153
2002-05-04;185
2002-05-05;189
2002-05-06;178
2002-05-07;174
2002-05-08;199
2002-05-09;267
2002-05-10;296
2002-05-11;298
2002-05-12;291
2002-05-13;285
2002-05-14;293
2002-05-15;324
2002-05-16;367
2002-05-17;388
2002-05-18;394
2002-05-19;426
2002-05-20;443
2002-05-21;437
2002-05-22;439
2002-05-23;424
2002-05-24;403
2002-05-25;388
2002-05-26;361
2002-05-27;338
2002-05-28;518
2002-05-29;315
2002-05-30;350
2002-05-31;381
2002-06-01;387
2002-06-02;380
2002-06-03;381
2002-06-04;418
2002-06-05;432
2002-06-06;418
2002-06-07;402
2002-06-08;380
2002-06-09;350
2002-06-10;323
2002-06-11;294
2002-06-12;269
2002-06-13;250
2002-06-14;236
2002-06-15;223
2002-06-16;212
2002-06-17;202
2002-06-18;194
2002-06-19;186
2002-06-20;180
2002-06-21;172
2002-06-22;170
2002-06-23;175
2002-06-24;182
2002-06-25;184
2002-06-26;179
2002-06-27;174
2002-06-28;171
2002-06-29;173
2002-06-30;173
2002-07-01;171
2002-07-02;165
2002-07-03;160
2002-07-04;159
2002-07-05;158
2002-07-06;164
2002-07-07;177
2002-07-08;219
2002-07-09;249
2002-07-10;244
2002-07-11;220
2002-07-12;198
2002-07-16;293
2002-07-17;304
2002-07-18;286
2002-07-19;269
2002-07-23;265
2002-07-24;275
2002-07-25;294
2002-07-26;289
2002-07-29;250
2002-07-30;295
2002-07-31;333
2002-08-01;334
2002-08-02;310
2002-08-03;287
2002-08-04;285
2002-08-05;288
2002-08-06;288
2002-08-07;293
2002-08-08;322
2002-08-09;349
2002-08-10;357
2002-08-11;346
2002-08-12;329
2002-08-13;319
2002-08-14;312
2002-08-15;303
2002-08-16;291
2002-08-17;281
2002-08-18;267
2002-08-19;250
2002-08-20;237
2002-08-21;224
2002-08-22;213
2002-08-23;206
2002-08-24;197
2002-08-25;190
2002-08-26;181
2002-08-27;171
2002-08-28;162
2002-08-29;150
2002-08-30;146
2002-08-31;147
2002-09-01;149
2002-09-02;149
2002-09-03;148
2002-09-04;153
2002-09-05;155
2002-09-06;162
2002-09-07;188
2002-09-08;240
2002-09-09;268
2002-09-10;265
2002-09-11;254
2002-09-12;258
2002-09-13;268
2002-09-14;269
2002-09-15;256
2002-09-16;238
2002-09-17;226
2002-09-18;217
2002-09-19;208
2002-09-20;199
2002-09-21;187
2002-09-22;181
