Timestamp;Value
2003-09-30;229
2004-04-03;0
2004-04-04;32
2004-04-11;0
2004-04-12;37
2004-07-13;0
2004-07-14;84
2004-07-15;79
2004-07-16;77
2004-07-17;74
2004-07-18;71
2004-07-19;73
2004-07-20;75
2004-07-21;78
2004-07-22;78
2004-07-23;75
2004-07-24;73
2004-07-25;66
2004-07-26;60
2004-07-27;56
2004-07-28;62
2004-07-29;61
2004-07-30;79
2004-07-31;77
2004-08-01;92
2004-08-02;99
2004-08-03;105
2004-08-04;110
2004-08-05;118
2004-08-06;121
2004-08-07;118
2004-08-08;116
2004-08-09;120
2004-08-10;116
2004-08-11;108
2004-08-12;103
2004-08-13;84
2004-08-21;0
2004-08-22;49
2004-08-23;46
2004-09-18;0
2004-09-19;148
2004-09-20;145
2005-11-15;23
2005-11-16;24
2005-11-17;32
2005-11-18;35
2005-11-19;42
2005-11-20;47
2006-05-04;0
2006-05-05;190
2006-05-08;0
2006-05-09;284
2006-06-24;0
2006-06-25;258
2006-07-16;0
2006-07-17;109
2006-07-18;108
2006-07-19;106
2006-07-20;113
2006-07-21;112
2006-07-22;118
2006-07-23;118
2006-07-24;119
2006-07-25;120
2007-11-04;-31
2008-01-01;1
2008-01-02;1
2008-01-03;1
2008-01-04;1
2008-01-05;1
2008-01-06;2
2008-01-07;3
2008-01-08;3
2008-01-09;3
2008-01-10;3
2008-01-11;2
2008-01-12;2
2008-01-13;3
2008-01-14;3
2008-01-15;5
2008-01-16;6
2008-01-17;6
2008-01-18;6
2008-01-19;7
2008-01-20;7
2008-01-21;7
2008-01-22;7
2008-01-23;7
2008-01-24;7
2008-01-25;9
2008-01-26;10
2008-01-27;11
2008-01-28;11
2008-01-29;11
2008-01-30;11
2008-01-31;11
2008-02-01;11
2008-02-02;11
2008-02-03;10
2008-02-04;9
2008-02-05;9
2008-02-06;9
2008-02-07;9
2008-02-08;9
2008-02-09;9
2008-02-10;10
2008-02-11;13
2008-02-12;18
2008-02-13;19
2008-02-14;19
2008-02-15;18
2008-02-16;15
2008-02-17;13
2008-02-18;13
2008-02-19;13
2008-02-20;13
2008-02-21;14
2008-02-22;14
2008-02-23;14
2008-02-24;16
2008-02-25;11
2008-02-26;6
2008-02-27;3
2008-02-28;2
2008-02-29;1
2008-03-01;2
2008-03-02;4
2008-03-03;6
2008-03-04;9
2008-03-05;15
2008-03-06;16
2008-03-07;16
2008-03-08;16
2008-03-09;15
2008-03-10;14
2008-03-11;11
2008-03-12;10
2008-03-13;13
2008-03-14;22
2008-03-15;27
2008-03-16;27
2008-03-17;25
2008-03-18;18
2008-03-19;9
2008-03-20;5
2008-03-21;6
2008-03-22;6
2008-03-23;7
2008-03-24;8
2008-03-25;9
2008-03-26;10
2008-03-27;13
2008-03-28;16
2008-03-29;27
2008-03-30;34
2008-03-31;41
2008-04-01;24
2008-04-02;25
2008-04-03;22
2008-04-04;28
2008-04-05;43
2008-04-06;41
2008-04-07;41
2008-04-08;56
2008-04-09;54
2008-04-10;53
2008-04-11;52
2008-04-12;57
2008-04-13;61
2008-04-14;65
2008-04-15;67
2008-04-16;72
2008-04-17;73
2008-04-18;69
2008-04-19;68
2008-04-20;71
2008-04-21;78
2008-04-22;86
2008-04-23;90
2008-04-24;96
2008-04-25;93
2008-04-26;106
2008-04-27;122
2008-04-28;116
2008-04-29;123
2008-04-30;176
2008-05-01;175
2008-05-02;148
2008-05-03;155
2008-05-04;154
2008-05-05;127
2008-05-06;170
2008-05-07;113
2008-05-08;104
2008-05-09;94
2008-05-10;92
2008-05-11;32
2008-05-12;20
2008-05-13;16
2008-05-14;17
2008-05-15;18
2008-05-16;17
2008-05-17;15
2008-05-18;13
2008-05-19;9
2008-05-20;8
2008-05-21;7
2008-05-22;5
2008-05-23;8
2008-05-24;15
2008-05-25;27
2008-05-26;45
2008-05-27;78
2008-05-28;75
2008-05-29;77
2008-05-30;92
2008-05-31;93
2008-06-01;91
2008-06-02;109
2008-06-03;117
2008-06-04;104
2008-06-05;90
2008-06-06;99
2008-06-07;116
2008-06-08;123
2008-06-09;126
2008-06-10;121
2008-06-11;110
2008-06-12;100
2008-06-13;92
2008-06-14;81
2008-06-15;70
2008-06-16;60
2008-06-17;52
2008-06-18;48
2008-06-19;56
2008-06-20;51
2008-06-21;48
2008-06-22;53
2008-06-23;86
2008-06-24;104
2008-06-25;90
2008-06-26;78
2008-06-27;82
2008-06-28;114
2008-06-29;109
2008-06-30;98
2008-07-01;95
2008-07-02;103
2008-07-03;108
2008-07-04;117
2008-07-05;123
2008-07-06;132
2008-07-07;129
2008-07-08;135
2008-07-09;140
2008-07-10;144
2008-07-11;153
2008-07-12;161
2008-07-13;149
2008-07-14;137
2008-07-15;137
2008-07-16;152
2008-07-17;170
2008-07-18;176
2008-07-19;172
2008-07-20;164
2008-07-21;164
2008-07-22;161
2008-07-23;163
2008-07-24;172
2008-07-25;172
2008-07-26;167
2008-07-27;163
2008-07-28;152
2008-07-29;144
2008-07-30;139
2008-07-31;133
2008-08-01;137
2008-08-02;127
2008-08-03;125
2008-08-04;148
2008-08-05;147
2008-08-06;135
2008-08-07;122
2008-08-08;115
2008-08-09;111
2008-08-10;110
2008-08-11;117
2008-08-12;125
2008-08-13;117
2008-08-14;130
2008-08-15;140
2008-08-16;125
2008-08-17;111
2008-08-18;110
2008-08-19;90
2008-08-20;77
2008-08-21;71
2008-08-22;65
2008-08-23;64
2008-08-24;62
2008-08-25;63
2008-08-26;68
2008-08-27;78
2008-08-28;106
2008-08-29;148
2008-08-30;166
2008-08-31;188
2008-09-01;250
2008-09-02;289
2008-09-03;283
2008-09-04;292
2008-09-05;311
2008-09-06;313
2008-09-07;310
2008-09-08;283
2008-09-09;256
2008-09-10;253
2008-09-11;254
2008-09-12;254
2008-09-13;255
2008-09-14;254
2008-09-15;253
2008-09-16;264
2008-09-17;282
2008-09-18;283
2008-09-19;277
2008-09-20;276
2008-09-21;276
2008-09-22;278
2008-09-23;270
2008-09-24;262
2008-09-25;250
2008-09-26;238
2008-09-27;230
2008-09-28;220
2008-09-29;209
2008-09-30;202
2008-10-01;190
2008-10-02;188
2008-10-03;192
2008-10-04;197
2008-10-05;197
2008-10-06;199
2008-10-07;189
2008-10-08;189
2008-10-09;184
2008-10-10;176
2008-10-11;176
2008-10-12;169
2008-10-13;159
2008-10-14;153
2008-10-15;146
2008-10-16;144
2008-10-17;137
2008-10-18;132
2008-10-19;131
2008-10-20;131
2008-10-21;131
2008-10-22;130
2008-10-23;129
2008-10-24;129
2008-10-25;126
2008-10-26;118
2008-10-27;112
2008-10-28;105
2008-10-29;98
2008-10-30;95
2008-10-31;88
2008-11-01;86
2008-11-02;83
2008-11-03;78
2008-11-04;78
2008-11-05;78
2008-11-06;72
2008-11-07;57
2008-11-08;48
2008-11-09;47
2008-11-10;100
2008-11-11;81
2008-11-12;79
2008-11-13;93
2008-11-14;101
2008-11-15;98
2008-11-16;96
2008-11-17;95
2008-11-18;107
2008-11-19;116
2008-11-20;126
2008-11-21;127
2008-11-22;130
2008-11-23;132
2008-11-24;131
2008-11-25;128
2008-11-26;125
2008-11-27;122
2008-11-28;117
2008-11-29;115
2008-11-30;111
2008-12-01;107
2008-12-02;104
2008-12-03;101
2008-12-04;97
2008-12-05;93
2008-12-06;90
2008-12-07;86
2008-12-08;83
2008-12-09;78
2008-12-10;75
2008-12-11;71
2008-12-12;67
2008-12-13;65
2008-12-14;62
2008-12-15;60
2008-12-16;58
2008-12-17;54
2008-12-18;46
2008-12-19;43
2008-12-20;38
2008-12-21;37
2008-12-22;36
2008-12-23;34
2008-12-24;33
2008-12-25;31
2008-12-26;30
2008-12-27;29
2008-12-28;28
2008-12-29;26
2008-12-30;25
2008-12-31;23
2009-01-01;22
2009-01-02;20
2009-01-03;18
2009-01-04;17
2009-01-05;17
2009-01-06;15
2009-01-07;14
2009-01-08;13
2009-01-09;13
2009-01-10;13
2009-01-11;2
2009-01-12;1
2009-01-13;1
2009-01-16;-1
2009-01-17;-1
2009-01-18;-1
2009-01-19;-1
2009-01-20;-2
2009-01-21;-2
2009-01-22;-2
2009-01-23;-2
2009-01-24;-2
2009-01-25;-2
2009-01-26;-2
2009-01-27;-2
2009-01-28;-2
2009-01-29;-2
2009-01-30;-2
2009-01-31;-2
2009-02-01;-2
2009-02-02;-2
2009-02-03;-2
2009-02-04;-2
2009-02-05;-2
2009-02-06;-3
2009-02-07;-3
2009-02-08;-3
2009-02-09;-4
2009-02-10;-4
2009-02-11;-3
2009-02-12;-2
2009-02-13;-3
2009-02-14;-3
2009-02-15;-4
2009-02-16;-4
2009-02-17;-2
2009-02-18;-1
2009-02-19;-1
2009-02-20;-1
2009-02-21;-1
2009-02-22;-1
2009-02-23;-1
2009-02-24;-1
2009-02-25;-1
2009-02-26;-1
2009-02-27;-1
2009-02-28;-3
2009-03-01;-3
2009-03-02;-5
2009-03-03;-3
2009-03-04;-2
2009-03-05;1
2009-03-06;1
2009-03-07;2
2009-03-08;2
2009-03-09;3
2009-03-10;3
2009-03-11;1
2009-03-12;1
2009-03-13;1
2009-03-14;3
2009-03-15;2
2009-03-16;1
2009-03-17;1
2009-03-18;1
2009-03-19;1
2009-03-20;1
2009-03-21;1
2009-03-22;3
2009-03-23;6
2009-03-24;7
2009-03-25;6
2009-03-26;6
2009-03-27;6
2009-03-28;7
2009-03-29;6
2009-03-30;4
2009-03-31;4
2009-04-01;-1
2009-04-02;-2
2009-04-03;-3
2009-04-05;7
2009-04-06;11
2009-04-07;16
2009-04-08;36
2009-04-09;58
2009-04-10;115
2009-04-11;172
2009-04-12;233
2009-04-13;305
2009-04-14;235
2009-04-15;345
2009-04-16;336
2009-04-17;173
2009-04-18;162
2009-04-19;160
2009-04-20;161
2009-04-21;208
2009-04-22;202
2009-04-23;195
2009-04-24;199
2009-04-25;193
2009-04-26;185
2009-04-27;184
2009-04-28;181
2009-04-29;184
2009-04-30;185
2009-05-01;193
2009-05-02;212
2009-05-03;222
2009-05-04;215
2009-05-05;199
2009-05-06;186
2009-05-07;183
2009-05-08;169
2009-05-09;158
2009-05-10;145
2009-05-11;134
2009-05-12;124
2009-05-13;118
2009-05-14;107
2009-05-15;97
2009-05-16;89
2009-05-17;85
2009-05-18;88
2009-05-19;98
2009-05-20;111
2009-05-21;115
2009-05-22;116
2009-05-23;127
2009-05-24;141
2009-05-25;154
2009-05-26;164
2009-05-27;153
2009-05-28;133
