Timestamp;Value
2001-10-11;15
2001-10-24;113
2001-10-25;113
2001-11-10;15
2001-11-11;10
2001-11-12;-1
2001-11-13;-18
2001-11-14;-32
2001-11-15;-54
2001-11-16;-58
2001-11-17;-60
2001-11-18;-52
2001-11-19;-44
2001-11-20;-34
2001-11-21;-20
2001-12-11;-1
2002-03-16;33
2002-03-17;39
2002-03-18;47
2002-03-19;54
2002-03-20;61
2002-03-21;60
2002-03-22;53
2002-03-23;45
2002-03-24;40
2002-03-25;36
2002-03-26;31
2002-03-27;29
2002-03-28;32
2002-03-29;31
2002-03-30;35
2002-03-31;35
2002-04-01;33
2002-04-02;31
2002-04-03;29
2002-04-04;44
2002-04-05;54
2002-04-06;61
2002-04-07;65
2002-04-08;65
2002-04-09;61
2002-04-10;57
2002-04-11;60
2002-04-12;65
2002-04-13;68
2002-04-14;70
2002-04-15;72
2002-04-16;78
2002-04-17;94
2002-04-18;103
2002-04-19;168
2002-04-20;122
2002-04-21;143
2002-04-22;106
2002-04-23;85
2002-04-24;49
2002-04-25;59
2002-04-26;59
2002-04-27;82
2002-04-28;86
2002-04-29;109
2002-04-30;123
2002-05-01;157
2002-05-02;124
2002-05-03;113
2002-05-04;128
2002-05-05;163
2002-05-06;287
2002-05-07;275
2002-05-08;279
2002-05-09;261
2002-05-10;245
2002-05-11;237
2002-05-12;256
2002-05-13;301
2002-05-14;331
2002-05-15;347
2002-05-16;360
2002-05-17;368
2002-05-18;377
2002-05-19;385
2002-05-20;376
2002-05-21;358
2002-05-22;340
2002-05-23;317
2002-05-24;300
2002-05-25;283
2002-05-26;276
2002-05-27;338
2002-05-28;371
2002-05-29;365
2002-05-30;355
2002-05-31;339
2002-06-01;317
2002-06-02;299
2002-06-03;287
2002-06-04;293
2002-06-05;312
2002-06-06;312
2002-06-07;291
2002-06-08;264
2002-06-09;247
2002-06-10;226
2002-06-11;211
2002-06-12;198
2002-06-13;191
2002-06-14;186
2002-06-15;179
2002-06-16;173
2002-06-17;164
2002-06-18;155
2002-06-19;157
2002-06-20;172
2002-06-21;167
2002-06-22;152
2002-06-23;141
2002-06-24;136
2002-06-25;147
2002-06-26;155
2002-06-27;158
2002-06-28;155
2002-06-29;150
2002-06-30;149
2002-07-01;145
2002-07-02;136
2002-07-03;127
2002-07-04;120
2002-07-05;106
2002-07-06;106
2002-07-07;120
2002-07-08;135
2002-07-09;147
2002-07-10;161
2002-07-11;177
2002-07-12;187
2002-07-16;185
2002-07-17;221
2002-07-18;235
2002-07-19;239
2002-07-23;195
2002-07-24;177
2002-07-25;167
2002-07-26;161
2002-07-29;167
2002-07-30;163
2002-07-31;164
2002-08-01;205
2002-08-02;205
2002-08-03;198
2002-08-04;190
2002-08-05;187
2002-08-06;188
2002-08-07;187
2002-08-08;191
2002-08-09;205
2002-08-10;234
2002-08-11;256
2002-08-12;258
2002-08-13;250
2002-08-14;238
2002-08-15;215
2002-08-16;202
2002-08-17;165
2002-08-18;151
2002-08-19;144
2002-08-20;143
2002-08-21;142
2002-08-22;140
2002-08-23;133
2002-08-24;127
2002-08-25;115
2002-08-26;110
2002-08-27;109
2002-08-28;108
2002-08-29;109
2002-08-30;108
2002-08-31;105
2002-09-01;107
2002-09-02;110
2002-09-03;124
2002-09-04;129
2002-09-05;130
2002-09-06;127
2002-09-07;125
2002-09-08;139
2002-09-09;187
2002-09-10;237
2002-09-11;242
2002-09-12;222
2002-09-13;201
2002-09-14;184
2002-09-15;174
2002-09-16;168
2002-09-17;162
2002-09-18;156
2002-09-19;153
2002-09-20;150
2002-09-21;144
2002-09-22;136
2002-09-23;131
2002-09-24;131
2002-09-25;122
2002-09-26;42
2002-09-27;40
2002-09-28;110
2002-09-29;109
2002-09-30;109
2002-10-01;101
2002-10-02;102
2002-10-03;101
2002-10-04;98
2002-10-05;91
2002-10-06;87
2002-10-07;77
2002-10-08;68
2002-10-09;65
2002-10-10;64
2002-10-11;64
2002-10-12;57
2002-10-13;62
2002-10-14;69
2002-10-15;68
2002-10-16;66
2002-10-17;65
2002-10-18;64
2002-10-19;60
2002-10-20;59
2002-10-21;64
2002-10-22;65
2002-10-23;66
2002-10-24;52
2002-10-25;55
2002-10-26;52
2002-10-27;59
2002-10-28;50
2002-10-29;49
2002-10-30;53
2002-10-31;52
2002-11-01;36
2002-11-02;10
2002-11-03;-10
2002-11-04;-40
2002-11-05;-50
2002-11-06;-41
2002-11-07;-34
2002-11-08;-26
2002-11-09;-33
2002-11-10;-50
2002-11-11;-48
2002-11-12;-61
2002-11-13;-57
2002-11-14;-57
2002-11-15;-70
2002-11-16;-84
2002-11-17;-81
2002-11-18;-70
2002-11-19;-61
2002-11-20;-64
2003-03-16;35
2003-03-17;31
2003-03-18;34
2003-03-19;37
