Timestamp;Value
2001-01-11;477
2001-02-11;476
2001-03-11;453
2001-04-11;454
2001-05-11;451
2001-06-11;442
2001-07-11;430
2001-08-11;426
2001-10-11;412
2001-10-20;543
2001-10-21;536
2001-10-22;523
2001-10-23;528
2001-10-24;525
2001-10-25;522
2001-10-26;521
2001-10-27;521
2001-10-28;515
2001-10-29;501
2001-10-30;497
2001-10-31;475
2001-11-01;477
2001-11-02;476
2001-11-03;453
2001-11-04;454
2001-11-05;451
2001-11-06;442
2001-11-07;430
2001-11-08;426
2001-11-09;412
2001-11-10;412
2001-11-11;395
2001-11-12;367
2001-11-13;354
2001-11-14;350
2001-11-15;343
2001-11-16;331
2001-11-17;319
2001-11-18;301
2001-11-19;293
2001-11-20;293
2001-11-21;295
2001-12-11;367
2002-03-16;361
2002-03-17;363
2002-03-18;366
2002-03-19;367
2002-03-20;368
2002-03-21;373
2002-03-22;379
2002-03-23;385
2002-03-24;391
2002-03-25;394
2002-03-26;390
2002-03-27;386
2002-03-28;381
2002-03-29;379
2002-03-30;378
2002-03-31;380
2002-04-01;383
2002-04-02;388
2002-04-03;392
2002-04-04;393
2002-04-05;398
2002-04-06;407
2002-04-07;406
2002-04-08;409
2002-04-09;419
2002-04-10;448
2002-04-11;463
2002-04-12;471
2002-04-13;472
2002-04-14;476
2002-04-15;485
2002-04-16;490
2002-04-17;502
2002-04-18;505
2002-04-19;568
2002-04-20;613
2002-04-21;538
2002-04-22;450
2002-04-23;458
2002-04-24;452
2002-04-25;451
2002-04-26;450
2002-04-27;489
2002-04-28;508
2002-04-29;512
2002-04-30;535
2002-05-01;531
2002-05-02;562
2002-05-03;608
2002-05-04;611
2002-05-05;595
2002-05-06;590
2002-05-07;616
2002-05-08;711
2002-05-09;746
2002-05-10;749
2002-05-11;737
2002-05-12;726
2002-05-13;734
2002-05-14;764
2002-05-15;818
2002-05-16;856
2002-05-17;857
2002-05-18;892
2002-05-19;931
2002-05-20;931
2002-05-21;922
2002-05-22;907
2002-05-23;878
2002-05-24;860
2002-05-25;823
2002-05-26;791
2002-05-27;768
2002-05-28;755
2002-05-29;793
2002-05-30;849
2002-05-31;854
2002-06-01;844
2002-06-02;836
2002-06-03;884
2002-06-04;912
2002-06-05;897
2002-06-06;874
2002-06-07;850
2002-06-08;840
2002-06-09;770
2002-06-10;736
2002-06-11;705
2002-06-12;681
2002-06-13;663
2002-06-14;648
2002-06-15;634
2002-06-16;623
2002-06-17;611
2002-06-18;601
2002-06-19;596
