Timestamp;Value
2001-01-11;12
2001-02-11;8
2001-03-11;11
2001-05-11;7
2001-06-11;11
2001-07-11;8
2001-08-11;-1
2001-10-11;-5
2001-10-20;37
2001-10-21;38
2001-10-22;36
2001-10-23;35
2001-10-24;34
2001-10-25;34
2001-10-26;33
2001-10-27;28
2001-10-30;10
2001-10-31;15
2001-11-01;12
2001-11-02;8
2001-11-03;11
2001-11-04;7
2001-11-05;7
2001-11-06;11
2001-11-07;8
2001-11-08;-1
2001-11-09;-5
2001-11-10;-5
2001-11-11;-21
2001-11-12;-43
2001-11-13;-76
2001-11-14;-90
2001-11-15;-101
2001-11-16;-113
2001-11-17;-122
2001-11-18;-125
2001-11-19;-124
2001-11-20;-119
2001-11-21;-108
2001-12-11;-43
2002-03-11;-9
2002-03-12;-4
2002-03-13;0
2002-03-14;2
2002-03-15;3
2002-03-16;2
2002-03-17;3
2002-03-18;6
2002-03-19;12
2002-03-20;18
2002-03-21;21
2002-03-22;19
2002-03-23;12
2002-03-24;6
2002-03-25;1
2002-03-26;-4
2002-03-27;-8
2002-03-28;-10
2002-03-29;-8
2002-03-30;-6
2002-03-31;-4
2002-04-01;-4
2002-04-02;-7
2002-04-03;-10
2002-04-04;-7
2002-04-05;-1
2002-04-06;6
2002-04-07;22
2002-04-08;27
2002-04-09;24
2002-04-10;20
2002-04-11;18
2002-04-12;18
2002-04-13;19
2002-04-14;16
2002-04-15;12
2002-04-16;12
2002-04-17;4
2002-04-18;18
2002-04-19;47
2002-04-20;29
2002-04-21;35
2002-04-22;5
2002-04-23;6
2002-04-24;0
2002-04-25;-18
2002-04-26;-15
2002-04-27;2
2002-04-28;14
2002-04-29;17
2002-04-30;41
2002-05-01;61
2002-05-02;57
2002-05-03;43
2002-05-04;44
2002-05-05;49
2002-05-06;135
2002-05-07;179
2002-05-08;174
2002-05-09;160
2002-05-10;146
2002-05-11;136
2002-05-12;138
2002-05-13;168
2002-05-14;208
2002-05-15;232
2002-05-16;246
2002-05-17;259
2002-05-18;268
2002-05-19;273
2002-05-20;275
2002-05-21;260
2002-05-22;242
2002-05-23;220
2002-05-24;202
2002-05-25;183
2002-05-26;168
2002-05-27;188
2002-05-28;247
2002-05-29;263
2002-05-30;253
2002-05-31;244
2002-06-01;222
2002-06-02;200
2002-06-03;184
2002-06-04;178
2002-06-05;195
2002-06-06;205
2002-06-07;194
2002-06-08;170
2002-06-09;151
2002-06-10;131
2002-06-11;118
2002-06-12;110
2002-06-13;99
2002-06-14;94
2002-06-15;89
2002-06-16;85
2002-06-17;78
2002-06-18;72
2002-06-19;72
2002-06-20;75
2002-06-21;81
2002-06-22;74
2002-06-23;63
2002-06-24;54
2002-06-25;60
2002-06-26;68
2002-06-27;71
2002-06-28;70
2002-06-29;67
2002-06-30;66
2002-07-01;62
2002-07-02;58
2002-07-03;55
2002-07-04;48
2002-07-05;34
2002-07-06;33
2002-07-07;38
2002-07-08;49
2002-07-09;59
2002-07-10;65
2002-07-11;79
2002-07-12;88
2002-07-16;85
2002-07-17;106
2002-07-18;128
2002-07-19;135
2002-07-23;108
2002-07-24;97
2002-07-25;82
2002-07-26;77
2002-07-29;72
2002-07-30;77
2002-07-31;74
2002-08-01;85
2002-08-02;105
2002-08-03;110
2002-08-04;101
2002-08-05;96
2002-08-06;96
2002-08-07;94
2002-08-08;95
2002-08-09;103
2002-08-10;120
2002-08-11;142
2002-08-12;155
2002-08-13;151
2002-08-14;146
2002-08-15;128
2002-08-16;108
2002-08-17;85
2002-08-18;73
2002-08-19;65
2002-08-20;62
2002-08-21;60
2002-08-22;59
2002-08-23;52
2002-08-24;50
2002-08-25;43
2002-08-26;39
2002-08-27;38
2002-08-28;36
2002-08-29;36
2002-08-30;36
2002-08-31;33
2002-09-01;34
2002-09-02;39
2002-09-03;44
2002-09-04;48
2002-09-05;50
2002-09-06;49
2002-09-07;46
2002-09-08;50
2002-09-09;69
2002-09-10;113
2002-09-11;136
2002-09-12;130
2002-09-13;113
2002-09-14;96
2002-09-15;86
2002-09-16;79
2002-09-17;75
2002-09-18;72
2002-09-19;68
2002-09-20;61
2002-09-21;64
2002-09-22;57
2002-09-23;53
2002-09-24;50
2002-09-25;47
2002-09-26;42
2002-09-27;40
2002-09-28;38
2002-09-29;35
2002-09-30;36
2002-10-01;35
2002-10-02;32
2002-10-03;32
2002-10-04;31
2002-10-05;27
2002-10-06;21
2002-10-07;19
2002-10-08;15
2002-10-09;9
2002-10-10;7
2002-10-11;7
2002-10-12;3
2002-10-13;5
2002-10-14;8
2002-10-15;10
2002-10-16;10
2002-10-17;8
2002-10-18;8
2002-10-19;7
2002-10-20;3
2002-10-21;5
2002-10-22;7
2002-10-23;7
2002-10-24;-1
2002-10-25;-3
2002-10-26;-1
2002-10-27;1
2002-10-28;3
2002-10-29;6
2002-10-30;2
2002-10-31;-2
2002-11-01;-6
2002-11-02;-20
2002-11-03;-46
2002-11-04;-57
2002-11-05;-74
2002-11-06;-69
2002-11-07;-94
2002-11-08;-83
2002-11-09;-102
2002-11-10;-107
2002-11-11;-122
2002-11-12;-162
2002-11-13;-172
2002-11-14;-176
2002-11-15;-179
2002-11-16;-182
2002-11-17;-185
2002-11-18;-183
2002-11-19;-178
2002-11-20;-173
2003-03-16;-6
2003-03-17;-7
2003-03-18;-6
2003-03-19;0
2003-03-20;6
2003-03-21;9
2003-03-22;7
2003-03-23;0
2003-03-24;-7
