Timestamp;Value
2001-01-11;-246
2001-02-11;-250
2001-03-11;-256
2001-04-11;-256
2001-05-11;-272
2001-08-12;-323
2001-09-12;-311
2001-10-11;-221
2001-10-12;-318
2001-10-20;-198
2001-10-21;-204
2001-10-22;-210
2001-10-23;-216
2001-10-24;-224
2001-10-25;-229
2001-10-26;-232
2001-10-27;-237
2001-10-28;-238
2001-10-29;-238
2001-10-30;-243
2001-10-31;-240
2001-11-01;-246
2001-11-02;-250
2001-11-03;-256
2001-11-04;-256
2001-11-05;-272
2001-11-10;-221
2001-11-13;-229
2001-11-14;-243
2001-11-15;-260
2001-11-18;-295
2001-11-19;-297
2001-11-20;-310
2001-12-08;-323
2001-12-09;-311
2001-12-10;-318
2001-12-15;-344
2001-12-18;-336
2001-12-19;-337
2001-12-20;-342
2001-12-21;-346
2001-12-22;-346
2001-12-23;-348
2001-12-24;-348
2001-12-25;-346
2002-01-01;-321
2002-01-02;-321
2002-01-03;-325
2002-01-04;-323
2002-01-05;-317
2002-01-06;-312
2002-01-07;-314
2002-01-08;-319
2002-01-09;-328
2002-01-10;-331
2002-01-11;-333
2002-01-12;-333
2002-01-13;-332
2002-01-14;-329
2002-01-15;-327
2002-01-16;-329
2002-01-17;-330
2002-01-18;-330
2002-01-19;-330
2002-01-20;-330
2002-01-21;-334
2002-01-22;-337
2002-01-23;-342
2002-01-24;-343
2002-01-25;-339
2002-01-26;-343
2002-01-27;-345
2002-01-28;-348
2002-01-29;-353
2002-01-30;-353
2002-01-31;-351
2002-02-01;-353
2002-02-02;-353
2002-02-03;-352
2002-02-04;-351
2002-02-05;-354
2002-02-06;-355
2002-02-07;-356
2002-02-08;-356
2002-02-09;-356
2002-02-10;-358
2002-02-11;-361
2002-02-12;-349
2002-02-13;-338
2002-02-14;-334
2002-02-15;-341
2002-02-16;-351
2002-02-17;-356
2002-02-18;-356
2002-02-19;-358
2002-02-20;-362
2002-02-21;-364
2002-02-22;-361
2002-02-23;-361
2002-02-24;-358
2002-02-25;-358
2002-02-26;-358
2002-02-27;-358
2002-02-28;-351
2002-03-01;-348
2002-03-02;-345
2002-03-03;-346
2002-03-04;-353
2002-03-05;-356
2002-03-06;-358
2002-03-07;-355
2002-03-08;-354
2002-03-09;-353
2002-03-10;-353
2002-03-11;-353
2002-03-12;-351
2002-03-13;-348
2002-03-14;-349
2002-03-15;-349
2002-03-16;-349
2002-03-17;-349
2002-03-18;-349
2002-03-19;-352
2002-03-20;-352
2002-03-21;-353
2002-03-22;-355
2002-03-23;-355
2002-03-24;-359
2002-03-25;-359
2002-03-26;-361
2002-03-27;-358
2002-03-28;-357
2002-03-29;-356
2002-03-30;-353
2002-03-31;-353
2002-04-01;-353
2002-04-02;-348
2002-04-03;-341
2002-04-04;-338
2002-04-05;-338
2002-04-06;-344
2002-04-07;-348
2002-04-08;-346
2002-04-09;-343
2002-04-10;-334
2002-04-11;-326
2002-04-12;-318
2002-04-13;-309
2002-04-14;-305
2002-04-15;-299
2002-04-16;-292
2002-04-17;-287
2002-04-18;-284
2002-04-19;-274
2002-04-20;-248
2002-04-21;-221
2002-04-22;-196
2002-04-23;-176
2002-04-24;-140
2002-04-25;-92
2002-04-26;-61
2002-04-27;-23
2002-04-28;22
2002-04-29;50
2002-04-30;89
2002-05-01;125
2002-05-02;153
2002-05-03;171
2002-05-04;164
2002-05-05;148
2002-05-06;130
2002-05-07;114
2002-05-08;92
2002-05-09;74
2002-05-10;60
2002-05-11;49
2002-05-12;39
2002-05-13;31
2002-05-14;22
2002-05-15;16
2002-05-16;11
2002-05-17;7
2002-05-18;7
2002-05-19;7
2002-05-20;6
2002-05-21;5
2002-05-22;4
2002-05-23;2
2002-05-24;-2
2002-05-25;-2
2002-05-26;-3
2002-05-27;-1
2002-05-28;0
2002-05-29;8
2002-05-30;8
2002-05-31;9
2002-06-01;9
2002-06-02;6
2002-06-03;5
2002-06-04;1
2002-06-05;-3
2002-06-06;-6
2002-06-07;-11
2002-06-08;-13
2002-06-09;-13
2002-06-10;-13
2002-06-11;-2
2002-06-12;1
2002-06-13;5
2002-06-14;9
2002-06-15;12
2002-06-16;16
2002-06-17;14
2002-06-18;14
2002-06-19;12
2002-06-20;2
2002-06-21;-9
2002-06-22;-20
2002-06-23;-35
2002-06-24;-47
2002-06-25;-58
2002-06-26;-63
2002-06-27;-71
2002-06-28;-79
2002-06-29;-92
2002-06-30;-95
2002-07-01;-100
2002-07-02;-108
2002-07-03;-109
2002-07-04;-109
2002-07-05;-112
2002-07-06;-112
2002-07-07;-113
2002-07-08;-113
2002-07-09;-113
2002-07-10;-106
2002-07-11;-99
2002-07-12;-99
2002-07-16;-91
2002-07-17;-85
2002-07-18;-80
2002-07-19;-72
2002-07-23;-72
2002-07-24;-70
2002-07-25;-70
2002-07-26;-68
2002-07-29;-60
2002-07-30;-56
2002-07-31;-55
2002-08-01;-53
2002-08-02;-53
2002-08-03;-52
2002-08-04;-50
2002-08-05;-47
2002-08-06;-43
2002-08-07;-39
2002-08-08;-35
2002-08-09;-30
2002-08-10;-24
2002-08-11;-17
2002-08-12;-13
2002-08-13;-6
2002-08-14;-2
2002-08-15;6
2002-08-16;14
2002-08-17;24
2002-08-18;37
2002-08-19;43
2002-08-20;55
2002-08-21;68
2002-08-22;78
2002-08-23;86
2002-08-24;92
2002-08-25;99
2002-08-26;105
2002-08-27;105
2002-08-28;108
2002-08-29;105
2002-08-30;103
2002-08-31;94
2002-09-01;89
2002-09-02;87
2002-09-03;78
2002-09-04;78
2002-09-05;76
2002-09-06;71
2002-09-07;68
2002-09-08;64
2002-09-09;60
2002-09-10;55
2002-09-11;49
2002-09-12;41
2002-09-13;39
2002-09-14;34
2002-09-15;28
2002-09-16;24
2002-09-17;19
2002-09-18;18
2002-09-19;17
2002-09-20;10
2002-09-21;8
2002-09-22;8
2002-09-23;11
2002-09-24;6
2002-09-25;5
2002-09-26;-8
2002-09-27;-19
2002-09-28;-30
2002-09-29;-45
2002-09-30;-59
2002-10-01;-73
2002-10-02;-91
2002-10-03;-102
2002-10-04;-108
2002-10-05;-116
2002-10-06;-126
2002-10-07;137
2002-10-08;-145
2002-10-09;-143
2002-10-10;-144
2002-10-11;-146
2002-10-12;-144
2002-10-13;-138
2002-10-14;-136
2002-10-15;-133
2002-10-16;-125
2002-10-17;-117
2002-10-18;-112
2002-10-19;-108
2002-10-20;-106
2002-10-21;-104
2002-10-22;-104
2002-10-23;-106
2002-10-24;-108
2002-10-25;-111
2002-10-26;-114
2002-10-27;-115
2002-10-28;-120
2002-10-29;-124
2002-10-30;-135
2002-10-31;-148
2002-11-01;-156
2002-11-02;-160
2002-11-03;-150
2002-11-04;-150
2002-11-05;-165
2002-11-06;-185
2002-11-07;-219
2002-11-08;-235
2002-11-09;-197
2002-11-10;-189
2002-11-11;-184
2002-11-12;-186
2002-11-13;-172
2002-11-14;-175
2002-11-15;-182
2002-11-16;-203
2002-11-17;-219
2002-11-18;-234
2002-11-19;-249
2002-11-20;-265
2002-11-21;-277
2002-11-22;-284
2002-11-23;-290
2002-11-24;-297
2002-11-25;-289
2002-11-26;-299
2002-11-27;-302
2002-11-28;-302
2002-11-29;-302
2002-11-30;-302
2002-12-01;-299
2002-12-02;-296
2002-12-03;-288
2002-12-04;-281
2002-12-05;-278
2002-12-06;-275
2002-12-07;-269
2002-12-08;-255
2002-12-09;-257
2002-12-10;-264
2002-12-11;-269
2002-12-12;-273
2002-12-13;-273
2002-12-14;-275
2002-12-15;-280
2002-12-16;-283
2002-12-17;-283
2002-12-18;-283
2002-12-19;-283
2002-12-20;-283
2002-12-21;-283
2002-12-22;-283
2002-12-23;-283
2002-12-24;-283
2002-12-25;-285
2002-12-26;-289
2002-12-27;-291
2002-12-28;-294
2002-12-29;-295
2002-12-30;-299
2002-12-31;-303
2003-01-01;-306
2003-01-02;-303
2003-01-03;-304
2003-01-04;-308
2003-01-05;-309
2003-01-06;-309
2003-01-07;-315
2003-01-08;-318
2003-01-09;-317
2003-01-10;-316
2003-01-11;-319
2003-01-12;-322
2003-01-13;-322
2003-01-14;-319
2003-01-15;-321
2003-01-16;-328
2003-01-17;-330
2003-01-18;-330
2003-01-19;-330
2003-01-20;-330
2003-01-21;-330
2003-01-22;-334
2003-01-23;-334
2003-01-24;-329
2003-01-25;-329
2003-01-26;-334
2003-01-27;-342
2003-01-28;-345
2003-01-29;-348
2003-01-30;-351
2003-01-31;-354
2003-02-01;-348
2003-02-02;-351
2003-02-03;-351
2003-02-04;-352
2003-02-05;-352
2003-02-06;-352
2003-02-07;-352
2003-02-08;-352
2003-02-09;-349
2003-02-10;-351
2003-02-11;-352
2003-02-12;-358
2003-02-13;-360
2003-02-14;-347
2003-02-15;-346
2003-02-16;-346
2003-02-17;-344
2003-02-18;-348
2003-02-19;-351
2003-02-20;-353
2003-02-21;-358
2003-02-22;-358
2003-02-23;-358
2003-02-24;-357
2003-02-25;-355
2003-02-26;-356
2003-02-27;-357
2003-02-28;-357
2003-03-01;-355
2003-03-02;-355
2003-03-03;-348
2003-03-04;-343
2003-03-05;-347
2003-03-06;-350
2003-03-07;-350
2003-03-08;-350
2003-03-09;-354
2003-03-10;-359
2003-03-11;-360
2003-03-12;-366
2003-03-13;-368
2003-03-14;-368
2003-03-15;-368
2003-03-16;-359
2003-03-17;-356
2003-03-18;-356
2003-03-19;-358
2003-03-20;-359
2003-03-21;-361
2003-03-22;-363
2003-03-23;-364
2003-03-24;-364
2003-03-25;-358
2003-03-26;-355
2003-03-27;-355
2003-03-28;-353
2003-03-29;-356
2003-03-30;-358
2003-03-31;-360
2003-04-01;-364
2003-04-02;-366
2003-04-03;-361
2003-04-04;-358
2003-04-05;-355
2003-04-06;-353
2003-04-07;-346
2003-04-08;-342
2003-04-09;-339
2003-04-10;-330
2003-04-11;-322
2003-04-12;-315
2003-04-13;-307
2003-04-14;-299
2003-04-15;-289
2003-04-16;-278
2003-04-17;-265
2003-04-18;-257
2003-04-19;-238
2003-04-20;-222
2003-04-21;-204
2003-04-22;-172
2003-04-23;-126
2003-04-24;-56
2003-04-25;24
2003-04-26;50
2003-04-27;108
2003-04-28;132
2003-04-29;130
2003-04-30;136
2003-05-01;102
2003-05-02;69
2003-05-03;39
2003-05-04;19
2003-05-05;-16
2003-05-06;-50
2003-05-07;-80
