Timestamp;Value
2008-01-01;-171
2008-01-02;-165
2008-01-03;-161
2008-01-04;-161
2008-01-05;-155
2008-01-06;-157
2008-01-07;-160
2008-01-08;-161
2008-01-09;-163
2008-01-10;-162
2008-01-11;-158
2008-01-12;-147
2008-01-13;-140
2008-01-14;-143
2008-01-15;-155
2008-01-16;-159
2008-01-17;-163
2008-01-18;-167
2008-01-19;-170
2008-01-20;-173
2008-01-21;-173
2008-01-22;-170
2008-01-23;-164
2008-01-24;-162
2008-01-25;-160
2008-01-26;-160
2008-01-27;-163
2008-01-28;-165
2008-01-29;-168
2008-01-30;-167
2008-01-31;-164
2008-02-01;-163
2008-02-02;-161
2008-02-03;-157
2008-02-04;-156
2008-02-05;-143
2008-02-06;-141
2008-02-07;-141
2008-02-08;-146
2008-02-09;-146
2008-02-10;-147
2008-02-11;-156
2008-02-12;-159
2008-02-13;-160
2008-02-14;-160
2008-02-15;-163
2008-02-16;-164
2008-02-17;-164
2008-02-18;-166
2008-02-19;-166
2008-02-20;-150
2008-02-21;-151
2008-02-22;-154
2008-02-23;-155
2008-02-24;-157
2008-02-25;-160
2008-02-26;-159
2008-02-27;-157
2008-02-28;-160
2008-02-29;-161
2008-03-01;-153
2008-03-02;-129
2008-03-03;-136
2008-03-04;-144
2008-03-05;-152
2008-03-06;-152
2008-03-07;-151
2008-03-08;-149
2008-03-09;-147
2008-03-10;-145
2008-03-11;-154
2008-03-12;-156
2008-03-13;-163
2008-03-14;-151
2008-03-15;-137
2008-03-16;-142
2008-03-17;-147
2008-03-18;-149
2008-03-19;-150
2008-03-20;-152
2008-03-21;-158
2008-03-22;-160
2008-03-23;-163
2008-03-24;-163
2008-03-25;-166
2008-03-26;-162
2008-03-27;-160
2008-03-28;-162
2008-03-29;-164
2008-03-30;-159
2008-03-31;-158
2008-04-01;-149
2008-04-02;-145
2008-04-03;-146
2008-04-04;-144
2008-04-05;-147
2008-04-06;-152
2008-04-07;-153
2008-04-08;-147
2008-04-09;-142
2008-04-10;-130
2008-04-11;-135
2008-04-12;-132
2008-04-13;-125
2008-04-14;-110
2008-04-15;-91
2008-04-16;-84
2008-04-17;-77
2008-04-18;-72
2008-04-19;-58
2008-04-20;-38
2008-04-21;-23
2008-04-22;-13
2008-04-23;-6
2008-04-24;0
2008-04-25;4
2008-04-26;9
2008-04-27;14
2008-04-28;17
2008-04-29;24
2008-04-30;38
2008-05-01;63
2008-05-02;70
2008-05-03;51
2008-05-04;36
2008-05-05;23
2008-05-06;21
2008-05-07;27
2008-05-08;32
2008-05-09;30
2008-05-10;29
2008-05-11;23
2008-05-12;19
2008-05-13;10
2008-05-14;11
2008-05-15;10
2008-05-16;5
2008-05-17;3
2008-05-18;5
2008-05-19;2
2008-05-20;8
2008-05-21;1
2008-05-22;-4
2008-05-23;-8
2008-05-24;2
2008-05-25;4
2008-05-26;-5
2008-05-27;-9
2008-05-28;-17
2008-05-29;-27
2008-05-30;-30
2008-05-31;-38
2008-06-01;-43
2008-06-02;-48
2008-06-03;-44
2008-06-04;-41
2008-06-05;-37
2008-06-06;-32
2008-06-07;-27
2008-06-08;-24
2008-06-09;-22
2008-06-10;-17
2008-06-11;-25
2008-06-12;-21
2008-06-13;-30
2008-06-14;-38
2008-06-15;-42
2008-06-16;-40
2008-06-17;-38
2008-06-18;-29
2008-06-19;-21
2008-06-20;-25
2008-06-21;-31
2008-06-22;-34
2008-06-23;-37
2008-06-24;-43
2008-06-25;-42
2008-06-26;-61
2008-06-27;-70
2008-06-28;-83
2008-06-29;-96
2008-06-30;-101
2008-07-01;-94
2008-07-02;-84
2008-07-03;-74
2008-07-04;-72
2008-07-05;-75
2008-07-06;-75
2008-07-07;-77
2008-07-08;-90
2008-07-09;-100
2008-07-10;-114
2008-07-11;-114
2008-07-12;-125
2008-07-13;-129
2008-07-14;-126
2008-07-15;-123
2008-07-16;-118
2008-07-17;-117
2008-07-18;-118
2008-07-19;-113
2008-07-20;-110
2008-07-21;-115
2008-07-22;-110
2008-07-23;-107
2008-07-24;-103
2008-07-25;-103
2008-07-26;-102
2008-07-27;-94
2008-07-28;-77
2008-07-29;-63
2008-07-30;-52
2008-07-31;-39
2008-08-01;-36
2008-08-02;-29
2008-08-03;-21
2008-08-04;-22
2008-08-05;-23
2008-08-06;-22
2008-08-07;-22
2008-08-08;-23
2008-08-09;-28
2008-08-10;-29
2008-08-11;-28
2008-08-12;-12
2008-08-13;-8
2008-08-14;-3
2008-08-15;1
2008-08-16;4
2008-08-17;8
2008-08-18;-4
2008-08-19;-9
2008-08-20;-11
2008-08-21;-12
2008-08-22;-13
2008-08-23;-15
2008-08-24;-17
2008-08-25;-19
2008-08-26;-19
2008-08-27;-20
2008-08-28;-24
2008-08-29;-30
2008-08-30;-33
2008-08-31;-35
2008-09-01;-37
2008-09-02;-38
2008-09-03;-44
2008-09-04;-56
2008-09-05;-64
2008-09-06;-81
2008-09-07;-82
2008-09-08;-84
2008-09-09;-89
2008-09-10;-94
2008-09-11;-96
2008-09-12;-85
2008-09-13;-82
2008-09-14;-85
2008-09-15;-66
2008-09-16;-70
2008-09-17;-70
2008-09-18;-67
2008-09-19;-68
2008-09-20;-66
2008-09-21;-63
2008-09-22;-60
2008-09-23;-53
2008-09-24;-45
2008-09-25;-38
2008-09-26;-32
2008-09-27;-28
2008-09-28;-22
2008-09-29;-21
2008-09-30;-18
2008-10-01;-16
2008-10-02;-15
2008-10-03;-14
2008-10-04;-3
2008-10-05;1
2008-10-06;1
2008-10-07;0
2008-10-08;-3
2008-10-09;-3
2008-10-10;-2
2008-10-11;1
2008-10-12;-1
2008-10-13;-5
2008-10-14;-8
2008-10-15;-15
2008-10-16;-24
2008-10-17;-35
2008-10-18;-38
2008-10-19;-47
2008-10-20;-51
2008-10-21;-55
2008-10-22;-58
2008-10-23;-65
2008-10-24;-75
2008-10-25;-77
2008-10-26;-71
2008-10-27;-61
2008-10-28;-54
2008-10-29;-47
2008-10-30;-43
2008-10-31;-43
2008-11-01;-56
2008-11-02;-60
2008-11-03;-60
2008-11-04;-61
2008-11-05;-58
2008-11-06;-61
2008-11-07;-61
2008-11-08;-62
2008-11-09;-78
2008-11-10;-98
2008-11-11;-111
2008-11-12;-106
2008-11-13;-88
2008-11-14;-87
2008-11-15;-85
2008-11-16;-84
2008-11-17;-84
2008-11-18;-87
2008-11-19;-88
2008-11-20;-89
2008-11-21;-94
2008-11-22;-97
2008-11-23;-99
2008-11-24;-98
2008-11-25;-102
2008-11-26;-115
2008-11-27;-136
2008-11-28;-150
2008-11-29;-143
2008-11-30;-136
2008-12-01;-124
2008-12-02;-120
2008-12-03;-108
