Timestamp;Value
2008-01-01;-176
2008-01-02;-177
2008-01-03;-176
2008-01-04;-176
2008-01-05;-175
2008-01-06;-175
2008-01-07;-176
2008-01-08;-177
2008-01-09;-178
2008-01-10;-178
2008-01-11;-177
2008-01-12;-177
2008-01-13;-178
2008-01-14;-178
2008-01-15;-178
2008-01-16;-180
2008-01-17;-182
2008-01-18;-183
2008-01-19;-184
2008-01-20;-184
2008-01-21;-182
2008-01-22;-182
2008-01-23;-181
2008-01-24;-180
2008-01-25;-180
2008-01-26;-180
2008-01-27;-180
2008-01-28;-180
2008-01-29;-180
2008-01-30;-180
2008-01-31;-180
2008-02-01;-180
2008-02-02;-180
2008-02-03;-180
2008-02-04;-180
2008-02-05;-180
2008-02-06;-181
2008-02-07;-181
2008-02-08;-180
2008-02-09;-185
2008-02-10;-187
2008-02-11;-193
2008-02-12;-200
2008-02-13;-204
2008-02-14;-208
2008-02-15;-211
2008-02-16;-208
2008-02-17;-211
2008-02-18;-221
2008-02-19;-232
2008-02-20;-233
2008-02-21;-235
2008-02-22;-235
2008-02-23;-235
2008-02-24;-235
2008-02-25;-235
2008-02-26;-235
2008-02-27;-234
2008-02-28;-232
2008-02-29;-232
2008-03-01;-232
2008-03-02;-232
2008-03-03;-231
2008-03-04;-227
2008-03-05;-227
2008-03-06;-228
2008-03-07;-230
2008-03-08;-230
2008-03-09;-229
2008-03-10;-229
2008-03-11;-231
2008-03-12;-234
2008-03-13;-236
2008-03-14;-236
2008-03-15;-236
2008-03-16;-235
2008-03-17;-233
2008-03-18;-232
2008-03-19;-230
2008-03-20;-228
2008-03-21;-226
2008-03-22;-226
2008-03-23;-224
2008-03-24;-224
2008-03-25;-223
2008-03-26;-222
2008-03-27;-222
2008-03-28;-221
2008-03-29;-216
2008-03-30;-213
2008-03-31;-209
2008-04-01;-204
2008-04-02;-198
2008-04-03;-193
2008-04-04;-187
2008-04-05;-180
2008-04-06;-171
2008-04-07;-164
2008-04-08;-154
2008-04-09;-141
2008-04-10;-129
2008-04-11;-115
2008-04-12;-100
2008-04-13;-74
2008-04-14;-40
2008-04-15;-2
2008-04-16;45
