Timestamp;Value
2014-07-01;164
2014-07-02;159
2014-07-03;155
2014-07-04;149
2014-07-05;186
2014-07-06;199
2014-07-07;190
2014-07-08;175
2014-07-09;174
2014-07-10;207
2014-07-11;253
2014-07-12;243
2014-07-13;248
2014-07-14;243
2014-07-15;236
2014-07-16;223
2014-07-17;202
2014-07-18;190
2014-07-19;184
2014-07-20;181
2014-07-21;184
2014-07-22;183
2014-07-23;179
2014-07-24;179
2014-07-25;177
2014-07-26;180
2014-07-27;181
2014-07-28;171
2014-07-29;167
2014-07-30;162
2014-07-31;159
2014-08-01;161
2014-08-02;161
2014-08-03;163
2014-08-04;166
2014-08-05;165
2014-08-06;167
2014-08-07;164
2014-08-08;157
2014-08-09;156
2014-08-10;160
2014-08-11;161
2014-08-12;156
2014-08-13;166
2014-08-14;180
2014-08-15;176
2014-08-16;165
2014-08-17;176
2014-08-18;176
2014-08-19;166
2014-08-20;156
2014-08-21;147
2014-08-22;142
2014-08-23;138
2014-08-24;134
2014-08-25;137
2014-08-26;149
2014-08-27;158
2014-08-28;166
2014-08-29;167
2014-08-30;179
2014-08-31;206
2014-09-01;221
2014-09-02;216
2014-09-03;184
2014-09-04;166
2014-09-05;153
2014-09-06;148
2014-09-07;146
2014-09-08;143
2014-09-09;141
2014-09-10;144
2014-09-11;148
2014-09-12;151
2014-09-13;152
2014-09-14;152
2014-09-15;176
2014-09-16;232
2014-09-17;246
2014-09-18;242
2014-09-19;227
2014-09-20;232
2014-09-21;230
2014-09-22;219
2014-09-23;209
2014-09-24;203
2014-09-25;195
2014-09-26;188
2014-09-27;181
2014-09-28;174
2014-09-29;170
2014-09-30;163
2014-10-01;153
2014-10-02;144
2014-10-03;139
2014-10-04;134
2014-10-05;130
2014-10-06;122
2014-10-07;116
2014-10-08;113
2014-10-09;108
2014-10-10;100
2014-10-11;96
2014-10-12;95
2014-10-13;93
2014-10-14;90
2014-10-15;88
2014-10-16;84
2014-10-17;80
2014-10-18;77
2014-10-19;75
2014-10-20;70
2014-10-21;52
2014-10-22;33
2014-10-23;32
2014-10-24;36
2014-10-25;33
2014-10-26;31
2014-10-27;29
2014-10-28;25
2014-10-29;18
2014-10-30;12
2014-10-31;4
2014-11-01;-9
2014-11-02;-22
2014-11-03;-42
2014-11-04;-61
2014-11-05;-86
2014-11-06;-78
2014-11-07;-72
2014-11-08;-81
2014-11-09;-58
2014-11-10;-39
2014-11-11;-29
2014-11-12;-21
2014-11-13;-22
2014-11-14;-29
2014-11-15;-62
2014-11-16;-41
2014-11-17;57
2014-11-18;82
2014-11-19;63
2014-11-20;51
2014-11-21;39
2014-11-22;28
2014-11-23;27
2014-11-24;19
2014-11-25;9
2014-11-26;3
2014-11-27;16
2014-11-28;75
2014-11-29;66
2014-11-30;53
2014-12-01;46
2014-12-02;42
2014-12-03;39
2014-12-04;35
2014-12-05;31
2014-12-06;28
2014-12-07;25
2014-12-08;21
2014-12-09;17
2014-12-10;15
2014-12-11;13
2014-12-12;8
2014-12-13;6
2014-12-14;1
2014-12-15;-2
2014-12-16;-6
2014-12-17;-11
2014-12-18;-15
2014-12-19;-18
2014-12-20;-17
2014-12-21;-22
2014-12-22;-27
2014-12-23;-31
2014-12-24;-30
2014-12-25;-35
2014-12-26;-39
2014-12-27;-41
2014-12-28;-42
2014-12-29;-48
2014-12-30;-51
2014-12-31;-51
2015-01-01;-52
2015-01-02;-53
2015-01-03;-54
2015-01-04;-55
2015-01-05;-56
2015-01-06;-57
2015-01-07;-58
2015-01-08;-59
2015-01-09;-59
2015-01-10;-63
2015-01-11;-63
2015-01-12;-65
2015-01-13;-66
2015-01-14;-66
2015-01-15;-66
2015-01-16;-68
2015-01-17;-68
2015-01-18;-70
2015-01-19;-70
2015-01-20;-72
2015-01-21;-73
2015-01-22;-73
2015-01-23;-75
2015-01-24;-75
2015-01-25;-76
2015-01-26;-76
2015-01-27;-76
2015-01-28;-79
2015-01-29;-82
2015-01-30;-82
2015-01-31;-78
2015-02-01;-78
2015-02-02;-79
2015-02-03;-80
2015-02-04;-80
2015-02-05;-80
2015-02-06;-80
2015-02-07;-78
2015-02-08;-78
2015-02-09;-80
2015-02-10;-80
2015-02-11;-81
2015-02-12;-82
2015-02-13;-80
2015-02-14;-82
2015-02-15;-81
2015-02-16;-82
2015-02-17;-81
2015-02-18;-81
2015-02-19;-84
2015-02-20;-81
2015-02-21;-81
2015-02-22;-82
2015-02-23;-82
2015-02-24;-83
2015-02-25;-80
2015-02-26;-82
2015-02-27;-83
2015-02-28;-85
2015-03-01;-85
2015-03-02;-85
2015-03-03;-85
2015-03-04;-94
2015-03-05;-85
2015-03-06;-84
2015-03-07;-84
2015-03-08;-99
2015-03-09;-85
2015-03-10;-81
2015-03-11;-82
2015-03-12;-81
2015-03-13;-83
2015-03-14;-80
2015-03-15;-86
2015-03-16;-83
2015-03-17;-83
2015-03-18;-82
2015-03-19;-83
2015-03-20;-84
2015-03-21;-84
2015-03-22;-81
2015-03-23;-83
2015-03-24;-81
2015-03-25;-77
2015-03-26;-80
2015-03-27;-81
2015-03-28;-78
2015-03-29;-78
2015-03-30;-80
2015-03-31;-78
2015-04-01;-82
2015-04-02;-83
2015-04-03;-84
2015-04-04;-84
2015-04-05;-84
2015-04-06;-84
2015-04-07;-84
2015-04-08;-84
2015-04-09;-83
2015-04-10;-82
2015-04-11;-80
2015-04-12;-70
2015-04-13;-61
2015-04-14;-51
2015-04-15;-42
2015-04-16;-32
2015-04-17;-23
2015-04-18;-14
2015-04-19;-4
2015-04-20;19
2015-04-21;61
2015-04-22;89
2015-04-23;90
2015-04-24;101
2015-04-25;121
2015-04-26;156
2015-04-27;225
2015-04-28;326
2015-04-29;308
2015-04-30;270
2015-05-01;300
2015-05-02;276
2015-05-03;254
2015-05-04;220
2015-05-05;201
2015-05-06;191
2015-05-07;179
2015-05-08;163
2015-05-09;152
2015-05-10;143
2015-05-11;139
2015-05-12;136
2015-05-13;135
2015-05-14;134
2015-05-15;123
2015-05-16;116
2015-05-17;130
2015-05-18;171
2015-05-19;221
2015-05-20;226
2015-05-21;208
2015-05-22;200
2015-05-23;192
2015-05-24;188
2015-05-25;202
2015-05-26;217
2015-05-27;206
2015-05-28;198
2015-05-29;183
2015-05-30;171
2015-05-31;194
2015-06-01;205
2015-06-02;190
2015-06-03;176
2015-06-04;167
2015-06-05;155
2015-06-06;140
2015-06-07;145
2015-06-08;172
2015-06-09;187
2015-06-10;198
2015-06-11;204
2015-06-12;220
2015-06-13;226
2015-06-14;223
2015-06-15;214
2015-06-16;206
2015-06-17;204
2015-06-18;199
2015-06-19;194
2015-06-20;182
2015-06-21;182
2015-06-22;200
2015-06-23;179
2015-06-24;160
2015-06-25;157
2015-06-26;158
2015-06-27;134
2015-06-28;120
2015-06-29;109
2015-06-30;100
2015-07-01;103
2015-07-02;98
2015-07-03;86
2015-07-04;77
2015-07-05;66
2015-07-06;82
2015-07-07;73
2015-07-08;58
2015-07-09;45
2015-07-10;38
2015-07-11;34
2015-07-12;27
2015-07-13;22
2015-07-14;17
2015-07-15;12
2015-07-16;8
2015-07-17;4
2015-07-18;1
2015-07-19;-5
2015-07-20;-9
2015-07-21;-7
2015-07-22;-8
2015-07-23;-7
2015-07-24;-6
2015-07-25;-8
2015-07-26;-6
2015-07-27;-6
2015-07-28;-6
2015-07-29;1
2015-07-30;8
2015-07-31;21
2015-08-01;36
2015-08-02;93
2015-08-03;94
2015-08-04;84
2015-08-05;72
2015-08-06;75
2015-08-07;104
2015-08-08;114
2015-08-09;138
2015-08-10;173
2015-08-11;196
2015-08-12;197
2015-08-13;179
2015-08-14;169
2015-08-15;157
2015-08-16;153
2015-08-17;178
2015-08-18;177
2015-08-19;180
2015-08-20;212
2015-08-21;247
2015-08-22;239
2015-08-23;230
2015-08-24;220
2015-08-25;216
2015-08-26;226
2015-08-27;231
2015-08-28;236
2015-08-29;219
2015-08-30;203
2015-08-31;190
2015-09-01;182
2015-09-02;176
2015-09-03;171
2015-09-04;169
2015-09-05;167
2015-09-06;161
2015-09-07;156
2015-09-08;150
2015-09-09;145
2015-09-10;140
2015-09-11;141
2015-09-12;138
2015-09-13;132
2015-09-14;127
2015-09-15;123
2015-09-16;121
2015-09-17;120
2015-09-18;119
2015-09-19;114
2015-09-20;111
2015-09-21;106
2015-09-22;102
2015-09-23;98
2015-09-24;95
2015-09-25;92
2015-09-26;89
2015-09-27;87
2015-09-28;88
2015-09-29;88
2015-09-30;84
2015-10-01;80
2015-10-02;78
2015-10-03;78
2015-10-04;78
2015-10-05;76
2015-10-06;74
2015-10-07;71
2015-10-08;72
2015-10-09;73
2015-10-10;75
2015-10-11;81
2015-10-12;77
2015-10-13;75
2015-10-14;72
2015-10-15;70
2015-10-16;69
2015-10-17;67
2015-10-18;64
2015-10-19;61
2015-10-20;56
2015-10-21;52
2015-10-22;50
2015-10-23;50
2015-10-24;45
2015-10-25;42
2015-10-26;43
2015-10-27;42
2015-10-28;41
2015-10-29;34
2015-10-30;24
2015-10-31;19
2015-11-01;15
2015-11-02;6
2015-11-03;-12
2015-11-04;-34
2015-11-05;-25
2015-11-06;1
2015-11-07;-21
2015-11-08;-32
2015-11-09;-41
2015-11-10;-28
2015-11-11;120
2015-11-12;138
2015-11-13;122
2015-11-14;126
2015-11-15;132
2015-11-16;118
2015-11-17;121
2015-11-18;128
2015-11-19;131
2015-11-20;136
2015-11-21;142
2015-11-22;145
2015-11-23;143
2015-11-24;145
2015-11-25;144
2015-11-26;141
2015-11-27;132
2015-11-28;125
2015-11-29;123
2015-11-30;122
2015-12-01;120
2015-12-02;117
2015-12-03;115
2015-12-04;112
2015-12-05;109
2015-12-06;102
2015-12-07;96
2015-12-08;92
2015-12-09;85
2015-12-10;81
2015-12-11;77
2015-12-12;73
2015-12-13;65
2015-12-14;65
2015-12-15;63
2015-12-16;62
2015-12-17;60
2015-12-18;55
2015-12-19;51
2015-12-20;51
2015-12-21;48
2015-12-22;46
2015-12-23;43
2015-12-24;42
2015-12-25;40
2015-12-26;37
2015-12-27;33
2015-12-28;31
2015-12-29;31
2015-12-30;24
2015-12-31;20
2016-01-01;18
2016-01-02;15
2016-01-03;9
2016-01-04;9
2016-01-05;6
2016-01-06;4
2016-01-07;-1
2016-01-08;-4
2016-01-09;-7
2016-01-10;-10
2016-01-11;-11
2016-01-12;-14
2016-01-13;-17
2016-01-14;-21
2016-01-15;-25
2016-01-16;-28
2016-01-17;-28
2016-01-18;-31
2016-01-19;-33
2016-01-20;-33
2016-01-21;-39
2016-01-22;-40
2016-01-23;-43
2016-01-24;-46
2016-01-25;-48
2016-01-26;-48
2016-01-27;-47
2016-01-28;-47
2016-01-29;-49
2016-01-30;-52
2016-01-31;-51
2016-02-01;-51
2016-02-02;-53
2016-02-03;-53
2016-02-04;-59
2016-02-05;-54
2016-02-06;-58
2016-02-07;-58
2016-02-08;-56
2016-02-09;-59
2016-02-10;-59
2016-02-11;-60
2016-02-12;-60
2016-02-13;-59
2016-02-14;-60
2016-02-15;-61
2016-02-16;-61
2016-02-17;-63
2016-02-18;-63
2016-02-19;-63
2016-02-20;-63
2016-02-21;-63
2016-02-22;-60
2016-02-23;-60
2016-02-24;-60
2016-02-25;-64
2016-02-26;-65
2016-02-27;-61
2016-02-28;-60
2016-02-29;-61
2016-03-01;-63
2016-03-02;-64
2016-03-03;-60
2016-03-04;-60
2016-03-05;-64
2016-03-06;-65
2016-03-07;-63
2016-03-08;-59
2016-03-09;-62
2016-03-10;-60
2016-03-11;-63
2016-03-12;-59
2016-03-13;-58
2016-03-14;-59
2016-03-15;-59
2016-03-16;-62
2016-03-17;-62
2016-03-18;-58
2016-03-19;-56
2016-03-20;-60
2016-03-21;-61
2016-03-22;-61
2016-03-23;-58
2016-03-24;-58
2016-03-25;-56
2016-03-26;-59
2016-03-27;-59
2016-03-28;-56
2016-03-29;-57
2016-03-30;-56
2016-03-31;-58
2016-04-01;-55
2016-04-02;-56
2016-04-03;-53
2016-04-04;-48
2016-04-05;-45
2016-04-06;-45
2016-04-07;-45
2016-04-08;-43
2016-04-09;-40
2016-04-10;-30
2016-04-11;-26
2016-04-12;-20
2016-04-13;-15
2016-04-14;1
2016-04-15;23
2016-04-16;37
2016-04-17;51
2016-04-18;65
2016-04-19;79
2016-04-20;93
2016-04-21;107
2016-04-22;121
2016-04-23;135
2016-04-24;151
2016-04-25;166
2016-04-26;181
2016-04-27;196
2016-04-28;210
2016-04-29;250
2016-04-30;330
2016-05-01;302
2016-05-02;369
2016-05-03;343
2016-05-04;304
2016-05-05;303
2016-05-06;267
2016-05-07;253
2016-05-08;240
2016-05-09;235
2016-05-10;222
2016-05-11;219
2016-05-12;214
2016-05-13;207
2016-05-14;195
2016-05-15;186
2016-05-16;176
2016-05-17;167
2016-05-18;154
2016-05-19;137
2016-05-20;124
2016-05-21;118
2016-05-22;115
2016-05-23;108
2016-05-24;106
2016-05-25;107
2016-05-26;129
2016-05-27;150
2016-05-28;139
2016-05-29;124
2016-05-30;118
2016-05-31;144
2016-06-01;176
2016-06-02;194
2016-06-03;212
2016-06-04;217
2016-06-05;236
2016-06-06;233
2016-06-07;200
2016-06-08;172
2016-06-09;153
2016-06-10;137
2016-06-11;127
2016-06-12;116
2016-06-13;105
2016-06-14;95
2016-06-15;93
2016-06-16;88
2016-06-17;92
2016-06-18;101
2016-06-19;99
2016-06-20;103
2016-06-21;179
2016-06-22;378
2016-06-23;444
2016-06-24;338
2016-06-25;296
2016-06-26;317
2016-06-27;323
2016-06-28;288
2016-06-29;219
2016-06-30;178
2016-07-01;156
2016-07-02;138
2016-07-03;124
2016-07-04;125
2016-07-05;121
2016-07-06;114
2016-07-07;105
2016-07-08;98
2016-07-09;89
2016-07-10;81
2016-07-11;71
2016-07-12;112
2016-07-13;169
2016-07-14;162
2016-07-15;143
2016-07-16;116
2016-07-17;138
2016-07-18;161
2016-07-19;136
2016-07-20;128
2016-07-21;139
2016-07-22;150
2016-07-23;155
2016-07-24;230
2016-07-25;376
2016-07-26;392
2016-07-27;325
2016-07-28;288
2016-07-29;288
2016-07-30;279
2016-07-31;259
2016-08-01;230
2016-08-02;205
2016-08-03;191
2016-08-04;177
2016-08-05;164
2016-08-06;151
2016-08-07;143
2016-08-08;136
2016-08-09;129
2016-08-10;122
2016-08-11;119
2016-08-12;131
2016-08-13;147
2016-08-14;176
2016-08-15;191
2016-08-16;172
2016-08-17;153
2016-08-18;158
2016-08-19;174
2016-08-20;164
2016-08-21;147
2016-08-22;134
2016-08-23;126
2016-08-24;123
2016-08-25;131
2016-08-26;153
2016-08-27;142
2016-08-28;126
2016-08-29;115
2016-08-30;108
2016-08-31;98
2016-09-01;96
2016-09-02;93
2016-09-03;93
2016-09-04;92
2016-09-05;94
2016-09-06;93
2016-09-07;92
2016-09-08;102
2016-09-09;122
2016-09-10;146
2016-09-11;174
2016-09-12;211
2016-09-13;228
2016-09-14;227
2016-09-15;239
2016-09-16;287
2016-09-17;294
2016-09-18;272
2016-09-19;251
2016-09-20;246
2016-09-21;240
2016-09-22;230
2016-09-23;219
2016-09-24;207
2016-09-25;201
2016-09-26;196
2016-09-27;193
2016-09-28;190
2016-09-29;183
2016-09-30;176
2016-10-01;169
2016-10-02;164
2016-10-03;158
2016-10-04;154
2016-10-05;149
2016-10-06;144
2016-10-07;140
2016-10-08;137
2016-10-09;132
2016-10-10;128
2016-10-11;121
2016-10-12;113
2016-10-13;105
2016-10-14;102
2016-10-15;100
2016-10-16;98
2016-10-17;95
2016-10-18;91
2016-10-19;87
2016-10-20;76
2016-10-21;61
2016-10-22;57
2016-10-23;55
2016-10-24;54
2016-10-25;57
2016-10-26;43
2016-10-27;35
2016-10-28;18
2016-10-29;-8
2016-10-30;-54
2016-10-31;-53
2016-11-01;-59
2016-11-02;-78
2016-11-03;-79
2016-11-04;-69
2016-11-05;-73
2016-11-06;38
2016-11-07;66
2016-11-08;81
2016-11-09;81
2016-11-10;68
2016-11-11;65
2016-11-12;64
2016-11-13;62
2016-11-14;63
2016-11-15;59
2016-11-16;56
2016-11-17;56
2016-11-18;52
2016-11-19;48
2016-11-20;43
2016-11-21;38
2016-11-22;33
2016-11-23;30
2016-11-24;30
2016-11-25;26
2016-11-26;22
2016-11-27;16
2016-11-28;13
2016-11-29;7
2016-11-30;-2
2016-12-01;-5
2016-12-02;-7
2016-12-03;-12
2016-12-04;-15
2016-12-05;-15
2016-12-06;-19
2016-12-07;-21
2016-12-08;-25
2016-12-09;-23
2016-12-10;-25
2016-12-11;-29
2016-12-12;-34
2016-12-13;-34
2016-12-14;-33
2016-12-15;-37
2016-12-16;-44
2016-12-17;-41
2016-12-18;-45
2016-12-19;-49
2016-12-20;-49
2016-12-21;-51
2016-12-22;-53
2016-12-23;-55
2016-12-24;-58
2016-12-25;-60
2016-12-26;-61
2016-12-27;-63
2016-12-28;-65
2016-12-29;-66
2016-12-30;-68
2016-12-31;-70
2017-01-01;-72
2017-01-02;-70
2017-01-03;-72
2017-01-04;-73
2017-01-05;-74
2017-01-06;-78
2017-01-07;-78
2017-01-08;-79
2017-01-09;-80
2017-01-10;-81
2017-01-11;-83
2017-01-12;-83
2017-01-13;-84
2017-01-14;-87
2017-01-15;-89
2017-01-16;-89
2017-01-17;-89
2017-01-18;-90
2017-01-19;-90
2017-01-20;-92
2017-01-21;-94
2017-01-22;-94
2017-01-23;-96
2017-01-24;-96
2017-01-25;-100
2017-01-26;-100
2017-01-27;-100
