Timestamp;Value
2008-01-01;246
2008-01-02;249
2008-01-03;253
2008-01-04;246
2008-01-05;242
2008-01-06;238
2008-01-07;234
2008-01-08;231
2008-01-09;229
2008-01-10;230
2008-01-11;232
2008-01-12;238
2008-01-13;244
2008-01-14;239
2008-01-15;233
2008-01-16;230
2008-01-17;227
2008-01-18;226
2008-01-19;228
2008-01-20;225
2008-01-21;224
2008-01-22;225
2008-01-23;221
2008-01-24;227
2008-01-25;226
2008-01-26;229
2008-01-27;228
2008-01-28;227
2008-01-29;228
2008-01-30;233
2008-01-31;236
2008-02-01;234
2008-02-02;231
2008-02-03;228
2008-02-04;231
2008-02-05;233
2008-02-06;246
2008-02-07;238
2008-02-08;234
2008-02-09;235
2008-02-10;234
2008-02-11;236
2008-02-12;239
2008-02-13;242
2008-02-14;243
2008-02-15;242
2008-02-16;238
2008-02-17;236
2008-02-18;235
2008-02-19;237
2008-02-20;241
2008-02-21;237
2008-02-22;232
2008-02-23;230
2008-02-24;228
2008-02-25;225
2008-02-26;227
2008-02-27;229
2008-02-28;233
2008-02-29;237
2008-03-01;233
2008-03-02;231
2008-03-03;229
2008-03-04;225
2008-03-05;227
2008-03-06;224
2008-03-07;225
2008-03-08;226
2008-03-09;231
2008-03-10;230
2008-03-11;227
2008-03-12;228
2008-03-13;229
2008-03-14;231
2008-03-15;229
2008-03-16;227
2008-03-17;224
2008-03-18;229
2008-03-19;231
2008-03-20;230
2008-03-21;233
2008-03-22;235
2008-03-23;237
2008-03-24;241
2008-03-25;239
2008-03-26;234
2008-03-27;238
2008-03-28;240
2008-03-29;238
2008-03-30;237
2008-03-31;238
2008-04-01;236
2008-04-02;244
2008-04-03;243
2008-04-04;246
2008-04-05;246
2008-04-06;250
2008-04-07;249
2008-04-08;250
2008-04-09;256
2008-04-10;257
2008-04-11;257
2008-04-12;256
2008-04-13;255
2008-04-14;258
2008-04-15;261
2008-04-16;264
2008-04-17;265
2008-04-18;266
2008-04-19;265
2008-04-20;260
2008-04-21;265
2008-04-22;268
2008-04-23;268
2008-04-24;259
2008-04-25;259
2008-04-26;257
2008-04-27;265
2008-04-28;269
2008-04-29;264
2008-04-30;269
2008-05-01;275
2008-05-02;277
2008-05-03;284
2008-05-04;298
2008-05-05;318
2008-05-06;323
2008-05-07;329
2008-05-08;327
2008-05-09;313
2008-05-10;298
2008-05-11;293
2008-05-12;286
2008-05-13;280
2008-05-14;277
2008-05-15;272
2008-05-16;272
2008-05-17;266
2008-05-18;267
2008-05-19;265
2008-05-20;268
2008-05-21;254
2008-05-22;264
2008-05-23;254
2008-05-24;252
2008-05-25;253
2008-05-26;247
2008-05-27;245
2008-05-28;237
2008-05-29;234
2008-05-30;225
2008-05-31;221
2008-06-01;219
2008-06-02;216
2008-06-03;213
2008-06-04;216
2008-06-05;249
2008-06-06;244
2008-06-07;267
2008-06-08;268
2008-06-09;255
2008-06-10;253
2008-06-11;251
2008-06-12;247
2008-06-13;244
2008-06-14;250
2008-06-15;259
2008-06-16;269
2008-06-17;267
2008-06-18;258
2008-06-19;256
2008-06-20;254
2008-06-21;253
2008-06-22;247
2008-06-23;244
2008-06-24;245
2008-06-25;245
2008-06-26;242
2008-06-27;238
2008-06-28;221
2008-06-29;214
2008-06-30;206
2008-07-01;216
2008-07-02;214
2008-07-03;237
2008-07-04;237
2008-07-05;245
2008-07-06;247
2008-07-07;251
2008-07-08;244
2008-07-09;238
2008-07-10;252
2008-07-11;239
2008-07-12;232
2008-07-13;227
2008-07-14;214
2008-07-15;223
2008-07-16;223
2008-07-17;219
2008-07-18;222
2008-07-19;216
2008-07-20;218
2008-07-21;221
2008-07-22;219
2008-07-23;221
2008-07-24;216
2008-07-25;211
2008-07-26;211
2008-07-27;209
2008-07-28;238
2008-07-29;246
2008-07-30;248
2008-07-31;252
2008-08-01;253
2008-08-02;260
2008-08-03;263
2008-08-04;259
2008-08-05;259
2008-08-06;261
2008-08-07;259
2008-08-08;255
2008-08-09;248
2008-08-10;256
2008-08-11;261
2008-08-12;269
2008-08-13;271
2008-08-14;263
2008-08-15;263
2008-08-16;260
2008-08-17;259
2008-08-18;259
2008-08-19;254
2008-08-20;254
2008-08-21;253
2008-08-22;252
2008-08-23;253
2008-08-24;260
2008-08-25;258
2008-08-26;253
2008-08-27;252
2008-08-28;250
2008-08-29;258
2008-08-30;256
2008-08-31;246
2008-09-01;243
2008-09-02;233
2008-09-03;235
2008-09-04;228
2008-09-05;251
2008-09-06;240
2008-09-07;236
2008-09-08;230
2008-09-09;225
2008-09-10;236
2008-09-11;242
2008-09-12;235
2008-09-13;226
2008-09-14;211
2008-09-15;217
2008-09-16;222
2008-09-17;219
2008-09-18;224
2008-09-19;230
2008-09-20;254
2008-09-21;243
2008-09-22;250
2008-09-23;267
2008-09-24;262
2008-09-25;281
2008-09-26;270
2008-09-27;267
2008-09-28;268
2008-09-29;236
2008-09-30;233
2008-10-01;232
2008-10-02;234
2008-10-03;245
2008-10-04;251
2008-10-05;268
2008-10-06;254
2008-10-07;257
2008-10-08;254
2008-10-09;259
2008-10-10;252
2008-10-11;258
2008-10-12;247
2008-10-13;261
2008-10-14;254
2008-10-15;249
2008-10-16;251
2008-10-17;253
2008-10-18;238
2008-10-19;249
2008-10-20;251
2008-10-21;255
2008-10-22;245
2008-10-23;233
2008-10-24;229
2008-10-25;233
2008-10-26;234
2008-10-27;233
2008-10-28;231
2008-10-29;254
2008-10-30;242
2008-10-31;237
2008-11-01;242
2008-11-02;249
2008-11-03;258
2008-11-04;267
2008-11-05;264
2008-11-06;286
2008-11-07;256
2008-11-08;246
2008-11-09;227
2008-11-10;214
2008-11-11;210
2008-11-12;200
2008-11-13;190
2008-11-14;184
2008-11-15;185
2008-11-16;177
2008-11-17;182
2008-11-18;206
