Timestamp;Value
2001-01-11;33
2001-02-11;37
2001-03-11;27
2001-04-11;27
2001-04-12;31
2001-05-11;28
2001-05-12;27
2001-06-11;24
2001-07-11;19
2001-08-11;-8
2001-08-12;23
2001-09-12;22
2001-10-11;-32
2001-10-12;21
2001-10-20;70
2001-10-21;71
2001-10-22;68
2001-10-23;67
2001-10-24;65
2001-10-25;63
2001-10-26;63
2001-10-27;47
2001-10-28;38
2001-10-29;54
2001-10-30;50
2001-10-31;44
2001-11-01;33
2001-11-02;37
2001-11-03;27
2001-11-04;27
2001-11-05;28
2001-11-06;24
2001-11-07;19
2001-11-08;-8
2001-11-09;-32
2001-11-10;-32
2001-11-11;-51
2001-11-12;-63
2001-11-13;-76
2001-11-14;-112
2001-11-15;-126
2001-11-16;-122
2001-11-17;-99
2001-11-18;-87
2001-11-19;-72
2001-11-20;-58
2001-11-21;-52
2001-11-25;11
2001-11-26;0
2001-11-30;12
2001-12-04;31
2001-12-05;27
2001-12-08;23
2001-12-09;22
2001-12-10;21
2001-12-11;-63
2001-12-15;0
2001-12-18;-7
2001-12-19;-7
2001-12-20;-7
2001-12-21;-16
2001-12-22;-16
2001-12-23;-16
2001-12-24;-21
2001-12-25;-19
2002-01-01;-22
2002-01-02;-26
2002-01-03;-30
2002-01-04;-33
2002-01-05;-34
2002-01-06;-37
2002-01-07;-37
2002-01-08;-41
2002-01-09;-42
2002-01-10;-47
2002-01-11;-44
2002-01-12;-40
2002-01-13;-43
2002-01-14;-44
2002-01-15;-47
2002-01-16;-45
2002-01-17;-46
2002-01-18;-46
2002-01-19;-47
2002-01-20;-47
2002-01-21;-54
2002-01-22;-43
2002-01-23;-38
2002-01-24;-35
2002-01-25;-38
2002-01-26;-44
2002-01-27;-48
2002-01-28;-46
2002-01-29;-50
2002-01-30;-46
2002-01-31;-41
2002-02-01;-39
2002-02-02;-44
2002-02-03;-47
2002-02-04;-45
2002-02-05;-41
2002-02-06;-43
2002-02-07;-43
2002-02-08;-43
2002-02-09;-50
2002-02-10;-51
2002-02-11;-46
2002-02-12;-44
2002-02-13;-43
2002-02-14;-44
2002-02-15;-41
2002-02-16;-45
2002-02-17;-40
2002-02-18;-40
2002-02-19;-40
2002-02-20;-40
2002-02-21;-40
2002-02-22;-35
2002-02-23;-37
2002-02-24;-41
2002-02-25;-44
2002-02-26;-47
2002-02-27;-47
2002-02-28;-44
2002-03-01;-47
2002-03-02;-53
2002-03-03;-53
2002-03-04;-56
2002-03-05;-56
2002-03-06;-56
2002-03-07;-54
2002-03-08;-54
2002-03-09;-47
2002-03-10;-47
2002-03-11;-47
2002-03-12;-49
2002-03-13;-49
2002-03-14;-53
2002-03-15;-54
2002-03-16;-48
2002-03-17;-46
2002-03-18;-44
2002-03-19;-39
2002-03-20;-41
2002-03-21;-51
2002-03-22;-51
2002-03-23;-51
2002-03-24;-51
2002-03-25;-61
2002-03-26;-57
2002-03-27;-56
2002-03-28;-56
2002-03-29;-57
2002-03-30;-56
2002-03-31;-60
2002-04-01;-57
