Timestamp;Value
2001-01-11;225
2001-02-11;222
2001-03-11;222
2001-04-11;219
2001-05-11;218
2001-06-11;218
2001-07-11;217
2001-08-11;187
2001-10-20;253
2001-10-21;252
2001-10-22;251
2001-10-23;250
2001-10-24;249
2001-10-25;245
2001-10-26;243
2001-10-27;224
2001-10-28;218
2001-10-29;220
2001-10-30;217
2001-10-31;221
2001-11-01;225
2001-11-02;222
2001-11-03;222
2001-11-04;219
2001-11-05;218
2001-11-06;218
2001-11-07;217
2001-11-08;187
2001-11-14;96
2001-11-15;88
2001-11-16;95
2001-11-17;110
2001-11-18;119
2001-11-19;126
2001-11-20;130
2001-11-21;157
2002-04-01;163
2002-04-02;162
2002-04-03;160
2002-04-04;162
2002-04-05;166
2002-04-06;165
2002-04-07;167
2002-04-08;172
2002-04-09;177
2002-04-10;172
2002-04-11;168
2002-04-12;174
2002-04-13;175
2002-04-14;182
2002-04-15;185
2002-04-16;297
2002-04-17;225
2002-04-18;228
2002-04-19;244
2002-04-20;255
2002-04-21;169
2002-04-22;172
2002-04-23;240
2002-04-24;185
2002-04-25;195
2002-04-29;256
2002-04-30;311
2002-05-01;266
2002-05-03;258
2002-05-04;272
2002-05-05;422
2002-05-06;457
2002-05-07;436
2002-05-08;416
2002-05-09;395
2002-05-10;385
2002-05-11;389
2002-05-12;438
2002-05-13;484
2002-05-14;510
2002-05-15;524
2002-05-16;536
2002-05-17;545
2002-05-18;553
2002-05-19;554
2002-05-20;536
2002-05-21;514
2002-05-22;485
2002-05-23;459
2002-05-24;439
2002-05-25;423
2002-05-26;455
2002-05-27;533
2002-05-28;540
2002-05-29;524
2002-05-30;511
2002-05-31;484
2002-06-01;459
2002-06-02;440
2002-06-03;434
2002-06-04;466
2002-06-05;474
2002-06-06;453
2002-06-07;417
2002-06-08;392
2002-06-09;376
2002-06-10;351
2002-06-11;336
2002-06-12;325
2002-06-13;322
2002-06-14;317
2002-06-15;309
2002-06-16;301
2002-06-17;289
2002-06-18;288
2002-06-19;304
2002-06-20;305
2002-06-21;291
2002-06-22;274
2002-06-23;271
2002-06-24;279
2002-06-25;288
2002-06-26;294
2002-06-27;293
2002-06-28;285
2002-06-29;280
2002-06-30;276
2002-07-01;271
2002-07-02;261
2002-07-03;252
2002-07-04;243
2002-07-05;239
2002-07-06;247
2002-07-07;265
2002-07-08;279
2002-07-09;291
2002-07-10;311
2002-07-11;325
2002-07-12;332
2002-07-16;354
2002-07-17;382
2002-07-19;391
2002-07-23;323
2002-07-24;311
2002-07-26;300
2002-07-29;302
2002-07-30;303
2002-07-31;311
2002-08-01;358
2002-08-02;347
2002-08-03;336
2002-08-04;332
2002-08-05;332
2002-08-06;331
2002-08-07;332
2002-08-08;344
2002-08-09;376
2002-08-10;407
2002-08-11;415
2002-08-12;409
2002-08-13;392
2002-08-14;381
2002-08-15;333
2002-08-16;310
2002-08-18;283
2002-08-20;276
2002-08-21;280
2002-08-22;275
2002-08-23;270
2002-08-24;253
2002-08-25;241
2002-08-26;239
2002-08-27;239
2002-08-28;240
2002-08-29;246
2002-08-30;245
2002-08-31;246
2002-09-01;253
2002-09-02;259
2002-09-03;263
2002-09-04;269
2002-09-05;274
2002-09-06;261
2002-09-07;271
2002-09-08;306
2002-09-09;374
2002-09-10;398
2002-09-11;375
2002-09-12;347
2002-09-13;328
2002-09-14;313
2002-09-15;305
2002-09-16;300
2002-09-17;292
2002-09-18;286
2002-09-19;289
2002-09-20;281
2002-09-21;273
2002-09-22;268
2002-09-23;264
2002-09-24;260
2002-09-25;254
2002-09-26;251
2002-09-27;247
2002-09-28;247
2002-09-29;247
2002-09-30;246
2002-10-01;240
2002-10-02;237
2002-10-03;236
2002-10-04;230
2002-10-05;229
2002-10-06;224
2002-10-07;217
2002-10-08;213
2002-10-09;213
2002-10-10;211
2002-10-11;208
2002-10-12;207
2002-10-13;217
2002-10-14;217
2002-10-15;215
2002-10-16;212
2002-10-17;212
2002-10-18;210
2002-10-19;210
2002-10-20;211
2002-10-21;211
2002-10-22;213
2002-10-23;214
2002-10-24;214
2002-10-25;210
2002-10-26;207
2002-10-27;202
2002-10-28;199
2002-10-29;201
2002-10-30;202
2002-10-31;189
2002-11-01;166
2002-11-02;140
2002-11-03;110
2002-11-04;102
2002-11-05;110
2002-11-06;126
2002-11-07;137
2002-11-08;129
2002-11-09;110
2002-11-10;103
2002-11-11;103
2002-11-12;101
2002-11-13;99
2002-11-15;81
2002-11-16;81
2002-11-17;97
2002-11-18;100
2002-11-19;104
2002-11-20;113
2003-03-01;166
2003-03-02;157
2003-03-03;154
2003-03-04;148
2003-03-05;166
2003-03-06;172
2003-03-07;177
2003-03-08;162
2003-03-09;144
2003-03-10;148
2003-03-16;163
2003-03-17;165
2003-03-18;167
2003-03-19;168
2003-03-20;168
2003-03-26;155
2003-03-27;154
2003-03-28;153
2003-03-29;152
2003-03-30;152
2003-03-31;154
2003-04-01;161
2003-04-02;169
2003-04-03;172
2003-04-04;174
2003-04-05;175
2003-04-06;175
2003-04-07;176
2003-04-08;176
2003-04-09;181
2003-04-10;191
2003-04-11;215
2003-04-12;229
2003-04-13;226
2003-04-14;218
2003-04-15;211
2003-04-16;264
2003-04-17;268
2003-04-18;272
2003-04-19;282
2003-04-20;169
2003-04-21;132
2003-04-22;142
2003-04-23;144
2003-04-24;133
2003-04-25;143
2003-04-26;145
2003-04-27;163
2003-04-28;183
2003-04-29;182
2003-04-30;191
2003-05-01;193
2003-05-02;208
2003-05-03;212
2003-05-04;214
2003-05-05;211
2003-05-06;198
2003-05-07;193
2003-05-08;189
2003-05-09;208
2003-05-10;222
2003-05-11;206
2003-05-12;200
2003-05-13;191
2003-05-14;188
2003-05-15;175
2003-05-16;168
2003-05-17;170
2003-05-18;172
2003-05-19;175
2003-05-20;175
2003-05-21;179
2003-05-22;185
2003-05-23;185
2003-05-24;187
2003-05-25;190
2003-05-26;192
2003-06-01;279
2003-06-02;311
2003-06-03;337
2003-06-04;354
2003-06-05;402
2003-06-06;435
2003-06-07;419
2003-06-08;404
2003-06-09;387
2003-06-10;362
2003-06-11;342
2003-06-12;316
2003-06-13;291
2003-06-14;362
2003-06-15;392
2003-06-16;398
2003-06-17;384
2003-06-18;366
2003-06-19;345
2003-06-20;328
2003-06-21;304
2003-06-22;296
2003-06-23;286
2003-06-24;284
2003-06-25;264
2003-06-26;258
2003-06-27;306
2003-06-28;327
2003-06-29;353
2003-06-30;369
2003-07-01;370
2003-07-02;356
2003-07-03;366
2003-07-04;447
2003-07-05;575
2003-07-06;648
2003-07-07;686
2003-07-08;737
2003-07-09;692
2003-07-10;676
2003-07-11;664
2003-07-12;662
2003-07-13;655
2003-07-14;631
2003-07-15;618
2003-07-16;609
2003-07-24;639
2003-07-25;609
2003-07-26;579
2003-07-27;549
2003-07-28;517
2003-07-29;502
2003-07-30;502
2003-07-31;502
2003-08-01;504
2003-08-02;577
2003-08-03;649
2003-08-04;744
2003-08-05;780
2003-08-06;792
2003-08-07;787
2003-08-08;759
2003-08-09;705
2003-08-10;639
2003-08-11;598
2003-08-12;567
2003-08-13;548
2003-08-14;512
2003-08-15;496
2003-08-16;491
2003-08-17;501
2003-08-18;515
2003-08-19;541
2003-08-20;556
2003-08-21;558
2003-08-22;561
2003-08-23;572
2003-08-24;585
2003-08-25;598
2003-08-26;618
2003-08-27;637
2003-08-28;620
2003-08-29;591
2003-08-30;562
2003-08-31;541
2003-09-01;541
2003-09-02;567
2003-09-03;587
2003-09-04;577
2003-09-05;562
2003-09-06;522
2003-09-07;506
2003-09-08;494
2003-09-09;485
2003-09-10;471
2003-09-11;459
2003-09-12;451
2003-09-13;438
2003-09-14;424
2003-09-15;411
2003-09-16;411
2003-09-17;430
2003-09-18;447
2003-09-19;471
2003-09-20;513
2003-09-21;527
2003-09-22;547
2003-09-23;575
2003-09-24;582
2003-09-25;581
2003-09-26;569
2003-09-27;555
2003-09-28;539
2003-09-29;524
2003-09-30;529
2003-10-01;544
2003-10-02;539
2003-10-03;531
2003-10-04;515
2003-10-05;501
2003-10-06;481
2003-10-07;464
2003-10-08;445
2003-10-09;430
2003-10-10;416
2003-10-11;401
2003-10-12;389
2003-10-13;379
2003-10-14;364
2003-10-15;351
2003-10-16;350
2003-10-17;350
2003-10-18;350
2003-10-19;350
2003-10-20;348
2003-10-21;345
2003-10-22;343
2003-10-23;337
2003-10-24;329
2003-10-25;322
2003-10-26;317
2003-10-27;306
2003-10-28;298
2003-10-29;296
2003-10-30;286
2003-10-31;275
2003-11-01;271
2003-11-02;269
2003-11-03;265
2003-11-04;259
2003-11-05;236
2003-11-06;220
2003-11-07;210
2003-11-08;190
2003-11-09;169
2003-11-13;157
2003-11-14;166
2003-11-15;172
2003-11-16;182
2003-11-17;185
2003-11-19;182
2003-11-20;187
2004-03-21;212
2004-03-22;218
2004-03-23;225
2004-03-24;233
2004-03-25;232
2004-03-26;224
2004-03-27;210
2004-03-28;201
2004-03-29;199
2004-03-30;200
2004-03-31;200
2004-04-01;191
2004-04-02;199
2004-04-03;201
2004-04-04;204
2004-04-05;207
2004-04-06;212
2004-04-07;220
2004-04-08;250
2004-04-09;293
2004-04-10;319
2004-04-11;339
2004-04-12;358
2004-04-13;382
2004-04-14;397
2004-04-15;418
2004-04-16;506
2004-04-17;544
2004-04-18;527
2004-04-26;473
2004-04-27;511
