Timestamp;Value
2001-01-11;-194
2001-02-11;-197
2001-03-11;-198
2001-04-11;-198
2001-04-12;-222
2001-05-11;-200
2001-05-12;-218
2001-06-11;-202
2001-07-11;-205
2001-08-11;-206
2001-08-12;-228
2001-09-12;-235
2001-10-11;-210
2001-10-12;-246
2001-10-20;-161
2001-10-21;-166
2001-10-22;-170
2001-10-23;-174
2001-10-24;-175
2001-10-25;-175
2001-10-26;-175
2001-10-27;-177
2001-10-28;-179
2001-10-29;-183
2001-10-30;-186
2001-10-31;-189
2001-11-01;-194
2001-11-02;-197
2001-11-03;-198
2001-11-04;-198
2001-11-05;-200
2001-11-06;-202
2001-11-07;-205
2001-11-08;-206
2001-11-09;-210
2001-11-10;-210
2001-11-11;-212
2001-11-12;-216
2001-11-13;-217
2001-11-14;-218
2001-11-15;-221
2001-11-16;-225
2001-11-17;-226
2001-11-18;-227
2001-11-19;-230
2001-11-20;-222
2001-11-21;-217
2001-11-25;-190
2001-11-26;-192
2001-11-30;-224
2001-12-04;-222
2001-12-05;-218
2001-12-08;-228
2001-12-09;-235
2001-12-10;-246
2001-12-11;-216
2001-12-15;-251
2001-12-18;-251
2001-12-19;-252
2001-12-20;-251
2001-12-21;-253
2001-12-22;-253
2001-12-23;-252
2001-12-24;-252
2001-12-25;-252
2002-01-01;-252
2002-01-02;-252
2002-01-03;-252
2002-01-04;-252
2002-01-05;-252
2002-01-06;-252
2002-01-07;-252
2002-01-08;-252
2002-01-09;-252
2002-01-10;-252
2002-01-11;-242
2002-01-12;-243
2002-01-13;-245
2002-01-14;-246
2002-01-15;-246
2002-01-16;-247
2002-01-17;-249
2002-01-18;-251
2002-01-19;-255
2002-01-20;-258
2002-01-21;-261
2002-01-22;-265
2002-01-23;-267
2002-01-24;-269
2002-01-25;-271
2002-01-26;-272
2002-01-27;-273
2002-01-28;-275
2002-01-29;-276
2002-01-30;-276
2002-01-31;-277
2002-02-01;-278
2002-02-02;-279
2002-02-03;-280
2002-02-04;-281
2002-02-05;-282
2002-02-06;-283
2002-02-07;-284
2002-02-08;-285
2002-02-09;-283
2002-02-10;-280
2002-02-11;-278
2002-02-12;-277
2002-02-13;-277
2002-02-14;-277
2002-02-15;-276
2002-02-16;-277
2002-02-17;-278
2002-02-18;-279
2002-02-19;-280
2002-02-20;-281
2002-02-21;-281
2002-02-22;-280
2002-02-23;-278
2002-02-24;-276
2002-02-25;-274
2002-02-26;-273
2002-02-27;-273
2002-02-28;-274
2002-03-01;-274
2002-03-02;-273
2002-03-03;-272
2002-03-04;-271
2002-03-05;-270
2002-03-06;-271
2002-03-07;-271
2002-03-08;-272
2002-03-09;-273
2002-03-10;-273
2002-03-11;-273
2002-03-12;-274
2002-03-13;-275
2002-03-14;-274
2002-03-15;-275
2002-03-16;-276
2002-03-17;-278
2002-03-18;-280
2002-03-19;-281
2002-03-20;-287
2002-03-21;-284
2002-03-22;-286
2002-03-23;-287
2002-03-24;-288
2002-03-25;-289
2002-03-26;-290
2002-03-27;-290
2002-03-28;-289
2002-03-31;-284
2002-04-01;-282
2002-04-02;-280
2002-04-03;-279
2002-04-04;-274
2002-04-05;-263
2002-04-06;-251
2002-04-07;-243
2002-04-08;-238
2002-04-09;-235
2002-04-10;-224
2002-04-11;-211
2002-04-12;-203
2002-04-13;-198
2002-04-14;-192
2002-04-15;-188
2002-04-16;-164
2002-04-17;-137
2002-04-18;-114
2002-04-19;-91
2002-04-20;-66
2002-04-21;-44
2002-04-22;-16
2002-04-23;10
2002-04-24;5
2002-04-25;32
2002-04-26;61
2002-04-27;86
2002-04-28;107
2002-04-29;123
2002-04-30;20
2002-05-01;-1
2002-05-02;-8
2002-05-03;-7
2002-05-04;-9
2002-05-05;-5
2002-05-06;-12
2002-05-07;-11
2002-05-08;-12
2002-05-09;-12
2002-05-10;-14
2002-05-11;-15
2002-05-12;-14
2002-05-13;-16
2002-05-14;-12
2002-05-15;-12
2002-05-16;-14
2002-05-17;-6
2002-05-18;-3
2002-05-19;-2
2002-05-20;-2
2002-05-21;-1
2002-05-22;3
2002-05-23;9
2002-05-24;10
2002-05-25;17
2002-05-26;24
2002-05-27;34
2002-05-28;35
2002-05-29;37
2002-05-30;38
2002-05-31;37
2002-06-01;28
2002-06-02;17
2002-06-03;8
2002-06-04;3
2002-06-05;-1
2002-06-06;-1
2002-06-07;9
2002-06-08;17
2002-06-09;18
2002-06-10;23
2002-06-11;33
2002-06-12;38
2002-06-13;47
2002-06-14;50
2002-06-15;51
2002-06-16;55
2002-06-17;36
2002-06-18;18
2002-06-19;8
2002-06-20;-6
2002-06-21;-23
2002-06-22;-33
2002-06-23;-42
2002-06-24;-49
2002-06-25;-56
2002-06-26;-64
2002-06-27;-71
2002-06-28;-79
2002-06-29;-84
2002-06-30;-84
2002-07-01;-77
2002-07-02;-69
2002-07-03;-69
2002-07-04;-72
2002-07-05;-72
2002-07-06;-69
2002-07-07;-64
2002-07-08;-58
2002-07-09;-56
2002-07-10;-56
2002-07-11;-53
2002-07-12;-50
2002-07-16;-21
2002-07-17;-19
2002-07-18;-19
2002-07-19;-22
2002-07-23;-19
2002-07-24;-15
2002-07-25;-12
2002-07-26;-10
2002-07-29;-5
2002-07-30;-3
2002-07-31;-1
2002-08-01;1
2002-08-02;6
2002-08-03;13
2002-08-04;0
2002-08-05;16
2002-08-06;19
2002-08-07;24
2002-08-08;33
2002-08-09;38
2002-08-10;44
2002-08-11;52
2002-08-12;63
2002-08-13;71
2002-08-14;80
2002-08-15;86
2002-08-16;100
2002-08-17;110
2002-08-18;123
2002-08-19;132
2002-08-20;136
2002-08-21;141
2002-08-22;153
2002-08-23;159
2002-08-24;162
2002-08-25;166
2002-08-26;163
2002-08-27;156
2002-08-28;147
2002-08-29;143
2002-08-30;136
2002-08-31;128
2002-09-01;123
2002-09-02;120
2002-09-03;115
2002-09-04;112
2002-09-05;107
2002-09-06;101
2002-09-07;95
2002-09-08;86
2002-09-09;79
2002-09-10;65
2002-09-11;57
2002-09-12;55
2002-09-13;50
2002-09-14;46
2002-09-15;41
2002-09-16;43
2002-09-17;54
2002-09-18;54
2002-09-19;52
2002-09-20;52
2002-09-21;47
2002-09-22;41
2002-09-23;32
2002-09-24;18
2002-09-25;5
2002-09-26;-16
2002-09-27;-26
2002-09-28;-45
2002-09-29;-61
2002-09-30;-76
2002-10-01;-88
2002-10-02;-102
2002-10-03;-113
2002-10-04;-111
2002-10-05;-121
2002-10-06;-124
2002-10-07;-120
2002-10-08;-124
2002-10-09;-119
2002-10-10;-115
2002-10-11;-110
2002-10-12;-105
2002-10-13;-96
2002-10-14;-88
2002-10-15;-81
2002-10-16;-72
2002-10-17;-69
2002-10-18;-67
2002-10-19;-64
2002-10-20;-62
2002-10-21;-62
2002-10-22;-66
2002-10-23;-69
2002-10-24;-70
2002-10-25;-79
2002-10-26;-81
2002-10-27;-93
2002-10-28;-123
2002-10-29;-123
2002-10-30;-122
2002-10-31;-119
2002-11-01;-126
2002-11-02;-134
2002-11-03;-149
2002-11-04;-158
2002-11-05;-156
2002-11-06;-147
2002-11-07;-165
2002-11-08;-186
2002-11-09;-202
