Timestamp;Value
2001-01-11;46
2001-02-11;46
2001-03-11;64
2001-04-11;60
2001-04-12;64
2001-05-11;64
2001-05-12;67
2001-06-11;57
2001-08-11;63
2001-08-12;93
2001-09-12;71
2001-10-11;55
2001-10-12;53
2001-10-20;53
2001-10-21;76
2001-10-22;65
2001-10-23;62
2001-10-24;68
2001-10-25;68
2001-10-26;75
2001-10-27;70
2001-10-28;68
2001-10-29;53
2001-10-30;43
2001-10-31;43
2001-11-01;46
2001-11-02;46
2001-11-03;64
2001-11-04;60
2001-11-05;64
2001-11-06;57
2001-11-07;63
2001-11-08;63
2001-11-09;55
2001-11-10;55
2001-11-11;58
2001-11-12;63
2001-11-13;66
2001-11-14;66
2001-11-15;58
2001-11-16;63
2001-11-17;66
2001-11-18;63
2001-11-19;58
2001-11-20;61
2001-11-21;69
2001-11-25;66
2001-11-26;63
2001-11-30;72
2001-12-04;64
2001-12-05;67
2001-12-08;93
2001-12-09;71
2001-12-10;53
2001-12-11;63
2001-12-15;49
2001-12-18;57
2001-12-19;48
2001-12-20;45
2001-12-21;33
2001-12-22;33
2001-12-23;38
2001-12-24;35
2001-12-25;35
2002-01-01;47
2002-01-02;43
2002-01-03;49
2002-01-04;55
2002-01-05;55
2002-01-06;56
2002-01-07;51
2002-01-08;38
2002-01-09;35
2002-01-10;43
2002-01-11;44
2002-01-12;38
2002-01-13;40
2002-01-14;53
2002-01-15;43
2002-01-16;43
2002-01-17;51
2002-01-18;53
2002-01-19;51
2002-01-20;45
2002-01-26;42
2002-01-27;43
2002-01-28;39
2002-01-29;41
2002-01-30;40
2002-01-31;41
2002-02-01;45
2002-02-02;45
2002-02-03;41
2002-02-04;39
2002-02-05;38
2002-02-06;37
2002-02-07;38
2002-02-08;35
2002-02-09;33
2002-02-10;35
2002-02-11;55
2002-02-12;53
2002-02-13;69
2002-02-14;51
2002-02-15;43
2002-02-16;43
2002-02-17;41
2002-02-18;35
2002-02-19;25
2002-02-20;29
2002-02-21;31
2002-02-22;33
2002-02-23;35
2002-02-24;38
2002-02-25;41
2002-02-26;41
2002-02-27;56
2002-02-28;62
2002-03-01;58
2002-03-02;48
2002-03-03;38
2002-03-04;41
2002-03-05;33
2002-03-06;35
2002-03-07;43
2002-03-08;35
2002-03-09;33
2002-03-10;33
2002-03-11;37
2002-03-12;31
2002-03-13;35
2002-03-14;31
2002-03-15;51
2002-03-16;53
2002-03-17;48
2002-03-18;53
2002-03-19;40
2002-03-20;38
2002-03-21;38
2002-03-22;35
2002-03-23;35
2002-03-24;36
2002-03-25;33
2002-03-26;33
2002-03-27;50
2002-03-28;58
2002-03-29;51
2002-03-30;53
2002-03-31;48
2002-04-01;47
2002-04-02;53
2002-04-03;58
2002-04-04;65
2002-04-05;48
2002-04-06;41
2002-04-07;43
2002-04-08;33
2002-04-09;47
2002-04-10;49
2002-04-11;58
2002-04-12;65
2002-04-13;48
2002-04-14;57
2002-04-15;51
2002-04-16;52
2002-04-17;53
2002-04-18;50
2002-04-19;50
2002-04-20;56
2002-04-21;70
2002-04-22;64
2002-04-23;76
2002-04-24;83
2002-04-25;79
2002-04-26;81
2002-04-27;86
2002-04-28;92
2002-04-29;98
2002-04-30;103
2002-05-01;112
2002-05-02;122
2002-05-03;128
2002-05-04;136
2002-05-05;144
2002-05-06;150
2002-05-07;156
2002-05-08;180
2002-05-09;176
2002-05-10;144
2002-05-11;126
2002-05-12;112
2002-05-13;108
2002-05-14;104
2002-05-15;96
2002-05-16;92
2002-05-17;84
2002-05-18;90
2002-05-19;90
2002-05-20;82
2002-05-21;94
2002-05-22;100
2002-05-23;94
2002-05-24;81
2002-05-25;82
2002-05-26;72
2002-05-27;70
2002-05-28;74
2002-05-29;76
2002-05-30;86
2002-05-31;76
2002-06-01;64
2002-06-02;76
2002-06-03;72
2002-06-04;70
2002-06-05;78
2002-06-06;90
2002-06-07;76
2002-06-08;76
2002-06-09;72
2002-06-10;70
2002-06-11;60
2002-06-12;60
2002-06-13;66
2002-06-14;64
2002-06-15;72
2002-06-16;82
2002-06-17;82
2002-06-18;74
2002-06-19;70
2002-06-20;70
2002-06-21;66
2002-06-22;72
2002-06-23;58
2002-06-24;68
2002-06-25;62
2002-06-26;60
2002-06-27;62
2002-06-28;66
2002-06-29;60
2002-06-30;62
2002-07-01;58
2002-07-02;54
2002-07-03;52
2002-07-04;52
2002-07-05;58
2002-07-06;60
2002-07-07;58
2002-07-08;56
2002-07-09;56
2002-07-10;60
2002-07-11;62
2002-07-12;58
2002-07-16;52
2002-07-17;52
2002-07-18;62
2002-07-19;70
2002-07-23;66
2002-07-24;70
2002-07-25;68
2002-07-26;66
2002-07-29;58
2002-07-30;58
2002-07-31;64
2002-08-01;72
2002-08-02;76
2002-08-03;86
2002-08-04;100
2002-08-05;82
2002-08-06;76
2002-08-07;78
2002-08-08;84
2002-08-09;70
2002-08-10;68
2002-08-11;66
2002-08-12;68
2002-08-13;62
2002-08-14;70
2002-08-15;82
2002-08-16;90
2002-08-17;92
2002-08-18;102
2002-08-19;98
2002-08-20;94
2002-08-21;90
2002-08-22;86
2002-08-23;80
2002-08-24;84
2002-08-25;84
2002-08-26;86
2002-08-27;86
2002-08-28;82
2002-08-29;84
2002-08-30;86
2002-08-31;90
2002-09-01;96
2002-09-02;102
2002-09-03;104
2002-09-04;84
2002-09-05;64
2002-09-06;60
2002-09-07;50
2002-09-08;46
2002-09-09;44
2002-09-10;52
2002-09-11;94
2002-09-12;110
2002-09-13;106
2002-09-14;98
2002-09-15;100
2002-09-16;106
2002-09-17;100
2002-09-18;94
2002-09-19;88
2002-09-20;68
2002-09-21;80
2002-09-22;72
2002-09-23;74
2002-09-24;68
2002-09-25;66
2002-09-26;70
2002-09-27;78
2002-09-28;80
2002-09-29;78
2002-09-30;88
2002-10-01;82
2002-10-02;82
2002-10-03;82
2002-10-04;102
2002-10-05;60
2002-10-06;36
2002-10-07;29
