Timestamp;Value
2001-01-11;-103
2001-02-11;-103
2001-03-11;-104
2001-04-11;-106
2001-05-11;-107
2001-06-11;-99
2001-07-11;-94
2001-08-11;-96
2001-10-11;-114
2001-10-20;-61
2001-10-21;-66
2001-10-22;-70
2001-10-23;-75
2001-10-24;-80
2001-10-25;-84
2001-10-26;-83
2001-10-27;-94
2001-10-28;-97
2001-10-29;-99
2001-10-30;-101
2001-10-31;-103
2001-11-01;-103
2001-11-02;-103
2001-11-03;-104
2001-11-04;-106
2001-11-05;-107
2001-11-06;-99
2001-11-07;-94
2001-11-08;-96
2001-11-09;-114
2001-11-10;-114
2001-11-11;-120
2001-11-12;-121
2001-11-13;-107
2001-11-14;-120
2001-11-15;-123
2001-11-16;-125
2001-11-17;-114
2001-11-18;-124
2001-11-19;-125
2001-11-20;-120
2001-12-11;-121
2002-03-11;-163
2002-03-12;-165
2002-03-13;-167
2002-03-14;-169
2002-03-15;-171
2002-03-16;-173
2002-03-17;-174
2002-03-18;-175
2002-03-19;-175
2002-03-20;-177
2002-03-21;-179
2002-03-22;-181
2002-03-23;-183
2002-03-24;-184
2002-03-25;-185
2002-03-26;-183
2002-03-27;-180
2002-03-28;-177
2002-03-29;-173
2002-03-30;-170
2002-03-31;-165
2002-04-01;-159
2002-04-02;-144
2002-04-03;-133
2002-04-04;-123
2002-04-05;-113
2002-04-06;-106
2002-04-07;-99
2002-04-08;-93
2002-04-09;-88
2002-04-10;-84
2002-04-11;-77
2002-04-12;-88
2002-04-13;-60
2002-04-14;-28
2002-04-15;-3
2002-04-16;18
2002-04-17;33
2002-04-18;42
2002-04-19;50
2002-04-20;61
2002-04-21;75
2002-04-22;90
2002-04-23;34
2002-04-24;22
2002-04-25;15
2002-04-26;12
2002-04-27;14
2002-04-28;15
2002-04-29;24
2002-04-30;35
2002-05-01;46
2002-05-02;49
2002-05-03;49
2002-05-04;48
2002-05-05;51
2002-05-06;54
2002-05-07;56
2002-05-08;60
2002-05-09;64
2002-05-10;68
2002-05-11;62
2002-05-12;53
2002-05-13;46
2002-05-14;53
2002-05-15;64
2002-05-16;80
2002-05-17;80
2002-05-18;79
2002-05-19;77
2002-05-20;83
2002-05-21;98
2002-05-22;115
2002-05-23;131
2002-05-24;140
2002-05-25;148
2002-05-26;150
2002-05-27;150
2002-05-28;144
2002-05-29;133
2002-05-30;123
2002-05-31;110
2002-06-01;94
2002-06-02;79
2002-06-03;80
2002-06-04;85
2002-06-05;93
2002-06-06;103
2002-06-07;112
2002-06-08;124
2002-06-09;135
2002-06-10;143
2002-06-11;154
2002-06-12;163
2002-06-13;155
2002-06-14;143
2002-06-15;131
2002-06-16;117
2002-06-17;104
2002-06-18;91
2002-06-19;79
2002-06-20;63
2002-06-21;47
2002-06-22;37
2002-06-23;25
2002-06-24;15
2002-06-25;13
2002-06-26;12
2002-06-27;15
2002-06-28;15
2002-06-29;13
2002-07-03;39
2002-07-04;37
2002-07-05;33
2002-07-06;35
2002-07-07;37
2002-07-08;36
2002-07-09;45
2002-07-10;51
2002-07-11;61
2002-07-12;72
2002-07-16;71
2002-07-17;64
2002-07-18;58
2002-07-19;62
2002-07-26;91
2002-07-29;104
2002-07-30;111
2002-07-31;118
2002-08-01;124
2002-08-02;129
2002-08-03;136
2002-08-04;150
2002-08-05;161
2002-08-06;168
2002-08-07;172
2002-08-08;168
2002-08-09;178
2002-08-10;187
2002-08-11;195
2002-08-12;202
2002-08-13;217
2002-08-14;228
2002-08-15;238
2002-08-16;247
2002-08-17;253
2002-08-18;259
2002-08-19;265
2002-08-20;269
2002-08-21;266
2002-08-22;259
2002-08-23;248
2002-08-24;236
2002-08-25;226
2002-08-26;214
2002-08-27;202
2002-08-28;192
2002-08-29;185
2002-08-30;184
2002-08-31;188
2002-09-01;190
2002-09-02;190
2002-09-03;189
2002-09-04;186
2002-09-05;182
2002-09-06;179
2002-09-07;176
2002-09-08;173
2002-09-09;167
2002-09-10;160
2002-09-11;152
2002-09-12;146
2002-09-13;150
2002-09-14;157
2002-09-15;157
2002-09-16;157
2002-09-17;153
2002-09-18;149
2002-09-19;148
2002-09-20;144
2002-09-21;140
2002-09-22;129
2002-09-23;118
2002-09-24;113
2002-09-25;109
2002-09-26;97
2002-09-27;84
2002-09-28;63
2002-09-29;40
2002-09-30;21
2002-10-01;0
2002-10-02;-17
2002-10-03;-22
2002-10-04;-24
2002-10-05;-29
2002-10-06;-31
2002-10-07;-30
2002-10-08;-28
2002-10-09;-22
2002-10-10;-20
2002-10-11;-17
2002-10-12;-15
2002-10-13;-11
2002-10-14;12
2002-10-15;22
2002-10-16;27
2002-10-17;32
2002-10-18;38
2002-10-19;40
2002-10-20;39
2002-10-21;38
2002-10-22;32
2002-10-23;18
2002-10-24;12
2002-10-25;7
2002-10-26;-1
2002-10-27;-7
2002-10-28;-13
2002-10-29;-20
2002-10-30;-26
2002-10-31;-34
2002-11-01;-42
2002-11-02;-48
2002-11-03;-55
2002-11-04;-59
2002-11-05;-62
2002-11-06;-69
2002-11-07;-80
2002-11-08;-91
2002-11-09;-113
2002-11-10;-121
2002-11-11;-121
2002-11-12;-119
2002-11-13;-123
2002-11-14;-124
2002-11-15;-116
2002-11-16;-120
2002-11-17;-100
2002-11-18;-111
2002-11-19;-115
2002-11-20;-117
2003-03-16;-132
2003-03-17;-129
2003-03-18;-130
2003-03-19;-131
2003-03-20;-133
2003-03-21;-136
2003-03-22;-138
2003-03-23;-141
2003-03-24;-145
2003-03-25;-150
2003-03-26;-154
2003-03-27;-156
2003-03-28;-159
2003-03-29;-152
2003-03-30;-150
2003-03-31;-146
2003-04-01;-144
2003-04-02;-142
2003-04-03;-137
2003-04-04;-135
2003-04-05;-134
2003-04-06;-134
2003-04-07;-132
2003-04-08;-131
2003-04-09;-130
2003-04-10;-129
2003-04-11;-132
2003-04-12;-123
2003-04-13;-117
2003-04-14;-98
2003-04-15;-85
2003-04-16;-38
2003-04-17;0
2003-04-18;90
2003-04-19;132
2003-04-20;119
2003-04-21;87
2003-04-22;64
2003-04-23;16
2003-04-24;10
2003-04-25;8
2003-04-26;7
2003-04-27;12
2003-04-28;18
2003-04-29;21
2003-04-30;18
2003-05-01;-8
2003-05-02;-27
2003-05-03;-46
2003-05-04;-66
2003-05-05;-69
2003-05-06;-70
2003-05-07;-73
2003-05-08;-75
2003-05-09;-76
2003-05-10;-75
2003-05-11;-77
2003-05-12;-84
2003-05-13;-93
2003-05-14;-97
2003-05-15;-97
2003-05-16;-100
2003-05-17;-105
2003-05-18;-110
2003-05-19;-115
2003-05-20;-116
2003-05-21;-117
2003-05-22;-118
2003-05-23;-120
2003-05-24;-125
2003-05-25;-132
2003-05-26;-136
2003-05-27;-140
2003-05-28;-143
2003-05-29;-148
2003-05-30;-149
2003-05-31;-146
2003-06-01;-142
2003-06-02;-139
2003-06-03;-126
2003-06-04;-112
2003-06-05;-69
2003-06-06;-35
2003-06-07;2
2003-06-08;30
2003-06-09;59
2003-06-10;59
2003-06-13;0
2003-06-14;-3
2003-06-15;-6
2003-06-16;-12
2003-06-17;-24
2003-06-18;-27
2003-06-19;-30
2003-06-20;-38
2003-06-21;-49
2003-06-22;-54
2003-06-23;-62
2003-06-24;-60
2003-06-25;-42
2003-06-26;-18
2003-06-27;-40
2003-06-28;-52
2003-06-29;-54
2003-06-30;-52
2003-07-01;-45
2003-07-02;-39
2003-07-03;-33
2003-07-04;-26
2003-07-05;-18
2003-07-06;-13
2003-07-07;-14
2003-07-08;-16
2003-07-09;-16
2003-07-10;-15
2003-07-11;7
2003-07-12;49
2003-07-13;96
2003-07-14;137
2003-07-15;171
2003-07-16;197
2003-07-24;263
2003-07-25;257
2003-07-26;241
2003-07-27;225
2003-07-28;215
2003-07-29;212
2003-07-30;209
2003-07-31;207
2003-08-01;203
2003-08-02;197
2003-08-03;189
2003-08-04;180
2003-08-05;171
2003-08-06;165
2003-08-07;163
2003-08-08;166
2003-08-09;180
2003-08-10;209
2003-08-11;225
2003-08-12;247
2003-08-13;270
2003-08-14;289
2003-08-15;309
2003-08-16;327
2003-08-17;338
2003-08-18;345
2003-08-19;348
2003-08-20;351
2003-08-21;355
2003-08-22;352
2003-08-23;348
2003-08-24;336
2003-08-25;332
2003-08-26;330
2003-08-27;330
2003-08-28;332
2003-08-29;340
2003-08-30;345
2003-08-31;350
2003-09-01;355
2003-09-02;360
2003-09-03;368
2003-09-04;371
2003-09-05;374
2003-09-06;378
2003-09-07;381
2003-09-08;382
2003-09-09;384
2003-09-10;383
2003-09-11;383
2003-09-12;379
2003-09-13;373
2003-09-14;373
2003-09-15;368
