Timestamp;Value
2001-01-11;51
2001-02-11;52
2001-03-11;38
2001-04-11;48
2001-04-12;-7
2001-05-11;44
2001-05-12;-7
2001-06-11;13
2001-07-11;-17
2001-08-11;-25
2001-08-12;-22
2001-09-12;-29
2001-10-11;-3
2001-10-12;-31
2001-10-20;98
2001-10-21;96
2001-10-22;95
2001-10-23;93
2001-10-24;87
2001-10-25;83
2001-10-26;81
2001-10-27;76
2001-10-28;65
2001-10-29;62
2001-10-30;58
2001-10-31;53
2001-11-01;51
2001-11-02;52
2001-11-03;38
2001-11-04;48
2001-11-05;44
2001-11-06;13
2001-11-07;-17
2001-11-08;-25
2001-11-09;-3
2001-11-10;-3
2001-11-11;37
2001-11-12;25
2001-11-13;20
2001-11-14;22
2001-11-15;2
2001-11-16;-24
2001-11-17;-54
2001-11-18;-54
2001-11-19;-34
2001-11-20;-13
2001-11-21;-18
2001-11-25;-30
2001-11-26;-21
2001-11-30;-13
2001-12-04;-7
2001-12-05;-7
2001-12-08;-22
2001-12-09;-29
2001-12-10;-31
2001-12-11;25
2001-12-15;-33
2001-12-18;-33
2001-12-19;-33
2001-12-20;-33
2001-12-21;-33
2001-12-22;-33
2001-12-23;-32
2001-12-24;-31
2001-12-25;-31
2002-01-01;-32
2002-01-02;-33
2002-01-03;-33
2002-01-04;-33
2002-01-05;-33
2002-01-06;-34
2002-01-07;-34
2002-01-08;-34
2002-01-09;-35
2002-01-10;-35
2002-01-11;-36
2002-01-12;-36
2002-01-13;-36
2002-01-14;-37
2002-01-15;-37
2002-01-16;-38
2002-01-17;-36
2002-01-18;-36
2002-01-19;-37
2002-01-20;-37
2002-01-21;-37
2002-01-22;-37
2002-01-23;-37
2002-01-24;-38
2002-01-25;-38
2002-01-26;-37
2002-01-27;-35
2002-01-28;-35
2002-01-29;-35
2002-01-30;-35
2002-01-31;-35
2002-02-01;-35
2002-02-02;-35
2002-02-03;-35
2002-02-04;-35
2002-02-05;-35
2002-02-06;-35
2002-02-07;-34
2002-02-08;-34
2002-02-09;-33
2002-02-10;-33
2002-02-11;-34
2002-02-12;-34
2002-02-13;-34
2002-02-14;-34
