Timestamp;Value
2001-01-11;84
2001-02-11;76
2001-03-11;70
2001-04-11;67
2001-04-12;34
2001-05-11;57
2001-05-12;35
2001-06-11;56
2001-07-11;52
2001-08-11;51
2001-08-12;42
2001-09-12;52
2001-10-11;47
2001-10-12;58
2001-10-20;127
2001-10-21;122
2001-10-22;117
2001-10-23;115
2001-10-24;111
2001-10-25;104
2001-10-26;100
2001-10-27;96
2001-10-28;92
2001-10-29;93
2001-10-30;92
2001-10-31;89
2001-11-01;84
2001-11-02;76
2001-11-03;70
2001-11-04;67
2001-11-05;57
2001-11-06;56
2001-11-07;52
2001-11-08;51
2001-11-09;47
2001-11-10;47
2001-11-11;43
2001-11-12;52
2001-11-13;48
2001-11-14;45
2001-11-15;9
2001-11-16;-4
2001-11-17;-20
2001-11-18;-34
2001-11-19;-33
2001-11-20;-32
2001-11-21;-35
2001-11-25;-43
2001-11-26;-49
2001-11-27;21
2001-11-28;21
2001-11-29;26
2001-11-30;34
2001-12-04;34
2001-12-05;35
2001-12-08;42
2001-12-09;52
2001-12-10;58
2001-12-11;52
2001-12-15;92
2001-12-18;100
2001-12-19;100
2001-12-20;100
2001-12-21;92
2001-12-22;92
2001-12-23;90
2001-12-24;89
2001-12-25;88
2002-01-01;78
2002-01-02;76
2002-01-03;75
2002-01-04;74
2002-01-05;73
2002-01-06;71
2002-01-07;69
2002-01-08;67
2002-01-09;65
2002-01-10;62
2002-01-11;59
2002-01-12;55
2002-01-13;51
2002-01-14;47
2002-01-15;44
2002-01-16;42
2002-01-17;40
2002-01-18;39
2002-01-19;37
2002-01-20;35
2002-01-21;35
2002-01-22;34
2002-01-23;33
2002-01-24;32
2002-01-25;31
2002-01-26;31
2002-01-27;31
2002-01-28;31
2002-01-29;31
2002-01-30;33
2002-01-31;35
2002-02-01;35
2002-02-02;37
2002-02-03;37
2002-02-04;34
2002-02-05;31
2002-02-06;30
2002-02-07;29
2002-02-08;30
2002-02-09;31
2002-02-10;31
2002-02-11;30
2002-02-12;29
2002-02-13;28
2002-02-14;29
2002-02-15;30
2002-02-16;24
2002-02-17;25
2002-02-18;28
2002-02-19;29
2002-02-20;28
2002-02-21;28
2002-02-22;28
2002-02-23;28
2002-02-24;28
2002-02-25;28
2002-02-26;29
2002-02-27;29
2002-02-28;27
2002-03-01;26
2002-03-02;25
2002-03-03;25
2002-03-04;25
2002-03-05;25
2002-03-06;23
2002-03-07;21
2002-03-08;19
2002-03-09;18
2002-03-10;17
2002-03-11;11
2002-03-12;7
2002-03-13;6
2002-03-14;5
2002-03-15;4
2002-03-16;3
2002-03-17;5
2002-03-18;7
2002-03-19;10
2002-03-20;15
2002-03-21;21
2002-03-22;21
2002-03-23;23
2002-03-24;25
2002-03-25;27
2002-03-26;33
2002-03-27;38
2002-03-28;45
2002-03-29;51
2002-03-30;53
2002-03-31;55
2002-04-01;174
2002-04-02;61
2002-04-03;63
2002-04-04;65
2002-04-05;67
2002-04-06;67
2002-04-07;65
2002-04-08;98
2002-04-09;148
2002-04-10;164
2002-04-11;167
2002-04-12;157
2002-04-13;166
2002-04-14;158
2002-04-15;172
2002-04-16;136
2002-04-17;92
2002-04-18;35
2002-04-19;-2
2002-04-20;2
2002-04-21;58
2002-04-22;82
2002-04-23;72
2002-04-24;136
2002-04-25;132
2002-04-26;114
2002-04-27;114
2002-04-28;114
2002-04-29;114
2002-04-30;116
2002-05-01;120
2002-05-02;118
2002-05-03;118
2002-05-04;133
2002-05-05;151
2002-05-06;169
2002-05-07;165
2002-05-08;159
2002-05-09;170
2002-05-10;205
2002-05-11;241
2002-05-12;256
2002-05-13;258
2002-05-14;255
2002-05-15;255
2002-05-16;255
2002-05-17;293
2002-05-18;320
2002-05-19;332
2002-05-20;352
2002-05-21;367
2002-05-22;379
2002-05-23;376
2002-05-24;368
2002-05-25;353
2002-05-26;341
2002-05-27;321
2002-05-28;300
2002-05-29;284
2002-05-30;271
2002-05-31;278
2002-06-01;300
2002-06-02;315
2002-06-03;312
2002-06-04;311
2002-06-05;331
2002-06-06;347
2002-06-07;351
2002-06-08;343
2002-06-09;333
2002-06-10;314
2002-06-11;293
2002-06-12;281
2002-06-13;261
2002-06-14;247
2002-06-15;236
2002-06-16;225
2002-06-17;216
2002-06-18;210
2002-06-19;206
2002-06-20;198
2002-06-21;188
2002-06-22;178
2002-06-23;173
2002-06-24;180
2002-06-25;199
2002-06-26;212
2002-06-27;217
2002-06-28;213
2002-06-29;211
2002-06-30;207
2002-07-01;204
2002-07-02;200
2002-07-03;198
2002-07-04;188
2002-07-05;183
2002-07-06;183
2002-07-07;183
2002-07-08;190
2002-07-09;212
2002-07-10;240
2002-07-11;252
2002-07-12;242
2002-07-16;193
2002-07-17;236
2002-07-18;266
2002-07-19;271
2002-07-23;252
2002-07-24;256
2002-07-25;261
2002-07-26;276
2002-07-29;274
2002-07-30;269
2002-07-31;288
2002-08-01;315
2002-08-02;324
2002-08-03;319
2002-08-04;307
2002-08-05;300
2002-08-06;312
2002-08-07;330
2002-08-08;345
2002-08-09;365
2002-08-10;386
2002-08-11;403
2002-08-12;417
2002-08-13;423
2002-08-14;423
2002-08-15;425
2002-08-16;423
2002-08-17;419
2002-08-18;407
2002-08-19;392
2002-08-20;379
2002-08-21;370
2002-08-22;360
2002-08-23;349
2002-08-24;343
2002-08-25;335
2002-08-26;331
2002-08-27;338
2002-08-28;348
2002-08-29;341
2002-08-30;334
2002-08-31;321
2002-09-01;305
2002-09-02;288
2002-09-03;274
2002-09-04;260
2002-09-05;253
2002-09-06;246
2002-09-07;243
2002-09-08;247
2002-09-09;267
2002-09-10;289
2002-09-11;294
2002-09-12;287
2002-09-13;281
2002-09-14;282
2002-09-15;284
2002-09-16;277
2002-09-17;265
2002-09-18;252
2002-09-19;240
2002-09-20;235
2002-09-21;223
2002-09-22;213
2002-09-23;203
2002-09-24;196
2002-09-25;187
2002-09-26;177
2002-09-27;168
2002-09-28;161
2002-09-29;154
2002-09-30;150
2002-10-01;142
2002-10-02;136
2002-10-03;135
2002-10-04;131
2002-10-05;130
2002-10-06;126
2002-10-07;121
2002-10-08;126
2002-10-09;125
2002-10-10;116
2002-10-11;112
2002-10-12;112
2002-10-13;107
2002-10-14;103
2002-10-15;98
2002-10-16;97
2002-10-17;93
2002-10-18;92
2002-10-19;92
2002-10-20;94
2002-10-21;94
2002-10-22;94
2002-10-23;95
2002-10-24;87
2002-10-25;79
2002-10-26;76
2002-10-27;74
2002-10-28;78
2002-10-29;70
2002-10-30;64
2002-10-31;59
2002-11-01;56
2002-11-02;49
2002-11-03;54
2002-11-04;47
2002-11-05;48
2002-11-06;36
2002-11-07;31
2002-11-08;19
2002-11-09;7
2002-11-10;-3
2002-11-11;-2
2002-11-12;7
2002-11-13;19
2002-11-14;34
2002-11-15;33
2002-11-16;29
2002-11-17;26
2002-11-18;33
2002-11-19;40
2002-11-20;34
2002-11-21;28
2002-11-22;22
2002-11-23;22
2002-11-24;26
2002-11-25;29
2002-11-26;33
2002-11-27;38
2002-11-28;42
2002-11-29;46
2002-11-30;49
2002-12-01;51
2002-12-02;52
2002-12-03;53
2002-12-04;55
2002-12-05;57
2002-12-06;59
2002-12-07;61
2002-12-08;64
2002-12-09;66
2002-12-10;66
2002-12-11;65
2002-12-12;64
2002-12-13;64
2002-12-14;62
2002-12-15;62
2002-12-16;61
2002-12-17;59
2002-12-18;57
2002-12-19;56
2002-12-20;56
2002-12-21;55
2002-12-22;55
2002-12-23;54
2002-12-24;53
2002-12-25;53
2002-12-26;53
2002-12-27;52
2002-12-28;51
2002-12-29;50
2002-12-30;49
2002-12-31;49
2003-01-01;48
2003-01-02;46
2003-01-03;44
2003-01-04;43
2003-01-05;43
2003-01-06;40
2003-01-07;37
2003-01-08;38
2003-01-09;40
2003-01-10;40
2003-01-11;38
2003-01-12;35
2003-01-13;31
2003-01-14;27
2003-01-15;23
2003-01-16;18
2003-01-17;13
2003-01-18;11
2003-01-19;9
2003-01-20;8
2003-01-21;8
2003-01-22;8
2003-01-23;7
2003-01-24;6
2003-01-25;5
2003-01-26;4
2003-01-27;7
2003-01-28;10
2003-01-29;14
2003-01-30;14
2003-01-31;14
2003-02-01;11
2003-02-02;9
2003-02-03;7
2003-02-04;6
2003-02-05;5
2003-02-06;5
2003-02-07;8
2003-02-08;11
2003-02-09;14
2003-02-10;13
2003-02-11;13
2003-02-12;13
2003-02-13;13
2003-02-14;13
2003-02-15;13
2003-02-16;17
2003-02-17;20
2003-02-18;24
2003-02-19;27
2003-02-20;29
2003-02-21;29
2003-02-22;28
2003-02-23;27
2003-02-24;26
2003-02-25;26
2003-02-26;27
2003-02-27;29
2003-02-28;30
2003-03-01;30
2003-03-02;29
2003-03-03;28
2003-03-04;26
2003-03-05;23
2003-03-06;20
2003-03-07;16
2003-03-08;13
2003-03-09;11
2003-03-10;9
2003-03-11;9
2003-03-12;5
2003-03-13;5
2003-03-14;8
2003-03-15;12
2003-03-16;10
2003-03-17;7
2003-03-18;5
2003-03-19;5
2003-03-20;8
2003-03-21;12
2003-03-22;16
2003-03-23;20
2003-03-24;22
2003-03-25;23
2003-03-26;26
2003-03-27;27
2003-03-28;30
2003-03-29;32
2003-03-30;34
2003-03-31;34
2003-04-01;36
2003-04-02;37
2003-04-03;39
2003-04-04;39
2003-04-05;39
2003-04-06;45
2003-04-07;48
2003-04-08;49
2003-04-09;49
2003-04-10;51
2003-04-11;54
2003-04-12;63
2003-04-13;73
2003-04-14;122
2003-04-15;237
2003-04-16;333
2003-04-17;130
2003-04-18;25
2003-04-19;6
2003-04-20;-5
2003-04-21;-8
2003-04-22;-5
2003-04-23;24
2003-04-24;67
2003-04-25;79
2003-04-26;81
2003-04-27;51
2003-04-28;24
2003-04-29;9
2003-04-30;1
2003-05-01;0
2003-05-02;0
